seed,task,dataset,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256,baseline_reused
1,OpenBMI_ERP,OpenBMI,1,14,LiteBN_X,0.7563636363636363,0.7368864901332434,0.8424242424242424,1980,0c658f7412277bcb49f79fcff1af3f2f68facc29cc0f822a7f53ca5d8647f7a8,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,2,LiteBN_BASELINE,0.9727272727272727,0.9375948726598078,0.9626262626262626,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,2,LiteBN_X,0.976969696969697,0.945561304535355,0.9676767676767677,1980,0c658f7412277bcb49f79fcff1af3f2f68facc29cc0f822a7f53ca5d8647f7a8,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,26,LiteBN_BASELINE,0.9321212121212121,0.8857903783749932,0.9292929292929293,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,26,LiteBN_X,0.9345454545454546,0.894077997111218,0.9353535353535354,1980,0c658f7412277bcb49f79fcff1af3f2f68facc29cc0f822a7f53ca5d8647f7a8,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,28,LiteBN_BASELINE,0.9299999999999999,0.8834603316898253,0.9277777777777778,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,28,LiteBN_X,0.9242424242424243,0.8804132172600777,0.9262626262626262,1980,0c658f7412277bcb49f79fcff1af3f2f68facc29cc0f822a7f53ca5d8647f7a8,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,31,LiteBN_BASELINE,0.9278787878787879,0.8687537435610749,0.9161616161616162,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,31,LiteBN_X,0.9293939393939394,0.87953602873953,0.9247474747474748,1980,0c658f7412277bcb49f79fcff1af3f2f68facc29cc0f822a7f53ca5d8647f7a8,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,35,LiteBN_BASELINE,0.8972727272727272,0.8470882354011477,0.9035353535353535,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,35,LiteBN_X,0.9118181818181819,0.887716181415119,0.9338383838383838,1980,0c658f7412277bcb49f79fcff1af3f2f68facc29cc0f822a7f53ca5d8647f7a8,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,40,LiteBN_BASELINE,0.8200000000000001,0.7062349408315629,0.7727272727272727,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,40,LiteBN_X,0.7548484848484849,0.76081550041152,0.8702020202020202,1980,0c658f7412277bcb49f79fcff1af3f2f68facc29cc0f822a7f53ca5d8647f7a8,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,43,LiteBN_BASELINE,0.9303030303030303,0.8484412135616239,0.897979797979798,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,43,LiteBN_X,0.9333333333333333,0.8592643984356529,0.907070707070707,1980,0c658f7412277bcb49f79fcff1af3f2f68facc29cc0f822a7f53ca5d8647f7a8,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,2,1,LiteBN_BASELINE,0.7809090909090909,0.7312918660287082,0.8227272727272728,1980,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True
1,OpenBMI_ERP,OpenBMI,2,1,LiteBN_X,0.7806060606060606,0.7527653651747124,0.8484848484848485,1980,8d33f4fc626501ef82126b2784ef7b4614f823d65910b4acc339de7abb71515a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
1,OpenBMI_ERP,OpenBMI,2,11,LiteBN_BASELINE,0.963030303030303,0.921890213194561,0.9525252525252526,1980,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True
1,OpenBMI_ERP,OpenBMI,2,11,LiteBN_X,0.9645454545454546,0.9374296278114784,0.9631313131313132,1980,8d33f4fc626501ef82126b2784ef7b4614f823d65910b4acc339de7abb71515a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
1,OpenBMI_ERP,OpenBMI,2,23,LiteBN_BASELINE,0.5327272727272727,0.5337328516840325,0.794949494949495,1980,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True
1,OpenBMI_ERP,OpenBMI,2,23,LiteBN_X,0.56,0.5670910486235463,0.797979797979798,1980,8d33f4fc626501ef82126b2784ef7b4614f823d65910b4acc339de7abb71515a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
1,OpenBMI_ERP,OpenBMI,2,30,LiteBN_BASELINE,0.9351515151515152,0.8928649915757088,0.9343434343434344,1980,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True
1,OpenBMI_ERP,OpenBMI,2,30,LiteBN_X,0.9281818181818182,0.8922448979591837,0.9348484848484848,1980,8d33f4fc626501ef82126b2784ef7b4614f823d65910b4acc339de7abb71515a,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,False
1,OpenBMI_ERP,OpenBMI,2,48,LiteBN_BASELINE,0.7827272727272727,0.7462145058752033,0.8398989898989899,1980,4624b15943e37715aaa45834d6e04a07e290355a7ec552a795bd1dd345bc0f68,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,True
