seed,fold,n_subjects,LiteBN_BA,XS_BA,delta_pp,LiteBN_macro_F1,XS_macro_F1,positive_subjects,harmed_subjects
1,0,8,0.801590909090909,0.8075757575757576,0.5984848484848495,0.7508526519739847,0.7714282931017311,6,2
1,1,8,0.8988636363636364,0.8901893939393939,-0.867424242424239,0.8397542204497881,0.8555338897552145,5,3
1,2,8,0.7551136363636364,0.7759469696969697,2.0833333333333384,0.7303834287125965,0.7619852282045252,6,2
1,3,8,0.8746969696969698,0.8816666666666666,0.6969696969696931,0.8230428764153838,0.8404720318357438,4,4
1,4,8,0.8289015151515151,0.8206439393939394,-0.8257575757575728,0.7771156006230716,0.7893833558951406,2,6
2,0,8,0.8175378787878788,0.823939393939394,0.6401515151515171,0.7693001437195484,0.7952674409867126,5,3
2,1,8,0.8847348484848485,0.8960984848484848,1.136363636363634,0.8455500379589623,0.8481316735429784,5,3
2,2,8,0.7617045454545455,0.7732575757575757,1.1553030303030316,0.7349001640364234,0.7568967319951888,6,2
2,3,8,0.8826136363636363,0.8903787878787879,0.7765151515151447,0.8288848847242258,0.8538160160528404,7,1
2,4,8,0.8280303030303031,0.8162121212121212,-1.1818181818181839,0.7847811362370047,0.785162345758817,3,5
