version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank,fold,seed,max_epochs,early_stopping_patience,median_pair_epoch
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8373809523809523,0.8372857142857143,9.523809523810378e-05,0.001027953959282,2,2,2,4,0,0,24,5,
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8381904761904762,0.8372857142857143,0.0009047619047619,0.0008702698515474,3,2,2,3,0,0,24,5,
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8387619047619047,0.8372857142857143,0.0014761904761904,0.0031094909937741,3,5,2,2,0,0,24,5,
V0,V0__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8387857142857144,0.8372857142857143,0.0015,0.0038359204520278,3,0,2,1,0,0,24,5,
V0,V0__lg1__ld0.01__lr0.0001__b8,stage2,1.0,0.01,0.0001,8,0.8379047619047618,0.8371904761904763,0.0007142857142857,0.0007824607964359,3,2,2,1,0,0,24,5,
V0,V0__lg1__ld0.01__lr0.0003__b8,stage2,1.0,0.01,0.0003,8,0.8386428571428572,0.836,0.0026428571428571,0.0025515101570702,4,0,0,1,0,0,24,5,
V0,V0__lg1__ld0.1__lr0.0001__b8,stage2,1.0,0.1,0.0001,8,0.8379047619047618,0.8371904761904763,0.0007142857142857,0.0007824607964359,3,2,2,1,0,0,24,5,
V0,V0__lg1__ld0.1__lr0.0003__b8,stage2,1.0,0.1,0.0003,8,0.8387857142857144,0.8372857142857143,0.0015,0.0038359204520278,3,0,2,1,0,0,24,5,
V0,V0__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,0.8380714285714286,0.8371904761904763,0.0008809523809524,0.0006966066113489,4,3,2,2,0,0,24,5,
V0,V0__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8384761904761906,0.836,0.0024761904761904,0.0022365749649176,4,0,0,2,0,0,24,5,
V0,V0__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,0.8379285714285715,0.8371904761904763,0.0007380952380952,0.0007839084587216,3,3,2,2,0,0,24,5,
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,0.8387619047619047,0.8372857142857143,0.0014761904761904,0.0031094909937741,3,5,2,2,0,0,24,5,
