subject,method_BA,control_BA,delta_BA
1,0.75,0.745,0.0050000000000000044
10,0.745,0.745,0.0
17,0.6799999999999999,0.685,-0.0050000000000001155
28,0.96,0.96,0.0
3,0.89,0.89,0.0
45,0.87,0.87,0.0
48,0.565,0.565,0.0
54,0.6,0.6,0.0
6,0.825,0.8200000000000001,0.004999999999999893
