version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8358095238095238,0.8361666666666666,-0.0003571428571428559,0.0017785570854269564,1,3,6,1
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8353571428571428,0.8361666666666666,-0.0008095238095238378,0.001943650631615092,1,1,6,2
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8348095238095237,0.8361666666666666,-0.001357142857142879,0.0022857142857143262,1,1,6,3
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8345476190476191,0.8361666666666666,-0.0016190476190476755,0.0025968758484640037,1,1,6,4
V1,V1__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8368809523809523,0.8361904761904763,0.0006904761904761969,0.0013049704386709437,2,3,3,1
V1,V1__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8358095238095238,0.8361666666666666,-0.0003571428571428559,0.0017785570854269564,1,3,6,1
V1,V1__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8368809523809523,0.8361904761904763,0.0006904761904761969,0.0013049704386709437,2,3,3,1
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8358095238095238,0.8361666666666666,-0.0003571428571428559,0.0017785570854269564,1,3,6,1
V1,V1__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8367380952380952,0.8361904761904763,0.0005476190476190413,0.0010795984808337736,2,3,3,2
V1,V1__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8353571428571428,0.8361666666666666,-0.0008095238095238378,0.001943650631615092,1,1,6,2
V1,V1__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8367380952380952,0.8361904761904763,0.0005476190476190413,0.0010795984808337736,2,3,3,2
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8353571428571428,0.8361666666666666,-0.0008095238095238378,0.001943650631615092,1,1,6,2
