fold,seed,task,block,inner_split,utility_CE,BA_drop,random_draws,persistence_supported
1,0,mi,0,0,0.0007691928863904351,0.015888269588058,100,True
1,0,mi,0,1,0.0003469333164771715,0.009615538582248506,100,True
1,0,mi,0,2,-0.0002320777708696431,0.02278586411746819,100,True
1,0,mi,0,3,0.001377423357349583,0.005612400121695504,100,True
1,0,mi,0,4,0.0012082255045455792,0.007716444672131173,100,True
1,0,mi,1,0,0.004244836253372575,0.01188416938945469,100,True
1,0,mi,1,1,0.0063695886844089,0.022409569102176174,100,True
1,0,mi,1,2,0.0017946702966009642,0.01268194264303213,100,True
1,0,mi,1,3,0.002367893815802269,-0.002281788922515182,100,True
1,0,mi,1,4,0.003125367942599544,0.003810194672131173,100,True
1,0,mi,2,0,0.025248883909319564,0.08988404125824834,100,True
1,0,mi,2,1,0.05622426710655498,0.058661991000944824,100,True
1,0,mi,2,2,0.010899231285104838,0.07007093561352107,100,True
1,0,mi,2,3,0.03675862830809862,0.06805335382940236,100,True
1,0,mi,2,4,0.024072269543747526,0.031826331967213184,100,True
1,0,mi,3,0,0.017015468885376972,0.041338330450381156,100,True
1,0,mi,3,1,0.03579237362681603,0.03819794719059755,100,True
1,0,mi,3,2,0.012872791371704273,0.04886230804951086,100,True
1,0,mi,3,3,0.023644632287275202,0.04381034731229283,100,True
1,0,mi,3,4,0.02832793945605383,0.024590163934426257,100,True
1,0,mi,4,0,0.0033489270193350906,0.022214747901851406,100,True
1,0,mi,4,1,0.009508866552477457,0.007894189044210798,100,True
1,0,mi,4,2,0.006944828306568507,0.025740180301356275,100,True
1,0,mi,4,3,0.006503134778136688,0.009391362828457539,100,True
1,0,mi,4,4,0.012129849846155616,0.03201844262295084,100,True
1,0,mi,5,0,0.011904506179262087,0.02364020757255414,100,False
1,0,mi,5,1,0.01257142860570959,0.030079582392595894,100,False
1,0,mi,5,2,0.014529948596012754,0.02963123088501385,100,False
1,0,mi,5,3,0.016716883318196984,0.008118364798001654,100,False
1,0,mi,5,4,0.009425315198392403,0.003714139344262346,100,False
1,0,erp,0,0,-0.0001223264621171838,-0.004401432515924397,100,True
1,0,erp,0,1,-0.009857348142878752,0.031352533722201925,100,True
1,0,erp,0,2,-0.0008814042593809912,0.0,100,True
1,0,erp,0,3,0.0014905303361492095,-0.009266010450844575,100,True
1,0,erp,0,4,-0.0015453540266345822,0.0,100,True
1,0,erp,1,0,-0.0029742541014043944,-0.005617977528089901,100,True
1,0,erp,1,1,-0.0019092253898831402,0.014005346943735564,100,True
1,0,erp,1,2,0.000866284152124086,0.0,100,True
1,0,erp,1,3,0.002638429664339137,-0.01282051282051283,100,True
1,0,erp,1,4,-0.003034886002751702,0.0024154589371980784,100,True
1,0,erp,2,0,1.554847140960991e-05,0.0,100,True
1,0,erp,2,1,-0.00021760750181454291,0.009964758779924643,100,True
1,0,erp,2,2,-0.00046221632931831014,0.0,100,True
