fold,seed,inner_fold,mode,config,mean_applied_shift_norm,mean_geometry_projection_error,max_geometry_projection_error,prediction_js_sensitivity,robust_ba,delta_ba_under_shift
0,0,0,base,matched_base,0.0,0.0,0.0,7.306115688907669e-06,0.8170833333333333,0.0013690476190475476
0,0,0,cf,cf0_a025_p025_l05_c0,0.14938616627891324,2.6012366643672427e-09,1.524717596623759e-08,7.3137628122491695e-06,0.8170833333333333,0.0006547619047617692
0,0,0,cf,cf0_a025_p050_l10_c01,0.1485280429615694,2.5851931261367852e-09,1.524717596623759e-08,7.32880053513192e-06,0.8170238095238096,0.0005952380952380931
0,0,0,cf,cf0_a050_p025_l05_c01,0.2987723325578265,5.2024733287344855e-09,3.049435193247518e-08,7.319595763499038e-06,0.8170238095238096,0.0005952380952380931
0,0,0,cf,cf0_a050_p050_l10_c01,0.2970560859231388,5.1703862522735704e-09,3.049435193247518e-08,7.344941781467067e-06,0.8173809523809524,0.0009523809523809268
0,0,0,cf,cf0_a100_p025_l05_c01,0.597544665115653,1.0404946657468971e-08,6.098870386495037e-08,7.313213937816504e-06,0.8173214285714284,0.0008928571428569176
0,0,0,cf,cf0_a100_p050_l10_c01,0.5941121718462776,1.0340772504547141e-08,6.098870386495037e-08,7.34490577970934e-06,0.8171428571428573,1.1102230246251565e-16
0,0,1,base,matched_base,0.0,0.0,0.0,0.00011698286730581224,0.8124404761904761,0.001011904761904714
0,0,1,cf,cf0_a025_p025_l05_c0,0.15046398870406613,2.5859761032651116e-09,2.103521623553206e-08,0.00011698899921439113,0.8123809523809524,0.00023809523809525945
0,0,1,cf,cf0_a025_p050_l10_c01,0.15122842547695559,2.5283585740898314e-09,2.103521623553206e-08,0.0001164067033279839,0.8125595238095239,0.0004166666666667318
0,0,1,cf,cf0_a050_p025_l05_c01,0.30092797740813226,5.171952206530223e-09,4.207043247106412e-08,0.00011684231235915432,0.8124404761904761,0.00029761904761893554
0,0,1,cf,cf0_a050_p050_l10_c01,0.30245685095391117,5.056717148179663e-09,4.207043247106412e-08,0.00011537251505077181,0.8125,0.00035714285714283367
0,0,1,cf,cf0_a100_p025_l05_c01,0.6018559548162645,1.0343904413060446e-08,8.414086494212825e-08,0.00011607815928420626,0.8123214285714285,0.00017857142857136132
0,0,1,cf,cf0_a100_p050_l10_c01,0.6049137019078223,1.0113434296359325e-08,8.414086494212825e-08,0.00011160246825820274,0.8127380952380951,-0.00011904761904779626
0,0,2,base,matched_base,0.0,0.0,0.0,2.934783223830127e-05,0.8398809523809524,0.0005952380952382041
0,0,2,cf,cf0_a025_p025_l05_c0,0.1513447136435234,2.344037158696041e-09,1.4296857031581567e-08,2.9360935706948915e-05,0.8401190476190478,0.0008333333333335746
0,0,2,cf,cf0_a025_p050_l10_c01,0.1498426279374809,2.34410257056309e-09,1.4296857031581567e-08,2.9492312610530586e-05,0.8399404761904763,0.0006547619047621023
0,0,2,cf,cf0_a050_p025_l05_c01,0.3026894272870468,4.688074317392082e-09,2.8593714063163134e-08,2.9359208910719322e-05,0.8400595238095239,0.0007738095238096765
0,0,2,cf,cf0_a050_p050_l10_c01,0.2996852558749618,4.68820514112618e-09,2.8593714063163134e-08,2.9592213246591637e-05,0.8398214285714286,0.000535714285714417
0,0,2,cf,cf0_a100_p025_l05_c01,0.6053788545740936,9.376148634784164e-09,5.718742812632627e-08,2.9313397917006364e-05,0.8400595238095239,5.952380952389813e-05
0,0,2,cf,cf0_a100_p050_l10_c01,0.5993705117499236,9.37641028225236e-09,5.718742812632627e-08,2.9626843244585503e-05,0.8399404761904762,0.0006547619047619913
0,0,3,base,matched_base,0.0,0.0,0.0,3.713672850050034e-05,0.8550595238095239,5.952380952389813e-05
0,0,3,cf,cf0_a025_p025_l05_c0,0.1464154298649084,2.31263398662475e-09,1.2815211114514113e-08,3.7102317403603514e-05,0.8551190476190476,0.00011904761904757422
0,0,3,cf,cf0_a025_p050_l10_c01,0.1466160978761325,2.31542526066384e-09,1.2815211114514113e-08,3.7100507540878236e-05,0.8551190476190476,0.00011904761904757422
0,0,3,cf,cf0_a050_p025_l05_c01,0.2928308597298168,4.6252679732495e-09,2.5630422229028227e-08,3.704161473424497e-05,0.8551190476190476,0.00011904761904757422
0,0,3,cf,cf0_a050_p050_l10_c01,0.293232195752265,4.63085052132768e-09,2.5630422229028227e-08,3.699161044910819e-05,0.855,0.0
0,0,3,cf,cf0_a100_p025_l05_c01,0.5856617194596336,9.250535946499e-09,5.1260844458056454e-08,3.683421108790786e-05,0.8551785714285715,0.00017857142857147235
0,0,3,cf,cf0_a100_p050_l10_c01,0.58646439150453,9.26170104265536e-09,5.1260844458056454e-08,3.6538054063140596e-05,0.8551190476190476,0.00011904761904757422
