setting_id,low_count,high_count,U_low,U_high,DeltaRegime
S1,17,12,0.0005147058823529406,-0.0072916666666666624,0.007806372549019603
S2,11,15,0.0019318181818181782,-0.0008333333333333354,0.002765151515151514
S3,8,20,0.0005397727272727322,-0.007615056818181806,0.008154829545454538
S5,15,8,-0.0004797979797979875,-0.010800189393939395,0.010320391414141407
ALL,51,55,0.000531788472964941,-0.006158230027548206,0.006690018500513146
