,z_I,z_P,z_geometry_strength,z_rank,z_D,z_C,z_O
z_I,1.0,0.6615558350485501,0.7079612422091863,-0.6312421082581542,0.2559322066593493,-0.014427818469300031,0.03259898906697994
z_P,0.6615558350485501,1.0,0.4110267380917016,-0.8811334439543552,0.08963478581813109,-0.031481799411907305,-0.05151302375197483
z_geometry_strength,0.7079612422091863,0.4110267380917016,1.0,-0.423994305392085,0.5757832930490479,-0.08246399009257348,0.3118490776409677
z_rank,-0.6312421082581542,-0.8811334439543552,-0.423994305392085,1.0,-0.09206476845722911,0.010735251288997097,0.06209880622021602
z_D,0.2559322066593493,0.08963478581813109,0.5757832930490479,-0.09206476845722911,1.0,-0.3055790038175228,0.9257368359121063
z_C,-0.014427818469300031,-0.031481799411907305,-0.08246399009257348,0.010735251288997097,-0.3055790038175228,1.0,-0.3457607299911201
z_O,0.03259898906697994,-0.05151302375197483,0.3118490776409677,0.06209880622021602,0.9257368359121063,-0.3457607299911201,1.0
