setting_id,variable,count,missing,median,MAD,SD,minimum,maximum,scale,scale_method,status,epsilon
S1,I,120,0,0.0053110850003832,0.0020183516578131996,0.0062906890142606755,0.0010261312631929,0.026932055323009,0.0029924081678738496,1.4826_MAD,ACTIVE,1e-12
S1,P,120,0,0.659998224327477,0.09641374761307203,0.11522335235301517,0.4714124535081678,0.8995801936838775,0.14294302221114058,1.4826_MAD,ACTIVE,1e-12
S1,geometry_strength,120,0,1.4346195572888538,0.3826561236283662,0.5629792507048836,0.8318776974019575,3.0611661352410064,0.5673259688914157,1.4826_MAD,ACTIVE,1e-12
S1,rank,120,0,4.5,2.0,2.3008949665421112,1.0,8.0,2.9652,1.4826_MAD,ACTIVE,1e-12
S1,D,120,0,0.09027698291400425,0.07004210959886881,0.25282656584713586,0.0008129529524432,1.2204854611462663,0.10384443169128289,1.4826_MAD,ACTIVE,1e-12
S1,C,120,0,-0.00024775991196395,0.00149957204862745,0.01059697363281199,-0.0241243295087779,0.082599984913922,0.0022232655192950574,1.4826_MAD,ACTIVE,1e-12
S1,O,120,0,0.0123842333586314,0.0118867927360219,0.10658470194730812,1.1240343109028729e-06,0.5684090583107949,0.017623358910426067,1.4826_MAD,ACTIVE,1e-12
S2,I,120,0,0.01961399664598655,0.00430372191204865,0.00571874610014232,0.0087301012494034,0.0321795858811604,0.006380698106803328,1.4826_MAD,ACTIVE,1e-12
S2,P,120,0,0.7252875980687701,0.07640698679088592,0.10231479028172025,0.4529134977600027,0.8976572441996923,0.11328099861616746,1.4826_MAD,ACTIVE,1e-12
S2,geometry_strength,120,0,1.6633595234373053,0.5407918684449647,0.7164514229125442,0.3355777204494631,3.378642096408629,0.8017780241565047,1.4826_MAD,ACTIVE,1e-12
S2,rank,120,0,4.5,2.0,2.3008949665421112,1.0,8.0,2.9652,1.4826_MAD,ACTIVE,1e-12
S2,D,120,0,0.12352060129344519,0.0954187641503455,0.20131582824576869,0.000683313716483,0.8976304682609783,0.14146785972930223,1.4826_MAD,ACTIVE,1e-12
S2,C,120,0,-0.00395386309713505,0.00432784974735855,0.022911190576281288,-0.1210807345649264,0.0288698017258312,0.006416470035433786,1.4826_MAD,ACTIVE,1e-12
S2,O,120,0,0.0161662678865017,0.0150679230041461,0.06098534679392148,3.877744947354732e-07,0.276308566513538,0.022339702645947007,1.4826_MAD,ACTIVE,1e-12
S3,I,120,0,0.00219835417487505,0.00145501156909615,0.0035987584221351225,0.0001924661746304,0.0156306424181571,0.0021572001523419517,1.4826_MAD,ACTIVE,1e-12
S3,P,120,0,0.5600326389295602,0.11682150874804526,0.15258044684250774,0.2349276976014059,0.9328454488436224,0.17319956886985188,1.4826_MAD,ACTIVE,1e-12
S3,geometry_strength,120,0,0.7861149575871553,0.2620436839469965,0.7322539905910601,0.3469270465470068,2.7825653338434284,0.388505965819817,1.4826_MAD,ACTIVE,1e-12
S3,rank,120,0,4.5,2.0,2.3008949665421112,1.0,8.0,2.9652,1.4826_MAD,ACTIVE,1e-12
S3,D,120,0,0.043021987145622,0.036309680765816,0.4042560899951644,0.0004646163185604,1.8948888296374409,0.0538327327033988,1.4826_MAD,ACTIVE,1e-12
S3,C,120,0,-6.469046635376515e-06,0.0005497011703858,0.03441986475474628,-0.0093999819729989,0.2246223144556608,0.000814986955213987,1.4826_MAD,ACTIVE,1e-12
S3,O,120,0,0.00504355407439175,0.0049939982152030615,0.1927479085090122,1.813009297278536e-06,0.8253598274787851,0.007404101753860058,1.4826_MAD,ACTIVE,1e-12
S4,I,120,0,0.0079686344062921,0.003920015255565051,0.005338284629555181,-0.0025858567965217,0.0261835853397514,0.005811814617900744,1.4826_MAD,ACTIVE,1e-12
S4,P,120,0,0.5559463383695193,0.09271773628119556,0.12527807192853457,0.3174777463466015,0.9050307146818056,0.13746331581050053,1.4826_MAD,ACTIVE,1e-12
S4,geometry_strength,120,0,0.9490636111417474,0.607743057286176,1.4183292248640853,0.1454439048629629,4.934178807296973,0.9010398567324844,1.4826_MAD,ACTIVE,1e-12
S4,rank,120,0,4.5,2.0,2.3008949665421112,1.0,8.0,2.9652,1.4826_MAD,ACTIVE,1e-12
S4,D,120,0,0.05013747333018965,0.04547018447200035,0.3985105525539445,0.0002563835738264,1.9541626322928127,0.06741409549818772,1.4826_MAD,ACTIVE,1e-12
S4,C,120,0,-0.00026171033285405,0.00091867847470905,0.02067482146587302,-0.152893112334729,0.0665391522531363,0.0013620327066036374,1.4826_MAD,ACTIVE,1e-12
S4,O,120,0,0.0054247923964328,0.005399806511272696,0.1320052659464462,3.960733592192941e-07,0.669404957884087,0.0080057531336129,1.4826_MAD,ACTIVE,1e-12
S5,I,120,0,0.0054720829797727,0.0035252845180812,0.006278383610683571,0.0005922017115127,0.0219161480684086,0.0052265868265071866,1.4826_MAD,ACTIVE,1e-12
S5,P,120,0,0.6983553225936815,0.06568402999995804,0.09312891281569874,0.5183873541639792,0.9027043550679236,0.09738314287793778,1.4826_MAD,ACTIVE,1e-12
S5,geometry_strength,120,0,1.5305532157342805,0.47249107957465886,0.7335039772664317,0.5887151533319401,3.203678296340549,0.7005152745773892,1.4826_MAD,ACTIVE,1e-12
S5,rank,120,0,4.5,2.0,2.3008949665421112,1.0,8.0,2.9652,1.4826_MAD,ACTIVE,1e-12
S5,D,120,0,0.17220942273174716,0.11725068357968549,0.18816432206585093,0.0007406131049352,1.169286919617548,0.1738358634752417,1.4826_MAD,ACTIVE,1e-12
S5,C,120,0,5.001629348678929e-05,0.003595930586039989,0.009818439689983834,-0.0378779588738729,0.0531029037078974,0.005331326686862887,1.4826_MAD,ACTIVE,1e-12
S5,O,120,0,0.00965530472162625,0.0093798003364067,0.03507975775264212,4.49303206358137e-08,0.2381863852872227,0.013906491978756572,1.4826_MAD,ACTIVE,1e-12
S6,I,120,0,0.0088058642387861,0.004634166424458901,0.006266429998362425,0.0018097603224891,0.0239381341637792,0.006870615140902766,1.4826_MAD,ACTIVE,1e-12
S6,P,120,0,0.7086521085518769,0.08497845131125287,0.1114726512257958,0.4796219253612799,0.940356359487373,0.12598905191406348,1.4826_MAD,ACTIVE,1e-12
S6,geometry_strength,120,0,1.2111225237876044,0.6353526783552357,0.9550536727990482,0.2353766642273265,3.843441495061501,0.9419738809294723,1.4826_MAD,ACTIVE,1e-12
S6,rank,120,0,4.5,2.0,2.3008949665421112,1.0,8.0,2.9652,1.4826_MAD,ACTIVE,1e-12
S6,D,120,0,0.09028290687966714,0.07760531117312104,0.2976668809924327,0.0004000339165295,1.115381074297754,0.11505763434526925,1.4826_MAD,ACTIVE,1e-12
S6,C,120,0,-0.0034467744331786497,0.004771321504334101,0.028522543699682473,-0.1164704060112377,0.014349349848464,0.007073961262325738,1.4826_MAD,ACTIVE,1e-12
S6,O,120,0,0.02376799065459215,0.0224339790614506,0.06693486508435996,1.2929400438255808e-06,0.2923950786141815,0.03326061735650666,1.4826_MAD,ACTIVE,1e-12
