policy_id,action,count,fraction,mean_effect,rescue_count,harm_count
M0_KEEP,NOOP,31600,1.0,0.0,0,0
M0_KEEP,AMPLIFY,0,0.0,,0,0
M0_KEEP,GEOMETRY,0,0.0,,0,0
M0_KEEP,ERASE,0,0.0,,0,0
I001_SINGLE_RUN_CONFIDENCE,NOOP,30562,0.9671518987341772,0.0,0,0
I001_SINGLE_RUN_CONFIDENCE,AMPLIFY,443,0.014018987341772152,-0.0654627539503386,207,236
I001_SINGLE_RUN_CONFIDENCE,GEOMETRY,127,0.004018987341772152,-0.023622047244094488,62,65
I001_SINGLE_RUN_CONFIDENCE,ERASE,468,0.01481012658227848,-0.004273504273504274,233,235
I002_SINGLE_RUN_LOGISTIC_ERROR,NOOP,30999,0.9809810126582279,0.0,0,0
I002_SINGLE_RUN_LOGISTIC_ERROR,AMPLIFY,220,0.006962025316455696,-0.12727272727272726,96,124
I002_SINGLE_RUN_LOGISTIC_ERROR,GEOMETRY,38,0.0012025316455696203,0.0,19,19
I002_SINGLE_RUN_LOGISTIC_ERROR,ERASE,343,0.010854430379746835,-0.02040816326530612,168,175
I003_CROSS_RUN_FULL,NOOP,28560,0.9037974683544304,0.0,0,0
I003_CROSS_RUN_FULL,AMPLIFY,805,0.025474683544303798,0.21739130434782608,490,315
I003_CROSS_RUN_FULL,GEOMETRY,513,0.016234177215189872,0.1617933723196881,298,215
I003_CROSS_RUN_FULL,ERASE,1722,0.05449367088607595,0.14750290360046459,988,734
I003_CROSS_RUN_PROTECTED_SAFE,NOOP,30282,0.9582911392405064,0.0,0,0
I003_CROSS_RUN_PROTECTED_SAFE,AMPLIFY,805,0.025474683544303798,0.21739130434782608,490,315
I003_CROSS_RUN_PROTECTED_SAFE,GEOMETRY,513,0.016234177215189872,0.1617933723196881,298,215
I003_CROSS_RUN_PROTECTED_SAFE,ERASE,0,0.0,,0,0
I003_CROSS_RUN_AMPLIFY_ONLY,NOOP,30795,0.9745253164556962,0.0,0,0
I003_CROSS_RUN_AMPLIFY_ONLY,AMPLIFY,805,0.025474683544303798,0.21739130434782608,490,315
I003_CROSS_RUN_AMPLIFY_ONLY,GEOMETRY,0,0.0,,0,0
I003_CROSS_RUN_AMPLIFY_ONLY,ERASE,0,0.0,,0,0
