policy_id,fold_id,seed_id,delta_BA,subjects
M0_KEEP,0,0,0.0,26
M0_KEEP,0,1,0.0,26
M0_KEEP,1,0,0.0,26
M0_KEEP,1,1,0.0,26
M0_KEEP,2,0,0.0,27
M0_KEEP,2,1,0.0,27
I001_SINGLE_RUN_CONFIDENCE,0,0,-0.003076923076923075,26
I001_SINGLE_RUN_CONFIDENCE,0,1,-0.0019230769230769247,26
I001_SINGLE_RUN_CONFIDENCE,1,0,0.0011538461538461507,26
I001_SINGLE_RUN_CONFIDENCE,1,1,0.0,26
I001_SINGLE_RUN_CONFIDENCE,2,0,-0.0005555555555555642,27
I001_SINGLE_RUN_CONFIDENCE,2,1,-0.002037037037037043,27
I002_SINGLE_RUN_LOGISTIC_ERROR,0,0,-0.001346153846153843,26
I002_SINGLE_RUN_LOGISTIC_ERROR,0,1,0.0005769230769230817,26
I002_SINGLE_RUN_LOGISTIC_ERROR,1,0,-0.0009615384615384667,26
I002_SINGLE_RUN_LOGISTIC_ERROR,1,1,-0.0011538461538461464,26
I002_SINGLE_RUN_LOGISTIC_ERROR,2,0,0.0018518518518518452,27
I002_SINGLE_RUN_LOGISTIC_ERROR,2,1,-0.00555555555555556,27
I003_CROSS_RUN_FULL,0,0,0.001153846153846142,26
I003_CROSS_RUN_FULL,0,1,0.007884615384615379,26
I003_CROSS_RUN_FULL,1,0,0.011538461538461536,26
I003_CROSS_RUN_FULL,1,1,0.031153846153846164,26
I003_CROSS_RUN_FULL,2,0,0.0362962962962963,27
I003_CROSS_RUN_FULL,2,1,0.0087037037037037,27
I003_CROSS_RUN_PROTECTED_SAFE,0,0,0.006923076923076929,26
I003_CROSS_RUN_PROTECTED_SAFE,0,1,0.007307692307692306,26
I003_CROSS_RUN_PROTECTED_SAFE,1,0,0.0009615384615384539,26
I003_CROSS_RUN_PROTECTED_SAFE,1,1,0.014038461538461552,26
I003_CROSS_RUN_PROTECTED_SAFE,2,0,0.01444444444444444,27
I003_CROSS_RUN_PROTECTED_SAFE,2,1,0.005185185185185182,27
I003_CROSS_RUN_AMPLIFY_ONLY,0,0,0.0050000000000000044,26
I003_CROSS_RUN_AMPLIFY_ONLY,0,1,0.005192307692307705,26
I003_CROSS_RUN_AMPLIFY_ONLY,1,0,0.0015384615384615356,26
I003_CROSS_RUN_AMPLIFY_ONLY,1,1,0.008461538461538461,26
I003_CROSS_RUN_AMPLIFY_ONLY,2,0,0.00851851851851853,27
I003_CROSS_RUN_AMPLIFY_ONLY,2,1,0.0044444444444444444,27
