policy_id,subject_id,delta_BA,available_runs
I002_SINGLE_RUN_LOGISTIC_ERROR,34,-0.011249999999999982,4
I002_SINGLE_RUN_LOGISTIC_ERROR,36,-0.0037499999999999756,4
I002_SINGLE_RUN_LOGISTIC_ERROR,37,-0.0025000000000000022,6
I002_SINGLE_RUN_LOGISTIC_ERROR,38,-0.0012500000000000011,4
I002_SINGLE_RUN_LOGISTIC_ERROR,40,0.012500000000000067,2
I002_SINGLE_RUN_LOGISTIC_ERROR,41,0.005833333333333375,6
I002_SINGLE_RUN_LOGISTIC_ERROR,42,-0.0037500000000000033,4
I002_SINGLE_RUN_LOGISTIC_ERROR,43,-0.0062500000000000056,4
I002_SINGLE_RUN_LOGISTIC_ERROR,44,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,45,0.0,2
I002_SINGLE_RUN_LOGISTIC_ERROR,47,-0.010000000000000009,4
I002_SINGLE_RUN_LOGISTIC_ERROR,48,0.0,2
I002_SINGLE_RUN_LOGISTIC_ERROR,49,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,5,0.0,2
I002_SINGLE_RUN_LOGISTIC_ERROR,50,-0.012500000000000011,2
I002_SINGLE_RUN_LOGISTIC_ERROR,51,0.0,4
I002_SINGLE_RUN_LOGISTIC_ERROR,52,-0.006250000000000033,4
I002_SINGLE_RUN_LOGISTIC_ERROR,54,0.020000000000000018,2
I002_SINGLE_RUN_LOGISTIC_ERROR,8,0.0008333333333333156,6
I003_CROSS_RUN_FULL,10,0.010000000000000009,2
I003_CROSS_RUN_FULL,11,0.029999999999999943,4
I003_CROSS_RUN_FULL,12,0.03583333333333335,6
I003_CROSS_RUN_FULL,13,0.024999999999999994,4
I003_CROSS_RUN_FULL,15,0.034999999999999955,6
I003_CROSS_RUN_FULL,16,0.0050000000000000044,2
I003_CROSS_RUN_FULL,18,0.0037500000000000033,4
I003_CROSS_RUN_FULL,19,0.012499999999999956,2
I003_CROSS_RUN_FULL,2,0.022500000000000048,4
I003_CROSS_RUN_FULL,20,0.02833333333333334,6
I003_CROSS_RUN_FULL,23,0.020833333333333297,6
I003_CROSS_RUN_FULL,24,0.009166666666666675,6
I003_CROSS_RUN_FULL,25,-0.007500000000000062,2
I003_CROSS_RUN_FULL,26,0.010000000000000009,4
I003_CROSS_RUN_FULL,27,0.02416666666666667,6
I003_CROSS_RUN_FULL,29,0.007499999999999979,4
I003_CROSS_RUN_FULL,3,0.010000000000000009,2
I003_CROSS_RUN_FULL,30,0.005000000000000032,4
I003_CROSS_RUN_FULL,31,0.02250000000000002,6
I003_CROSS_RUN_FULL,32,0.021249999999999936,4
I003_CROSS_RUN_FULL,33,0.0025000000000000022,4
I003_CROSS_RUN_FULL,34,0.016249999999999987,4
I003_CROSS_RUN_FULL,36,-0.0012499999999999734,4
I003_CROSS_RUN_FULL,37,0.012500000000000011,6
I003_CROSS_RUN_FULL,38,0.02874999999999997,4
I003_CROSS_RUN_FULL,40,0.010000000000000064,2
I003_CROSS_RUN_FULL,41,0.02666666666666671,6
I003_CROSS_RUN_FULL,42,0.01999999999999999,4
I003_CROSS_RUN_FULL,43,0.01624999999999996,4
I003_CROSS_RUN_FULL,44,-0.00500000000000006,4
I003_CROSS_RUN_FULL,45,0.0025000000000000022,2
I003_CROSS_RUN_FULL,47,0.028749999999999998,4
I003_CROSS_RUN_FULL,48,0.0050000000000001155,2
I003_CROSS_RUN_FULL,49,0.014999999999999986,4
I003_CROSS_RUN_FULL,5,0.012499999999999956,2
I003_CROSS_RUN_FULL,50,-0.0050000000000000044,2
I003_CROSS_RUN_FULL,51,0.004999999999999977,4
I003_CROSS_RUN_FULL,52,0.016250000000000042,4
I003_CROSS_RUN_FULL,54,-0.0050000000000000044,2
I003_CROSS_RUN_FULL,8,0.01666666666666668,6
I003_CROSS_RUN_PROTECTED_SAFE,10,0.010000000000000009,2
I003_CROSS_RUN_PROTECTED_SAFE,11,0.011249999999999954,4
I003_CROSS_RUN_PROTECTED_SAFE,12,0.02250000000000002,6
I003_CROSS_RUN_PROTECTED_SAFE,13,0.007500000000000062,4
I003_CROSS_RUN_PROTECTED_SAFE,15,0.0024999999999999836,6
I003_CROSS_RUN_PROTECTED_SAFE,16,0.0,2
I003_CROSS_RUN_PROTECTED_SAFE,18,0.007499999999999979,4
I003_CROSS_RUN_PROTECTED_SAFE,19,0.0,2
I003_CROSS_RUN_PROTECTED_SAFE,2,0.007500000000000034,4
I003_CROSS_RUN_PROTECTED_SAFE,20,0.006666666666666672,6
I003_CROSS_RUN_PROTECTED_SAFE,23,0.013333333333333308,6
I003_CROSS_RUN_PROTECTED_SAFE,24,0.0016666666666667052,6
I003_CROSS_RUN_PROTECTED_SAFE,25,-0.00500000000000006,2
I003_CROSS_RUN_PROTECTED_SAFE,26,0.008750000000000008,4
I003_CROSS_RUN_PROTECTED_SAFE,27,0.014999999999999977,6
I003_CROSS_RUN_PROTECTED_SAFE,29,0.0037500000000000033,4
I003_CROSS_RUN_PROTECTED_SAFE,3,0.010000000000000009,2
I003_CROSS_RUN_PROTECTED_SAFE,30,0.0025000000000000022,4
I003_CROSS_RUN_PROTECTED_SAFE,31,0.014166666666666642,6
I003_CROSS_RUN_PROTECTED_SAFE,32,0.009999999999999926,4
I003_CROSS_RUN_PROTECTED_SAFE,33,0.0,4
