task,fold,population,trials,base_norm,stats_norm,stats_base_ratio,q_mean,q_second_moment,mu_contribution_norm,logvar_contribution_norm,q_std
OpenBMI_MI,0,outer,800,2.3660686314105988,0.7353489175438881,0.3314291499555111,0.24658544547855854,0.17680449783802032,0.7129950616508722,1.0568814873695374,0.34058789748926954
OpenBMI_MI,0,heldout,1400,2.4746330635888234,0.6962725818157196,0.29237961769104004,0.2328853596534048,0.18386097997426987,0.7457455715962819,0.9485322173152652,0.36003526109726275
OpenBMI_MI,1,outer,800,1.9996551871299744,0.5313385017216206,0.27419149316847324,0.1916236076503992,0.11862047575414181,0.4705404043197632,0.566634725779295,0.2861832782417374
OpenBMI_MI,1,heldout,1400,2.272828229836055,0.6560233150209699,0.28750235587358475,0.22667322627135686,0.1787639463852559,0.6304556695478303,0.6062198494161878,0.35690782406244637
OpenBMI_MI,2,outer,800,1.9608103185892105,0.4929130896925926,0.2547354605048895,0.23193836212158203,0.13854483142495155,0.3686358816921711,0.5212765261530876,0.29111754945607354
OpenBMI_MI,2,heldout,1400,2.412113904953003,0.5439376788479942,0.2269926103098052,0.2337492954518114,0.20465610548853874,0.440484562090465,0.45903020777872633,0.3873207615973104
OpenBMI_MI,3,outer,800,2.6174682676792145,0.6439661476761103,0.25765379797667265,0.2504297513514757,0.19651037268340588,0.4075392559170723,0.5277203992009163,0.3657804154427133
OpenBMI_MI,3,heldout,1400,2.8639462419918607,0.7644467247383935,0.27691784713949474,0.25935022107192446,0.25504007350121227,0.5211120535220418,0.560463870210307,0.4333330547409881
OpenBMI_MI,4,outer,800,2.2043479830026627,0.32511667534708977,0.14506899006664753,0.2258210089057684,0.13260202761739492,0.3644977789372206,0.3625924699008465,0.28566921352182106
OpenBMI_MI,4,heldout,1400,2.654318000589098,0.39068643003702164,0.14275411516427994,0.23248871096542903,0.224108289661152,0.428395471402577,0.35136580414005686,0.4123800297477864
OpenBMI_ERP,0,outer,15840,19.720439916668518,6.440747084521284,0.3393298686228015,0.2765866853334386,0.44839497739543216,2.9195261183712216,4.609959637336057,0.6098317660565852
OpenBMI_ERP,0,heldout,27720,16.843892930871654,5.59328817953107,0.3424051447047128,0.1940722330705858,0.21364650842538815,2.7133874673692007,3.795708155872846,0.4195026540754949
OpenBMI_ERP,1,outer,15840,6.5224614102431016,2.6936917954623096,0.43774723437699403,0.1786025098440322,0.1457574631341479,1.3564002633395822,1.8082230159128556,0.3374294098201286
OpenBMI_ERP,1,heldout,27720,7.747583678549675,2.912723306900839,0.4054818499612946,0.19208562126407375,0.2202810479491992,1.546964621801913,1.9632073428895738,0.4282337703320396
OpenBMI_ERP,2,outer,15840,8.091022297107813,3.7908657241951333,0.4992738740386987,0.20776235113917577,0.16393893891098824,2.241536835468177,2.285616152756142,0.3475251708295531
OpenBMI_ERP,2,heldout,27720,9.048405742094802,4.253063540025191,0.4922963162822297,0.19620879211531572,0.2027573543387058,2.352641197424086,2.6115949663764986,0.4052893586505259
OpenBMI_ERP,3,outer,15840,9.946424993962953,3.8995477232668136,0.4446687402523527,0.21273741211290612,0.2533141759130163,1.9996721289826163,2.627789558274577,0.4561326226006202
