task,LiteBN_BA,LS_BA,delta_BA_pp,LiteBN_macro_F1,LS_macro_F1,delta_macro_F1_pp,LiteBN_accuracy,LS_accuracy,delta_accuracy_pp,positive_units,negative_units,tied_units,positive_subjects,negative_subjects,tied_subjects,median_subject_delta_pp,subject_bootstrap_low_pp,subject_bootstrap_high_pp
OpenBMI_MI,0.7448571428571429,0.7381428571428572,-0.6714285714285709,0.7371565373269793,0.7300747489150378,-0.7081788411941644,0.7448571428571429,0.7381428571428572,-0.671428571428572,5,9,0,5,9,0,-0.9999999999999977,-2.0428571428571423,0.728571428571428
OpenBMI_ERP,0.8465454545454545,0.846060606060606,-0.04848484848484737,0.8040400000928571,0.7959719552500549,-0.8068044842802156,0.8736219336219337,0.8643867243867244,-0.9235209235209244,8,6,0,8,6,0,0.1363636363636378,-0.4948051948051933,0.36537878787878897
OpenBMI_SSVEP,0.9069999999999999,0.9048571428571428,-0.21428571428571447,0.9058052181881715,0.9034812347367795,-0.23239834513918076,0.9069999999999999,0.9048571428571428,-0.21428571428571433,5,6,3,5,6,3,0.0,-0.6285714285714291,0.17142857142857157
WBCIC_MI,0.7922,0.7910999999999999,-0.10999999999999951,0.7871363836732524,0.7862818949283403,-0.08544887449122751,0.7921999999999999,0.7910999999999999,-0.11000000000000018,4,6,0,4,6,0,-0.29999999999999916,-0.5300000000000016,0.38000000000000017
