task,fold,LiteBN_BA,LS_BA,delta_BA_pp,LiteBN_macro_F1,LS_macro_F1,delta_macro_F1_pp,LiteBN_accuracy,LS_accuracy,delta_accuracy_pp
OpenBMI_ERP,0,0.8046590909090909,0.8186742424242425,1.401515151515155,0.7451189813836245,0.7686628741946218,2.3543892810997322,0.8256944444444444,0.8510732323232323,2.537878787878789
OpenBMI_ERP,1,0.8907575757575757,0.8852651515151515,-0.5492424242424243,0.8444899022334114,0.823401125942723,-2.108877629068834,0.9017676767676768,0.880239898989899,-2.1527777777777786
OpenBMI_ERP,2,0.765,0.7551893939393939,-0.9810606060606089,0.7508644792121363,0.7291233424410015,-2.174113677113475,0.8621212121212121,0.8392045454545455,-2.291666666666667
OpenBMI_ERP,3,0.8755681818181819,0.8749242424242424,-0.06439393939393911,0.815055352175992,0.8076218155130013,-0.7433536662990652,0.8777146464646465,0.8698232323232323,-0.7891414141414144
OpenBMI_ERP,4,0.826780303030303,0.8176515151515151,-0.9128787878787903,0.7689751777168532,0.7564484496108602,-1.2526728105992992,0.8484217171717172,0.8377525252525253,-1.0669191919191912
OpenBMI_MI,0,0.8262499999999999,0.81125,-1.5000000000000013,0.8239583329302677,0.8054723392437958,-1.8485993686471884,0.82625,0.81125,-1.4999999999999987
OpenBMI_MI,1,0.8325,0.82375,-0.8750000000000008,0.8303223777063317,0.8216140267238167,-0.8708350982515074,0.8325,0.82375,-0.8750000000000021
OpenBMI_MI,2,0.7275,0.71625,-1.1250000000000022,0.7222554584824781,0.7103935176766748,-1.1861940805803217,0.7275,0.7162499999999999,-1.1250000000000024
OpenBMI_MI,3,0.7875,0.75875,-2.8749999999999996,0.7851528645934953,0.7492219523894349,-3.593091220406045,0.7875,0.75875,-2.875000000000001
OpenBMI_MI,4,0.78375,0.7375,-4.624999999999998,0.7764506670099987,0.725863092872022,-5.058757413797661,0.78375,0.7375,-4.624999999999998
OpenBMI_SSVEP,0,0.84875,0.86,1.1250000000000004,0.8372615066922044,0.8495022265474291,1.2240719855224667,0.84875,0.86,1.1250000000000004
OpenBMI_SSVEP,1,0.91,0.8987499999999999,-1.1250000000000009,0.9090687223276143,0.8956788215454055,-1.338990078220874,0.91,0.8987499999999999,-1.1250000000000009
OpenBMI_SSVEP,2,0.8575,0.865,0.7499999999999979,0.8527857576436082,0.8572087608086759,0.44230031650676704,0.8574999999999999,0.865,0.7500000000000007
OpenBMI_SSVEP,3,0.86625,0.86875,0.2500000000000001,0.863601790863596,0.8607190454966444,-0.2882745366951663,0.86625,0.86875,0.24999999999999944
OpenBMI_SSVEP,4,0.9775,0.975,-0.2500000000000002,0.9774594338210711,0.9748638111732464,-0.25956226478247163,0.9775,0.975,-0.2500000000000002
WBCIC_MI,0,0.7792857142857142,0.7635714285714287,-1.5714285714285712,0.7776895502867539,0.7631075339575776,-1.4582016329176393,0.7792857142857142,0.7635714285714286,-1.5714285714285727
WBCIC_MI,1,0.7733333333333334,0.7641666666666667,-0.9166666666666673,0.7532636467401564,0.7485636677155055,-0.4699979024650856,0.7733333333333334,0.7641666666666667,-0.9166666666666693
WBCIC_MI,2,0.7558333333333334,0.7600000000000001,0.416666666666667,0.7545843026841036,0.757129511751565,0.25452090674612515,0.7558333333333334,0.7599999999999999,0.416666666666667
WBCIC_MI,3,0.8405408249158249,0.8347148569023569,-0.5825968013468038,0.8399306310758425,0.8332683285050257,-0.6662302570816773,0.840491452991453,0.8347435897435896,-0.574786324786325
WBCIC_MI,4,0.7875,0.795,0.7500000000000043,0.7856051426792515,0.7941304815923648,0.8525338913113115,0.7875,0.7949999999999999,0.7499999999999988
