task,fold,shallow_channels,q_dim,rank,bins,baseline_parameters,LS_parameters,extra_parameters,increase_percent
OpenBMI_MI,0,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_MI,1,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_MI,2,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_MI,3,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_MI,4,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_ERP,0,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_ERP,1,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_ERP,2,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_ERP,3,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_ERP,4,48,768,8,8,47978,54634,6656,13.873025136520905
OpenBMI_SSVEP,0,48,768,8,8,48108,54764,6656,13.835536709071256
OpenBMI_SSVEP,1,48,768,8,8,48108,54764,6656,13.835536709071256
OpenBMI_SSVEP,2,48,768,8,8,48108,54764,6656,13.835536709071256
OpenBMI_SSVEP,3,48,768,8,8,48108,54764,6656,13.835536709071256
OpenBMI_SSVEP,4,48,768,8,8,48108,54764,6656,13.835536709071256
WBCIC_MI,0,48,768,8,8,47786,54442,6656,13.92876574729
WBCIC_MI,1,48,768,8,8,47786,54442,6656,13.92876574729
WBCIC_MI,2,48,768,8,8,47786,54442,6656,13.92876574729
WBCIC_MI,3,48,768,8,8,47786,54442,6656,13.92876574729
WBCIC_MI,4,48,768,8,8,47786,54442,6656,13.92876574729
