dataset,method_id,outer_fold,model_family,configuration,threshold,candidate_order,calibration_delta_BA,calibration_worst_subject_delta,calibration_switch_rate,calibration_rescue_precision,calibration_harm_rate,selected,heldout_subjects_read_for_selection,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.35,0,-0.0211111111111111,-0.0649999999999999,0.0811111111111111,0.3698630136986301,0.6301369863013698,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.375,1,-0.0166666666666666,-0.05,0.07,0.3809523809523809,0.6190476190476191,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.4,2,-0.0166666666666666,-0.035,0.0588888888888888,0.3584905660377358,0.6415094339622641,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.425,3,-0.0116666666666666,-0.0350000000000001,0.0494444444444444,0.3820224719101123,0.6179775280898876,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.45,4,-0.0083333333333333,-0.02,0.0361111111111111,0.3846153846153846,0.6153846153846154,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.475,5,1.2335811384723961e-17,-0.01,0.0288888888888888,0.5,0.5,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.5,6,0.0027777777777777,-0.01,0.0172222222222222,0.5806451612903226,0.4193548387096774,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.525,7,0.0038888888888888,-0.0099999999999998,0.0127777777777777,0.6521739130434783,0.3478260869565217,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.55,8,0.0016666666666666,-0.01,0.0127777777777777,0.5652173913043478,0.4347826086956521,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.575,9,-0.001111111111111,-0.015,0.03,0.4814814814814814,0.5185185185185185,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.6,10,0.0011111111111111,-0.015,0.0366666666666666,0.5151515151515151,0.4848484848484848,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.625,11,-0.0022222222222222,-0.025,0.0544444444444444,0.4795918367346938,0.5204081632653061,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.003, ""penalty"": ""l2""}",0.65,12,-0.0044444444444444,-0.035,0.0677777777777777,0.4672131147540984,0.5327868852459017,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.35,13,-0.0155555555555555,-0.0549999999999999,0.0744444444444444,0.3955223880597014,0.6044776119402985,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.375,14,-0.015,-0.035,0.0638888888888888,0.3826086956521739,0.6173913043478261,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.4,15,-0.0138888888888889,-0.0350000000000001,0.0583333333333333,0.3809523809523809,0.6190476190476191,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.425,16,-0.0105555555555555,-0.0250000000000001,0.0472222222222222,0.388235294117647,0.611764705882353,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.45,17,-0.0027777777777777,-0.0199999999999999,0.0361111111111111,0.4615384615384615,0.5384615384615384,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.475,18,0.0022222222222222,-0.0099999999999998,0.0277777777777777,0.54,0.46,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.5,19,0.0033333333333333,-0.01,0.0188888888888888,0.5882352941176471,0.4117647058823529,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.525,20,0.0061111111111111,-0.005,0.0127777777777777,0.7391304347826086,0.2608695652173913,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.55,21,0.0016666666666666,-0.01,0.0138888888888888,0.56,0.44,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.575,22,-1.2335811384723961e-17,-0.015,0.0233333333333333,0.5,0.5,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.6,23,0.0011111111111111,-0.02,0.0377777777777777,0.5147058823529411,0.4852941176470588,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.625,24,-0.0016666666666666,-0.0299999999999999,0.0505555555555555,0.4835164835164835,0.5164835164835165,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.01, ""penalty"": ""l2""}",0.65,25,-0.0049999999999999,-0.0349999999999999,0.0627777777777777,0.4601769911504424,0.5398230088495575,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.35,26,-0.0138888888888889,-0.05,0.0716666666666666,0.4031007751937984,0.5968992248062015,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.375,27,-0.0138888888888889,-0.0449999999999999,0.0638888888888888,0.391304347826087,0.6086956521739131,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.4,28,-0.0116666666666667,-0.03,0.0561111111111111,0.396039603960396,0.6039603960396039,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.425,29,-0.0061111111111111,-0.025,0.0461111111111111,0.4337349397590361,0.5662650602409639,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.45,30,-0.0016666666666666,-0.015,0.0372222222222222,0.4776119402985074,0.5223880597014925,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.475,31,0.0044444444444444,-0.0099999999999998,0.0277777777777777,0.58,0.42,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.5,32,0.005,-0.01,0.0227777777777777,0.6097560975609756,0.3902439024390244,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.525,33,0.0049999999999999,-0.02,0.0194444444444444,0.6285714285714286,0.3714285714285714,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,linear,"{""C"": 0.03, ""penalty"": ""l2""}",0.55,34,0.0049999999999999,-0.01,0.0161111111111111,0.6551724137931034,0.3448275862068966,False,False,False
