dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,base_balanced_accuracy,delta_BA_vs_B_STRONG,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,1,0.8,0.8,0.7953964194373402,0.377668275636389,0.12463541843338782,0.11325726857906235,0.8,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,10,0.8049999999999999,0.805,0.8049561151259033,0.4271837311163054,0.13663705941648988,0.1039943447946238,0.8,0.004999999999999893,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,11,0.76,0.76,0.7597838054248824,0.5498483929376523,0.18443552433253102,0.09373669184240396,0.76,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,12,0.835,0.835,0.8349628666449951,0.4011718822732025,0.1250351533839541,0.12041356915049964,0.835,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,13,0.72,0.72,0.7186212440960708,0.5890784940224081,0.20095468492602805,0.10455296281115896,0.71,0.010000000000000009,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,14,0.815,0.815,0.8149953748843721,0.4541404316724065,0.14372440605715797,0.09978031307641674,0.815,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,15,0.8999999999999999,0.9,0.8998397435897436,0.32539077069946265,0.09082755929729462,0.13923808783929884,0.9099999999999999,-0.010000000000000009,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,16,0.885,0.885,0.8849971249281232,0.2765748381704576,0.08014611009345085,0.06718585969824226,0.885,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,18,0.885,0.885,0.8837179908491115,0.2567142658262671,0.07449056053428944,0.1355441971226248,0.9099999999999999,-0.02499999999999991,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,19,0.835,0.835,0.8323809523809524,0.3598440624346888,0.11355410056402833,0.07406089807665149,0.85,-0.015000000000000013,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,2,0.7949999999999999,0.795,0.7947485669945684,0.4600886942735034,0.1466034891925456,0.12933075526947735,0.825,-0.030000000000000027,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,20,0.905,0.905,0.9049786201895427,0.32382003696640466,0.0927480923852538,0.13779395731202843,0.8999999999999999,0.0050000000000001155,False
