dataset,method_id,switch_rate,rescue_count,harm_count,rescue_precision,harm_rate,worst_subject_delta,OUTER_TEST_USED
OpenBMI,A0_STATIC_B_STRONG,0.0,0,0,0.0,0.0,0.0,False
OpenBMI,A1_DYNAMIC_KEEP_FINAL,0.0127884615384615,90,43,0.6766917293233082,0.3233082706766917,-0.0149999999999999,False
OpenBMI,A2_KEEP_ACTION_NO_PERSIST,0.0246153846153846,128,128,0.5,0.5,-0.04,False
OpenBMI,A3_KEEP_ACTION_PERSIST,0.0235576923076923,118,127,0.4816326530612245,0.5183673469387755,-0.0449999999999999,False
OpenBMI,A4_WITHOUT_PROTECTED,0.0235576923076923,120,125,0.4897959183673469,0.5102040816326531,-0.04,False
OpenBMI,A5_WITHOUT_DECISION_DEPENDENCE,0.035576923076923,179,191,0.4837837837837838,0.5162162162162162,-0.04,False
OpenBMI,A6_WITHOUT_PERSISTENCE,0.0275961538461538,136,151,0.4738675958188153,0.5261324041811847,-0.04,False
OpenBMI,A7_WITHOUT_ACTION_MOVEMENT,0.0279807692307692,142,149,0.4879725085910653,0.5120274914089347,-0.04,False
OpenBMI,A8_WITHOUT_ENSEMBLE_DISAGREEMENT,0.0284615384615384,144,152,0.4864864864864865,0.5135135135135135,-0.0449999999999999,False
OpenBMI,A9_CAPACITY_MATCHED_GENERIC,0.0231730769230769,114,127,0.4730290456431535,0.5269709543568465,-0.04,False
WBCIC-development,W1_RAW_LINEAR,0.0549115314215985,238,212,0.5288888888888889,0.4711111111111111,-0.0349999999999999,False
WBCIC-development,W1_DEEPSETS_KEEP,0.0439292251372788,188,172,0.5222222222222223,0.4777777777777778,-0.065,False
WBCIC-development,W0_B_STRONG_PROBABILITY_MEAN,0.0,0,0,0.0,0.0,0.0,False
