dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,base_balanced_accuracy,delta_BA_vs_B_STRONG,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,1,0.8,0.8,0.7960016319869441,0.4033978147469389,0.13188211462300617,0.12992539266515948,0.8,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,10,0.815,0.815,0.8149583656322672,0.43119841588392577,0.1354629667960964,0.07205228080837249,0.8,0.014999999999999902,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,11,0.75,0.75,0.74997499749975,0.5326549533732503,0.1786911790167705,0.050330472077712796,0.76,-0.010000000000000009,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,12,0.85,0.85,0.8498648783905515,0.3684498450643295,0.11578761427627902,0.08428300293582633,0.835,0.015000000000000013,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,13,0.69,0.69,0.6838025295797634,0.5847238000393307,0.19743888873117993,0.10751430504894895,0.71,-0.020000000000000018,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,14,0.7949999999999999,0.795,0.7948717948717949,0.43783055256852393,0.13691324349941048,0.06584953880593272,0.815,-0.020000000000000018,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,15,0.9099999999999999,0.91,0.9096748293857888,0.2766597088238314,0.07814825340955416,0.08894908190858664,0.9099999999999999,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,16,0.885,0.885,0.8849741191768148,0.2564510825852994,0.07618247542922593,0.05056915164262346,0.885,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,18,0.9199999999999999,0.92,0.9197109594540345,0.20069166776475997,0.05979782316582936,0.09303085312679046,0.9099999999999999,0.010000000000000009,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,19,0.8500000000000001,0.85,0.8494580489763148,0.370972872111299,0.11010233558588445,0.07681276326506734,0.85,1.1102230246251565e-16,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,2,0.845,0.845,0.8446854881134297,0.42169801608511215,0.13049267248672436,0.09628577563666771,0.825,0.020000000000000018,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,20,0.895,0.895,0.894681411269089,0.27504254749068674,0.08039026484283837,0.08474290770162538,0.8999999999999999,-0.004999999999999893,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,21,0.97,0.97,0.9699729756781104,0.09249003301694456,0.022203338553479925,0.03384977575848853,0.9650000000000001,0.004999999999999893,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,22,0.835,0.835,0.8348968105065666,0.4006774969936142,0.12552308860845127,0.07799284630783007,0.8300000000000001,0.004999999999999893,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,23,0.905,0.905,0.9049405878674172,0.24947222478302636,0.07141430394360426,0.07981839426900289,0.91,-0.0050000000000000044,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,24,0.7050000000000001,0.705,0.6967438513530878,0.6242969271636896,0.21076715938567198,0.1780303188835883,0.69,0.015000000000000124,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,25,0.89,0.89,0.8891017239641092,0.2549207302356254,0.083583794273032,0.08316036945058165,0.875,0.015000000000000013,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,26,0.84,0.84,0.83998399839984,0.32655447787646447,0.10501211366604542,0.06291481705758634,0.85,-0.010000000000000009,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,27,0.93,0.93,0.93,0.30485992493703196,0.08578519917224504,0.1374172327824096,0.895,0.03500000000000003,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,28,0.98,0.98,0.9799979997999799,0.06482621548266307,0.016048058370195024,0.03529691572692966,0.985,-0.0050000000000000044,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,29,0.9199999999999999,0.92,0.9196060697417345,0.242409402210238,0.0715734006488245,0.057720228960662916,0.915,0.004999999999999893,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,3,0.9199999999999999,0.92,0.9199279351416274,0.17850758715304893,0.052673859933015946,0.042045369330105824,0.925,-0.0050000000000001155,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,30,0.855,0.855,0.8549963749093727,0.3363625774270654,0.10685512597170764,0.060047705198023285,0.83,0.025000000000000022,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,31,0.865,0.865,0.8642363293526085,0.3497299059974466,0.10765144114773927,0.09750227760988424,0.8600000000000001,0.004999999999999893,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,32,0.965,0.965,0.9649991249781245,0.09959285907956683,0.027978556404987177,0.04242624914476768,0.965,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,33,0.98,0.98,0.98,0.045278240369775825,0.011403059230665133,0.03341341298980673,0.98,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,34,0.7250000000000001,0.725,0.7229986653572058,0.5899359356706354,0.1892443992702767,0.09336298609021716,0.7150000000000001,0.010000000000000009,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,35,0.99,0.99,0.99,0.08188462105609098,0.01882958473322624,0.050192367105636695,0.975,0.015000000000000013,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,36,0.98,0.98,0.9799919967987194,0.05881618213976747,0.015016736074126942,0.03636614449957169,0.98,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,37,0.995,0.995,0.9949998749968749,0.061814943683949915,0.014402067345690394,0.044878188778509076,0.995,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,38,0.805,0.805,0.8019047619047619,0.4533807705032122,0.14717891049200704,0.12758461224487394,0.8,0.0050000000000000044,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,39,0.895,0.895,0.8949763696831787,0.2943841929689232,0.08358337127728524,0.05327123454404416,0.9,-0.0050000000000000044,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,4,0.75,0.75,0.75,0.4649508310524341,0.15425171081120337,0.10050076588655064,0.73,0.020000000000000018,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,40,0.8,0.8,0.7999199679871949,0.4507375632309108,0.14400204586842444,0.0999061206013015,0.795,0.0050000000000000044,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,41,0.7649999999999999,0.765,0.7642869680784372,0.5101748762068009,0.16567606199480633,0.11768015015054338,0.76,0.004999999999999893,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,42,0.77,0.77,0.7676767676767677,0.5422788625730577,0.16575583756561263,0.10536754649118375,0.76,0.010000000000000009,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,43,0.87,0.87,0.8698828946051447,0.29918820088956594,0.09054155519483523,0.08115484701287945,0.87,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,44,0.9299999999999999,0.93,0.9298245614035088,0.16869194100136986,0.04979713229960023,0.06850552320558306,0.925,0.004999999999999893,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,45,0.88,0.88,0.8794091046126018,0.3263950824067922,0.09690325319680582,0.11554311005575577,0.875,0.0050000000000000044,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,46,0.7,0.7,0.6816638370118846,0.638500858386787,0.2010623369827435,0.17057425140395746,0.71,-0.010000000000000009,False
