dataset,method_id,outer_fold,model_family,configuration,threshold,candidate_order,calibration_delta_BA,calibration_worst_subject_delta,calibration_switch_rate,calibration_rescue_precision,calibration_harm_rate,selected,heldout_subjects_read_for_selection,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,0,stacking,"{""l2"": 0.01, ""learn_scale"": true, ""session_specific"": false}",0.5,0,0.005555555555555548,-0.0050000000000000044,0.014444444444444444,0.6923076923076923,0.3076923076923077,True,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,0,stacking,"{""l2"": 0.1, ""learn_scale"": true, ""session_specific"": false}",0.5,1,0.0016666666666666804,-0.0050000000000000044,0.009444444444444445,0.5882352941176471,0.4117647058823529,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,0,stacking,"{""l2"": 1.0, ""learn_scale"": true, ""session_specific"": false}",0.5,2,-0.0011111111111111122,-0.0050000000000000044,0.006666666666666667,0.4166666666666667,0.5833333333333334,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,1,stacking,"{""l2"": 0.01, ""learn_scale"": true, ""session_specific"": false}",0.5,0,0.0050000000000000044,0.0,0.008333333333333333,0.8,0.2,True,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,1,stacking,"{""l2"": 0.1, ""learn_scale"": true, ""session_specific"": false}",0.5,1,0.0011111111111111243,0.0,0.0033333333333333335,0.6666666666666666,0.3333333333333333,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,1,stacking,"{""l2"": 1.0, ""learn_scale"": true, ""session_specific"": false}",0.5,2,0.0022222222222222365,0.0,0.0033333333333333335,0.8333333333333334,0.16666666666666666,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,2,stacking,"{""l2"": 0.01, ""learn_scale"": true, ""session_specific"": false}",0.5,0,-0.0005555555555555561,-0.019999999999999907,0.01611111111111111,0.4827586206896552,0.5172413793103449,True,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,2,stacking,"{""l2"": 0.1, ""learn_scale"": true, ""session_specific"": false}",0.5,1,-0.0027777777777778048,-0.019999999999999907,0.01611111111111111,0.41379310344827586,0.5862068965517241,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,2,stacking,"{""l2"": 1.0, ""learn_scale"": true, ""session_specific"": false}",0.5,2,-0.003333333333333361,-0.020000000000000018,0.015555555555555555,0.39285714285714285,0.6071428571428571,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_MASKED_POOL_THR050,3,stacking,"{""l2"": 0.01, ""learn_scale"": true, ""session_specific"": false}",0.5,0,0.002222222222222212,-0.015000000000000013,0.014444444444444444,0.5769230769230769,0.4230769230769231,True,False,False
