dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,base_balanced_accuracy,delta_BA_vs_B_STRONG,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,1,0.8,0.8,0.7960016319869441,0.377668275636389,0.1246354184333878,0.1132572685790623,0.8,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,10,0.8,0.8,0.8,0.4271837311163054,0.1366370594164898,0.1039943447946238,0.8,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,11,0.76,0.76,0.7597838054248824,0.5498483929376523,0.184435524332531,0.0937366918424039,0.76,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,12,0.835,0.835,0.8349628666449951,0.4011718822732025,0.1250351533839541,0.1204135691504996,0.835,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,13,0.71,0.71,0.705762987012987,0.5890784940224081,0.200954684926028,0.1045529628111589,0.71,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,14,0.815,0.815,0.8149583656322672,0.4541404316724065,0.1437244060571579,0.0997803130764167,0.815,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,15,0.91,0.91,0.9097744360902256,0.3253907706994626,0.0908275592972946,0.1392380878392988,0.91,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,16,0.885,0.885,0.8849741191768148,0.2765748381704576,0.0801461100934508,0.0671858596982422,0.885,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,18,0.91,0.91,0.9094202898550724,0.2567142658262671,0.0744905605342894,0.1355441971226248,0.91,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,19,0.85,0.85,0.8487750781328763,0.3598440624346888,0.1135541005640283,0.0740608980766514,0.85,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,2,0.825,0.825,0.8249956248906223,0.4600886942735034,0.1466034891925456,0.1293307552694773,0.825,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,20,0.8999999999999999,0.9,0.899749373433584,0.3238200369664046,0.0927480923852538,0.1377939573120284,0.8999999999999999,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,21,0.965,0.965,0.9649570724137068,0.0847762501535038,0.0219355114689627,0.0372905260092547,0.965,0.0,False
