dataset,method_id,outer_fold,model_family,configuration,threshold,candidate_order,calibration_delta_BA,calibration_worst_subject_delta,calibration_switch_rate,calibration_rescue_precision,calibration_harm_rate,selected,heldout_subjects_read_for_selection,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.35,0,-0.030000000000000013,-0.06999999999999995,0.10666666666666667,0.359375,0.640625,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.375,1,-0.027222222222222234,-0.06499999999999995,0.09166666666666666,0.3515151515151515,0.6484848484848484,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.4,2,-0.018888888888888893,-0.06499999999999995,0.07555555555555556,0.375,0.625,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.425,3,-0.009444444444444465,-0.040000000000000036,0.05611111111111111,0.4158415841584158,0.5841584158415841,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.45,4,-0.0066666666666666975,-0.040000000000000036,0.04,0.4166666666666667,0.5833333333333334,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.475,5,-0.0022222222222222365,-0.020000000000000018,0.01888888888888889,0.4411764705882353,0.5588235294117647,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.5,6,0.0,0.0,0.0,0.0,0.0,True,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.525,7,-0.005555555555555536,-0.015000000000000013,0.01888888888888889,0.35294117647058826,0.6470588235294118,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.55,8,-0.004999999999999992,-0.025000000000000022,0.042777777777777776,0.44155844155844154,0.5584415584415584,False,False,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_B6_THRESHOLD_ONLY,0,threshold_only,{},0.575,9,-0.00555555555555556,-0.030000000000000027,0.06111111111111111,0.45454545454545453,0.5454545454545454,False,False,False
