dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,base_balanced_accuracy,delta_BA_vs_B_STRONG,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,1,0.8,0.8,0.7960016319869441,0.377668275636389,0.12463541843338782,0.11325726857906235,0.8,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,10,0.8,0.8,0.8,0.4271837311163054,0.13663705941648988,0.1039943447946238,0.8,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,11,0.76,0.76,0.7597838054248824,0.5498483929376523,0.18443552433253102,0.09373669184240396,0.76,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,12,0.835,0.835,0.8349628666449951,0.4011718822732025,0.1250351533839541,0.12041356915049964,0.835,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,13,0.71,0.71,0.705762987012987,0.5890784940224081,0.20095468492602805,0.10455296281115896,0.71,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,14,0.815,0.815,0.8149583656322672,0.4541404316724065,0.14372440605715797,0.09978031307641674,0.815,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,15,0.9099999999999999,0.91,0.9097744360902256,0.32539077069946265,0.09082755929729462,0.13923808783929884,0.9099999999999999,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,16,0.885,0.885,0.8849741191768148,0.2765748381704576,0.08014611009345085,0.06718585969824226,0.885,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,18,0.9099999999999999,0.91,0.9094202898550725,0.2567142658262671,0.07449056053428944,0.1355441971226248,0.9099999999999999,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,19,0.85,0.85,0.8487750781328763,0.3598440624346888,0.11355410056402833,0.07406089807665149,0.85,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,2,0.825,0.825,0.8249956248906223,0.4600886942735034,0.1466034891925456,0.12933075526947735,0.825,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,20,0.8999999999999999,0.9,0.899749373433584,0.32382003696640466,0.0927480923852538,0.13779395731202843,0.8999999999999999,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,21,0.9650000000000001,0.965,0.9649570724137068,0.08477625015350389,0.02193551146896274,0.0372905260092547,0.9650000000000001,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,A0_STATIC_B_STRONG,22,0.8300000000000001,0.83,0.8299319727891157,0.41071207533127607,0.1291118870975152,0.09102727906734427,0.8300000000000001,0.0,False
