dataset,method_id,outer_fold,subjects,mean_subject_BA,Delta_BA_vs_B_STRONG,OUTER_TEST_USED
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,0,11,0.8309090909090909,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,1,11,0.8613636363636364,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,2,10,0.8684999999999998,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,3,10,0.7935,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M0_B_STRONG_B6,4,10,0.8779999999999999,0.0,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,0,11,0.8418181818181819,0.0109090909090909,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,1,11,0.8609090909090908,-0.0004545454545454,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,2,10,0.8695,0.001,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,3,10,0.7905,-0.003,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_LINEAR,4,10,0.8809999999999999,0.0029999999999999,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_HGB,0,11,0.8309090909090909,2.018587317500285e-17,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_HGB,1,11,0.8645454545454545,0.0031818181818181,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_HGB,2,10,0.867,-0.0015,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_HGB,3,10,0.793,-0.0005,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M1_DYNAMIC_KEEP_HGB,4,10,0.8855000000000001,0.0074999999999999,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M2_KEEP_ACTION_LINEAR,0,11,0.8363636363636364,0.0054545454545454,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M2_KEEP_ACTION_LINEAR,1,11,0.8563636363636363,-0.005,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M2_KEEP_ACTION_LINEAR,2,10,0.8605,-0.0079999999999999,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M2_KEEP_ACTION_LINEAR,3,10,0.796,0.0025,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M2_KEEP_ACTION_LINEAR,4,10,0.8805000000000002,0.0024999999999999,False
OpenBMI_SSVEP_NEMAR_nm000273_offline,M2_KEEP_ACTION_HGB,0,11,0.8245454545454546,-0.0063636363636363,False
