round,method,parent,design_change,source_units,openbmi_class_fidelity,wbcic_class_fidelity,openbmi_coverage,wbcic_coverage,candidate_survival,openbmi_target_distance_ci95_l,wbcic_target_distance_ci95_l,openbmi_target_nll_ci95_l,wbcic_target_nll_ci95_l,openbmi_primary_delta_min,openbmi_primary_delta_max,wbcic_primary_delta_min,wbcic_primary_delta_max,openbmi_vs_random_delta_min,openbmi_vs_random_delta_max,wbcic_vs_random_delta_min,wbcic_vs_random_delta_max,all_recipes_pass,terminal,future_or_outer_opened,outer_or_sealed_opened
R1,R1-TaskProtected-Bures,SCST-V1,global Bures transport with rank-one task projection,30,0.3129895833,0.3263749983,0.4036666667,0.4095274475,0.4161611671,0.2157636062,0.3231461537,3.2090889804,4.5135538690,-0.0029960317,-0.0018253968,-0.0035862692,-0.0016288905,-0.0005787037,0.0005919312,-0.0011551833,0.0008021954,false,R1_SOURCE_GATE_FAILED,false,false
R2,R2-LowRank-Local-OT,R1-TaskProtected-Bures,source-only local low-rank target-conditional OT,30,0.1960920139,0.2244585904,0.3369861111,0.3599998638,0.3486281890,0.2631459153,0.3594969741,1.9318574132,2.8794350959,-0.0032539683,-0.0027579365,-0.0037899318,-0.0015069393,-0.0002777778,0.0002182540,-0.0012364156,0.0010465769,false,R2_SOURCE_GATE_FAILED,false,false
R3,R3-TaskProtected-Local-OT,R2-LowRank-Local-OT,rank-one source task-centroid projection of frozen local displacement,30,0.1969835069,0.2328908431,0.3403819444,0.3675384374,0.3541724052,0.2256534470,0.3198364798,1.9748029844,3.0321355833,-0.0029166667,-0.0022420635,-0.0035866798,-0.0015475897,-0.0003670635,0.0003075397,-0.0012708385,0.0007682512,false,SCST_CONSTRUCTIVE_SEARCH_EXHAUSTED,false,false
