task,variant,mean_inner_val_BA,mean_delta_vs_F0_pp,mean_delta_vs_matched_LiteBN_pp,nonnegative_folds_vs_F0
OpenBMI_SSVEP,F0,0.9026666666666665,0.0,1.0000000000000009,5
OpenBMI_SSVEP,F1,0.9013333333333332,-0.1333333333333364,0.8666666666666647,2
OpenBMI_SSVEP,F2,0.901,-0.1666666666666683,0.8333333333333325,2
