task,fold,variant,seed,selected_epoch,inner_val_BA,matched_LiteBN_BA,delta_vs_F0_pp,delta_vs_matched_LiteBN_pp
OpenBMI_SSVEP,0,F0,0,18,0.9466666666666668,0.9383333333333336,0.0,0.8333333333333193
OpenBMI_SSVEP,0,F1,0,44,0.9483333333333333,0.9383333333333336,0.1666666666666483,0.9999999999999676
OpenBMI_SSVEP,0,F2,0,51,0.9483333333333333,0.9383333333333336,0.1666666666666483,0.9999999999999676
OpenBMI_SSVEP,1,F0,0,35,0.9083333333333332,0.9033333333333332,0.0,0.5000000000000004
OpenBMI_SSVEP,1,F1,0,34,0.9116666666666666,0.9033333333333332,0.33333333333334103,0.8333333333333415
OpenBMI_SSVEP,1,F2,0,34,0.9116666666666666,0.9033333333333332,0.33333333333334103,0.8333333333333415
OpenBMI_SSVEP,2,F0,0,23,0.9333333333333332,0.9133333333333332,0.0,2.0000000000000018
OpenBMI_SSVEP,2,F1,0,20,0.9283333333333333,0.9133333333333332,-0.49999999999998934,1.5000000000000124
OpenBMI_SSVEP,2,F2,0,20,0.9283333333333333,0.9133333333333332,-0.49999999999998934,1.5000000000000124
OpenBMI_SSVEP,3,F0,0,48,0.88,0.8649999999999999,0.0,1.5000000000000124
OpenBMI_SSVEP,3,F1,0,58,0.875,0.8649999999999999,-0.5000000000000004,1.000000000000012
OpenBMI_SSVEP,3,F2,0,47,0.8733333333333334,0.8649999999999999,-0.6666666666666599,0.8333333333333526
OpenBMI_SSVEP,4,F0,0,8,0.8450000000000001,0.8433333333333334,0.0,0.16666666666667052
OpenBMI_SSVEP,4,F1,0,4,0.8433333333333333,0.8433333333333334,-0.16666666666668162,-1.1102230246251565e-14
OpenBMI_SSVEP,4,F2,0,4,0.8433333333333333,0.8433333333333334,-0.16666666666668162,-1.1102230246251565e-14
