task,condition,subject_id,future_BA,WS_BA
OpenBMI_MI,M00_ORIGINAL,12,0.7140000000000001,0.7140000000000001
OpenBMI_MI,M00_ORIGINAL,13,0.732,0.732
OpenBMI_MI,M00_ORIGINAL,17,0.622,0.622
OpenBMI_MI,M00_ORIGINAL,18,0.712,0.712
OpenBMI_MI,M00_ORIGINAL,24,0.5700000000000001,0.5700000000000001
OpenBMI_MI,M00_ORIGINAL,25,0.976,0.78
OpenBMI_MI,M00_ORIGINAL,29,0.708,0.628
OpenBMI_MI,M00_ORIGINAL,36,0.9299999999999999,0.9299999999999999
OpenBMI_MI,M00_ORIGINAL,37,0.726,0.698
OpenBMI_MI,M00_ORIGINAL,39,0.776,0.776
OpenBMI_MI,M00_ORIGINAL,4,0.8280000000000001,0.726
OpenBMI_MI,M00_ORIGINAL,42,0.714,0.714
OpenBMI_MI,M00_ORIGINAL,51,0.6859999999999999,0.6859999999999999
OpenBMI_MI,M00_ORIGINAL,54,0.734,0.6699999999999999
OpenBMI_MI,M01_TRANSPLANT_STATE,12,0.726,0.726
OpenBMI_MI,M01_TRANSPLANT_STATE,13,0.726,0.726
OpenBMI_MI,M01_TRANSPLANT_STATE,17,0.636,0.636
OpenBMI_MI,M01_TRANSPLANT_STATE,18,0.704,0.704
OpenBMI_MI,M01_TRANSPLANT_STATE,24,0.5599999999999999,0.5599999999999999
OpenBMI_MI,M01_TRANSPLANT_STATE,25,0.976,0.78
OpenBMI_MI,M01_TRANSPLANT_STATE,29,0.702,0.618
OpenBMI_MI,M01_TRANSPLANT_STATE,36,0.9259999999999999,0.9259999999999999
OpenBMI_MI,M01_TRANSPLANT_STATE,37,0.732,0.704
OpenBMI_MI,M01_TRANSPLANT_STATE,39,0.784,0.784
OpenBMI_MI,M01_TRANSPLANT_STATE,4,0.834,0.732
OpenBMI_MI,M01_TRANSPLANT_STATE,42,0.722,0.722
OpenBMI_MI,M01_TRANSPLANT_STATE,51,0.6779999999999999,0.6779999999999999
OpenBMI_MI,M01_TRANSPLANT_STATE,54,0.734,0.65
OpenBMI_MI,M10_RESTORE_STATE,12,0.734,0.734
OpenBMI_MI,M10_RESTORE_STATE,13,0.71,0.708
OpenBMI_MI,M10_RESTORE_STATE,17,0.612,0.612
OpenBMI_MI,M10_RESTORE_STATE,18,0.712,0.712
OpenBMI_MI,M10_RESTORE_STATE,24,0.568,0.568
OpenBMI_MI,M10_RESTORE_STATE,25,0.9800000000000001,0.79
OpenBMI_MI,M10_RESTORE_STATE,29,0.708,0.602
OpenBMI_MI,M10_RESTORE_STATE,36,0.9299999999999999,0.9299999999999999
OpenBMI_MI,M10_RESTORE_STATE,37,0.736,0.704
OpenBMI_MI,M10_RESTORE_STATE,39,0.766,0.766
OpenBMI_MI,M10_RESTORE_STATE,4,0.8280000000000001,0.738
OpenBMI_MI,M10_RESTORE_STATE,42,0.724,0.724
OpenBMI_MI,M10_RESTORE_STATE,51,0.6839999999999999,0.6839999999999999
OpenBMI_MI,M10_RESTORE_STATE,54,0.716,0.646
OpenBMI_MI,M11_ADAPTED,12,0.74,0.74
OpenBMI_MI,M11_ADAPTED,13,0.708,0.708
OpenBMI_MI,M11_ADAPTED,17,0.6220000000000001,0.6220000000000001
OpenBMI_MI,M11_ADAPTED,18,0.728,0.728
OpenBMI_MI,M11_ADAPTED,24,0.5720000000000001,0.5720000000000001
OpenBMI_MI,M11_ADAPTED,25,0.9800000000000001,0.788
OpenBMI_MI,M11_ADAPTED,29,0.708,0.608
OpenBMI_MI,M11_ADAPTED,36,0.9279999999999999,0.9279999999999999
OpenBMI_MI,M11_ADAPTED,37,0.73,0.708
OpenBMI_MI,M11_ADAPTED,39,0.766,0.766
OpenBMI_MI,M11_ADAPTED,4,0.8280000000000001,0.75
OpenBMI_MI,M11_ADAPTED,42,0.712,0.712
OpenBMI_MI,M11_ADAPTED,51,0.6739999999999999,0.6739999999999999
OpenBMI_MI,M11_ADAPTED,54,0.728,0.65
WBCIC_MI,M00_ORIGINAL,sub-10,0.805,0.617
WBCIC_MI,M00_ORIGINAL,sub-15,0.745,0.735
WBCIC_MI,M00_ORIGINAL,sub-20,0.523,0.523
WBCIC_MI,M00_ORIGINAL,sub-39,0.835,0.561
WBCIC_MI,M00_ORIGINAL,sub-4,0.633,0.5589999999999999
WBCIC_MI,M00_ORIGINAL,sub-40,0.874,0.7769999999999999
WBCIC_MI,M00_ORIGINAL,sub-43,0.992,0.992
WBCIC_MI,M00_ORIGINAL,sub-46,0.968,0.968
WBCIC_MI,M00_ORIGINAL,sub-51,0.804,0.745
WBCIC_MI,M00_ORIGINAL,sub-8,0.914,0.875
WBCIC_MI,M01_TRANSPLANT_STATE,sub-10,0.8119999999999999,0.631
WBCIC_MI,M01_TRANSPLANT_STATE,sub-15,0.733,0.732
WBCIC_MI,M01_TRANSPLANT_STATE,sub-20,0.534,0.534
WBCIC_MI,M01_TRANSPLANT_STATE,sub-39,0.835,0.529
WBCIC_MI,M01_TRANSPLANT_STATE,sub-4,0.631,0.564
WBCIC_MI,M01_TRANSPLANT_STATE,sub-40,0.873,0.791
WBCIC_MI,M01_TRANSPLANT_STATE,sub-43,0.994,0.994
WBCIC_MI,M01_TRANSPLANT_STATE,sub-46,0.975,0.975
WBCIC_MI,M01_TRANSPLANT_STATE,sub-51,0.7969999999999999,0.752
WBCIC_MI,M01_TRANSPLANT_STATE,sub-8,0.9199999999999999,0.8870000000000001
WBCIC_MI,M10_RESTORE_STATE,sub-10,0.794,0.632
WBCIC_MI,M10_RESTORE_STATE,sub-15,0.761,0.72
WBCIC_MI,M10_RESTORE_STATE,sub-20,0.508,0.508
WBCIC_MI,M10_RESTORE_STATE,sub-39,0.8400000000000001,0.5599999999999999
WBCIC_MI,M10_RESTORE_STATE,sub-4,0.636,0.576
WBCIC_MI,M10_RESTORE_STATE,sub-40,0.8699999999999999,0.761
WBCIC_MI,M10_RESTORE_STATE,sub-43,0.994,0.993
WBCIC_MI,M10_RESTORE_STATE,sub-46,0.966,0.966
WBCIC_MI,M10_RESTORE_STATE,sub-51,0.807,0.753
WBCIC_MI,M10_RESTORE_STATE,sub-8,0.9049999999999999,0.874
WBCIC_MI,M11_ADAPTED,sub-10,0.808,0.638
WBCIC_MI,M11_ADAPTED,sub-15,0.75,0.718
WBCIC_MI,M11_ADAPTED,sub-20,0.51,0.51
WBCIC_MI,M11_ADAPTED,sub-39,0.842,0.524
WBCIC_MI,M11_ADAPTED,sub-4,0.626,0.5770000000000001
WBCIC_MI,M11_ADAPTED,sub-40,0.868,0.776
WBCIC_MI,M11_ADAPTED,sub-43,0.9960000000000001,0.9949999999999999
WBCIC_MI,M11_ADAPTED,sub-46,0.97,0.97
WBCIC_MI,M11_ADAPTED,sub-51,0.8019999999999999,0.767
WBCIC_MI,M11_ADAPTED,sub-8,0.906,0.884
