task,condition,subject_id,session,BA,macro_F1,folds
OpenBMI_MI,M00_ORIGINAL,12,S1,0.728,0.7144313261565834,5
OpenBMI_MI,M00_ORIGINAL,12,S2,0.7140000000000001,0.7031101558747485,5
OpenBMI_MI,M00_ORIGINAL,13,S1,0.736,0.7225313866208399,5
OpenBMI_MI,M00_ORIGINAL,13,S2,0.732,0.7306781618038217,5
OpenBMI_MI,M00_ORIGINAL,17,S1,0.752,0.7514997487787405,5
OpenBMI_MI,M00_ORIGINAL,17,S2,0.622,0.609548643460968,5
OpenBMI_MI,M00_ORIGINAL,18,S1,0.728,0.7273827470274288,5
OpenBMI_MI,M00_ORIGINAL,18,S2,0.712,0.711594364583936,5
OpenBMI_MI,M00_ORIGINAL,24,S1,0.6779999999999999,0.6729696135027107,5
OpenBMI_MI,M00_ORIGINAL,24,S2,0.5700000000000001,0.5183629792914661,5
OpenBMI_MI,M00_ORIGINAL,25,S1,0.78,0.7709268361792544,5
OpenBMI_MI,M00_ORIGINAL,25,S2,0.976,0.9759795739225394,5
OpenBMI_MI,M00_ORIGINAL,29,S1,0.628,0.6077621199747553,5
OpenBMI_MI,M00_ORIGINAL,29,S2,0.708,0.7067385582697826,5
OpenBMI_MI,M00_ORIGINAL,36,S1,0.952,0.9519931978792118,5
OpenBMI_MI,M00_ORIGINAL,36,S2,0.9299999999999999,0.9299108328214105,5
OpenBMI_MI,M00_ORIGINAL,37,S1,0.698,0.6947266152642173,5
OpenBMI_MI,M00_ORIGINAL,37,S2,0.726,0.7095978461720251,5
OpenBMI_MI,M00_ORIGINAL,39,S1,0.8280000000000001,0.8276352854087621,5
OpenBMI_MI,M00_ORIGINAL,39,S2,0.776,0.7743699314055112,5
OpenBMI_MI,M00_ORIGINAL,4,S1,0.726,0.7242350349411234,5
OpenBMI_MI,M00_ORIGINAL,4,S2,0.8280000000000001,0.8264459004882972,5
OpenBMI_MI,M00_ORIGINAL,42,S1,0.736,0.7321549192424739,5
OpenBMI_MI,M00_ORIGINAL,42,S2,0.714,0.7085193847089666,5
OpenBMI_MI,M00_ORIGINAL,51,S1,0.714,0.7060391311581824,5
OpenBMI_MI,M00_ORIGINAL,51,S2,0.6859999999999999,0.6821233689134748,5
OpenBMI_MI,M00_ORIGINAL,54,S1,0.6699999999999999,0.6676039358532864,5
OpenBMI_MI,M00_ORIGINAL,54,S2,0.734,0.733211820860764,5
OpenBMI_MI,M01_TRANSPLANT_STATE,12,S1,0.728,0.7131137048034223,5
OpenBMI_MI,M01_TRANSPLANT_STATE,12,S2,0.726,0.7133115225006321,5
OpenBMI_MI,M01_TRANSPLANT_STATE,13,S1,0.732,0.7204276698334096,5
OpenBMI_MI,M01_TRANSPLANT_STATE,13,S2,0.726,0.7243052883751293,5
OpenBMI_MI,M01_TRANSPLANT_STATE,17,S1,0.752,0.7511926185220149,5
OpenBMI_MI,M01_TRANSPLANT_STATE,17,S2,0.636,0.6216442378498364,5
OpenBMI_MI,M01_TRANSPLANT_STATE,18,S1,0.734,0.7328299544806494,5
OpenBMI_MI,M01_TRANSPLANT_STATE,18,S2,0.704,0.7029856851831642,5
OpenBMI_MI,M01_TRANSPLANT_STATE,24,S1,0.674,0.6687933012245176,5
OpenBMI_MI,M01_TRANSPLANT_STATE,24,S2,0.5599999999999999,0.49789619357190584,5
OpenBMI_MI,M01_TRANSPLANT_STATE,25,S1,0.78,0.7698869151513562,5
