task,condition,future_BA,WS_BA,subjects
OpenBMI_MI,M00_ORIGINAL,0.7448571428571429,0.7112857142857143,14
OpenBMI_MI,M11_ADAPTED,0.7445714285714284,0.7110000000000001,14
OpenBMI_MI,M10_RESTORE_STATE,0.7434285714285712,0.7084285714285715,14
OpenBMI_MI,M01_TRANSPLANT_STATE,0.7457142857142857,0.7104285714285714,14
WBCIC_MI,M00_ORIGINAL,0.8093,0.7352,10
WBCIC_MI,M11_ADAPTED,0.8078,0.7359000000000001,10
WBCIC_MI,M10_RESTORE_STATE,0.8080999999999999,0.7343,10
WBCIC_MI,M01_TRANSPLANT_STATE,0.8103999999999999,0.7389,10
