fold,seed,task,block,dimensions,persistence_strength,geometry_primary,geometry_cross_session,u_abs,u_spec
1,1,mi,0,1,0.8540804386138916,0.17647058823529413,0.17647058823529413,-0.0003124591781579,-0.0058912643991451
1,1,mi,1,1,0.5224930047988892,0.17647058823529413,0.17647058823529413,-0.0010911310065401,-0.0073533785962888
1,1,mi,2,3,0.4024275541305542,0.039448367986413005,0.01784220474831618,0.0006850633768224,-0.0178079090777532
1,1,mi,3,4,0.18782059848308563,0.5105229478556114,0.5227073990647189,0.0147460857338771,-0.0099415608719307
1,1,mi,4,4,0.11190290749073029,0.8765900355030884,0.8787414958918017,0.0794533828446037,0.0688043220958254
1,1,mi,5,4,0.04653359204530716,0.7369295521130037,0.7419000537550804,0.0218444877117877,-0.0014701926504911
1,1,mi,6,3,0.006578341126441956,0.5667706339736613,0.5349144508700482,0.0095663227683039,-0.0089302622293044
1,1,erp,0,1,0.8540804386138916,0.23529411764705882,0.23529411764705882,-0.000161555003542,-0.0017301394331692
1,1,erp,1,1,0.5224930047988892,0.11764705882352941,-0.11764705882352941,-9.740020923167472e-05,-0.0016414119130132
1,1,erp,2,3,0.4024275541305542,0.09049698908076931,-0.022995728866312064,-0.0004256609326971,-0.0059386243257789
1,1,erp,3,4,0.18782059848308563,0.2103012607470369,0.14411709325593935,0.0006436120733151,-0.0069474099077828
1,1,erp,4,4,0.11190290749073029,0.1344398133825285,-0.04439208427960101,-3.2092178792336463e-06,-0.0078031451007095
1,1,erp,5,4,0.04653359204530716,0.6395045544308404,0.6324879162613849,0.0201946569196625,0.0169910267778438
1,1,erp,6,3,0.006578341126441956,0.6531111736370451,0.6646544691054173,0.0119030830623328,0.0086081904549012
1,1,ssvep,0,1,0.8540804386138916,0.18907563025210083,0.19663865546218487,5.640929444339711e-05,-0.0032198614890484
1,1,ssvep,1,1,0.5224930047988892,0.3075630252100841,0.3075630252100841,-4.548855217844543e-05,-0.0029821627805889
1,1,ssvep,2,3,0.4024275541305542,0.5890756302521011,0.5907563025210086,0.0003877885023433,-0.0120384440306458
1,1,ssvep,3,4,0.18782059848308563,0.8285714285714286,0.8277310924369748,0.0451630229541284,0.0359182156451397
1,1,ssvep,4,4,0.11190290749073029,0.7218487394957984,0.7210084033613448,0.0463470503978769,0.0365583952360125
1,1,ssvep,5,4,0.04653359204530716,0.7932773109243698,0.7957983193277313,0.0019348244590366,-0.0159811976361642
1,1,ssvep,6,3,0.006578341126441956,0.5882352941176472,0.5882352941176472,0.0014764558129141,-0.0102927511299068
