Model,Task,subject_id,Protected_WSBA,Random_WSBA,PSWA_pp,folds
TeCh,OpenBMI_ERP,17,0.63125,0.547375,8.387500000000001,5
TeCh,OpenBMI_ERP,18,0.665625,0.6180312499999999,4.759375000000001,5
TeCh,OpenBMI_ERP,24,0.59375,0.56540625,2.8343750000000023,5
TeCh,OpenBMI_ERP,25,0.65,0.5932187499999999,5.678125,5
TeCh,OpenBMI_ERP,29,0.721875,0.6403125000000001,8.156250000000004,5
TeCh,OpenBMI_ERP,36,0.834375,0.7034375,13.093749999999996,5
TeCh,OpenBMI_ERP,37,0.6125,0.6060000000000001,0.6499999999999996,5
TeCh,OpenBMI_ERP,39,0.621875,0.57240625,4.946874999999997,5
TeCh,OpenBMI_ERP,42,0.746875,0.64465625,10.221875000000002,5
TeCh,OpenBMI_ERP,51,0.68125,0.5700624999999999,11.118750000000002,5
TeCh,OpenBMI_ERP,54,0.615625,0.53734375,7.828124999999998,5
TeCh,OpenBMI_SSVEP,4,0.8699999999999999,0.7684799999999999,10.152000000000001,5
TeCh,OpenBMI_SSVEP,12,0.752,0.6350800000000001,11.691999999999995,5
TeCh,OpenBMI_SSVEP,13,0.5100000000000001,0.41854,9.145999999999997,5
TeCh,OpenBMI_SSVEP,17,0.5740000000000001,0.45742000000000005,11.657999999999998,5
TeCh,OpenBMI_SSVEP,18,0.85,0.7701800000000001,7.981999999999992,5
TeCh,OpenBMI_SSVEP,24,0.6880000000000001,0.55812,12.988000000000005,5
TeCh,OpenBMI_SSVEP,25,0.7659999999999999,0.6841600000000001,8.183999999999992,5
TeCh,OpenBMI_SSVEP,29,0.728,0.6197,10.829999999999995,5
TeCh,OpenBMI_SSVEP,36,0.8879999999999999,0.80328,8.472000000000001,5
TeCh,OpenBMI_SSVEP,37,0.8699999999999999,0.7481399999999999,12.185999999999996,5
TeCh,OpenBMI_SSVEP,39,0.702,0.57568,12.632,5
TeCh,OpenBMI_SSVEP,42,0.43000000000000005,0.3795800000000001,5.041999999999996,5
TeCh,OpenBMI_SSVEP,51,0.47400000000000003,0.36268,11.132000000000001,5
TeCh,OpenBMI_SSVEP,54,0.45,0.38930000000000003,6.070000000000002,5
TeCh,WBCIC_MI,sub-4,0.5125,0.47943750000000007,3.306250000000001,5
TeCh,WBCIC_MI,sub-8,0.809375,0.6543125,15.50625,5
TeCh,WBCIC_MI,sub-10,0.60625,0.53659375,6.965624999999998,5
TeCh,WBCIC_MI,sub-15,0.634375,0.563625,7.074999999999998,5
TeCh,WBCIC_MI,sub-20,0.484375,0.49625,-1.1875000000000024,5
TeCh,WBCIC_MI,sub-39,0.478125,0.46274999999999994,1.5375000000000008,5
TeCh,WBCIC_MI,sub-40,0.603125,0.54396875,5.915625000000002,5
TeCh,WBCIC_MI,sub-43,0.7875,0.6840937500000001,10.340625,5
TeCh,WBCIC_MI,sub-46,0.74375,0.65915625,8.459375000000003,5
TeCh,WBCIC_MI,sub-51,0.646875,0.5789375,6.793749999999998,5
ModernTCN,OpenBMI_MI,4,0.5,0.4771875,2.2812500000000013,1
ModernTCN,OpenBMI_MI,12,0.390625,0.4678125,-7.718750000000002,1
ModernTCN,OpenBMI_MI,13,0.5,0.47421875,2.578124999999998,1
ModernTCN,OpenBMI_MI,17,0.484375,0.43296875,5.140624999999998,1
ModernTCN,OpenBMI_MI,18,0.5,0.45359375,4.640624999999998,1
ModernTCN,OpenBMI_MI,24,0.5,0.4915625,0.8437499999999987,1
ModernTCN,OpenBMI_MI,25,0.484375,0.46265625,2.171875000000001,1
ModernTCN,OpenBMI_MI,29,0.453125,0.43828125,1.484374999999999,1
ModernTCN,OpenBMI_MI,36,0.515625,0.4584375,5.71875,1
ModernTCN,OpenBMI_MI,37,0.4375,0.46796875,-3.046874999999999,1
ModernTCN,OpenBMI_MI,39,0.453125,0.47765625,-2.4531250000000004,1
ModernTCN,OpenBMI_MI,42,0.40625,0.4665625,-6.031249999999999,1
ModernTCN,OpenBMI_MI,51,0.453125,0.4771875,-2.4062499999999987,1
ModernTCN,OpenBMI_MI,54,0.421875,0.4684375,-4.656250000000001,1
ModernTCN,OpenBMI_ERP,4,0.684375,0.5655937499999999,11.878125,5
ModernTCN,OpenBMI_ERP,12,0.859375,0.65196875,20.740625,5
ModernTCN,OpenBMI_ERP,13,0.784375,0.6248750000000001,15.95,5
ModernTCN,OpenBMI_ERP,17,0.63125,0.53734375,9.390624999999998,5
