benchmark,stage,method_id,mean_subject_BA,OUTER_TEST_USED
OpenBMI,V6,MI_SPECIFIC_BACKBONE_ADAPTED,0.832037037037037,False
OpenBMI,V7 strongest generic,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,0.8377777777777777,False
OpenBMI,V7 best PERSIST,ANCHOR_BLEND_PERSIST_META,0.836851851851852,False
WBCIC,V6,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,0.8208170115792067,False
WBCIC,V7 strongest generic,ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,0.8249672025129341,False
WBCIC,V7 best PERSIST,ANCHOR_PLUS_PERSIST_META_RESIDUAL,0.8216796008869179,False
