dataset,rho_protected,CI95_low,CI95_high,sign_probability,n_biological_subjects,bootstrap_draws
OpenBMI,0.4538960494286693,0.10902347825397338,0.7121631328474536,0.9945,36,10000
WBCIC,0.43283956100540694,0.16543458284492982,0.629984809710944,0.9984,41,10000
