dataset,fold,subject_id,session,label,purpose,row_index,trial_uid
OpenBMI,0,1,2,withheld_until_outcome_lock,query,107,1-2-mi-1train-00007
OpenBMI,0,1,2,withheld_until_outcome_lock,query,108,1-2-mi-1train-00008
OpenBMI,0,1,2,withheld_until_outcome_lock,query,109,1-2-mi-1train-00009
OpenBMI,0,1,2,withheld_until_outcome_lock,query,114,1-2-mi-1train-00014
OpenBMI,0,1,2,withheld_until_outcome_lock,query,115,1-2-mi-1train-00015
OpenBMI,0,1,2,withheld_until_outcome_lock,query,117,1-2-mi-1train-00017
OpenBMI,0,1,2,withheld_until_outcome_lock,query,120,1-2-mi-1train-00020
OpenBMI,0,1,2,withheld_until_outcome_lock,query,122,1-2-mi-1train-00022
OpenBMI,0,1,2,withheld_until_outcome_lock,query,123,1-2-mi-1train-00023
OpenBMI,0,1,2,withheld_until_outcome_lock,query,126,1-2-mi-1train-00026
OpenBMI,0,1,2,withheld_until_outcome_lock,query,127,1-2-mi-1train-00027
OpenBMI,0,1,2,withheld_until_outcome_lock,query,130,1-2-mi-1train-00030
OpenBMI,0,1,2,withheld_until_outcome_lock,query,131,1-2-mi-1train-00031
OpenBMI,0,1,2,withheld_until_outcome_lock,query,135,1-2-mi-1train-00035
OpenBMI,0,1,2,withheld_until_outcome_lock,query,136,1-2-mi-1train-00036
OpenBMI,0,1,2,withheld_until_outcome_lock,query,137,1-2-mi-1train-00037
OpenBMI,0,1,2,withheld_until_outcome_lock,query,138,1-2-mi-1train-00038
OpenBMI,0,1,2,withheld_until_outcome_lock,query,139,1-2-mi-1train-00039
OpenBMI,0,1,2,withheld_until_outcome_lock,query,141,1-2-mi-1train-00041
OpenBMI,0,1,2,withheld_until_outcome_lock,query,142,1-2-mi-1train-00042
OpenBMI,0,1,2,withheld_until_outcome_lock,query,144,1-2-mi-1train-00044
OpenBMI,0,1,2,withheld_until_outcome_lock,query,145,1-2-mi-1train-00045
OpenBMI,0,1,2,withheld_until_outcome_lock,query,148,1-2-mi-1train-00048
OpenBMI,0,1,2,withheld_until_outcome_lock,query,149,1-2-mi-1train-00049
OpenBMI,0,1,2,withheld_until_outcome_lock,query,150,1-2-mi-1train-00050
OpenBMI,0,1,2,withheld_until_outcome_lock,query,162,1-2-mi-1train-00062
OpenBMI,0,1,2,withheld_until_outcome_lock,query,172,1-2-mi-1train-00072
OpenBMI,0,1,2,withheld_until_outcome_lock,query,174,1-2-mi-1train-00074
OpenBMI,0,1,2,withheld_until_outcome_lock,query,178,1-2-mi-1train-00078
OpenBMI,0,1,2,withheld_until_outcome_lock,query,180,1-2-mi-1train-00080
OpenBMI,0,1,2,withheld_until_outcome_lock,query,183,1-2-mi-1train-00083
OpenBMI,0,1,2,withheld_until_outcome_lock,query,184,1-2-mi-1train-00084
OpenBMI,0,1,2,withheld_until_outcome_lock,query,189,1-2-mi-1train-00089
OpenBMI,0,1,2,withheld_until_outcome_lock,query,191,1-2-mi-1train-00091
OpenBMI,0,1,2,withheld_until_outcome_lock,query,193,1-2-mi-1train-00093
OpenBMI,0,1,2,withheld_until_outcome_lock,query,197,1-2-mi-1train-00097
OpenBMI,0,10,2,withheld_until_outcome_lock,query,301,10-2-mi-1train-00001
OpenBMI,0,10,2,withheld_until_outcome_lock,query,305,10-2-mi-1train-00005
OpenBMI,0,10,2,withheld_until_outcome_lock,query,307,10-2-mi-1train-00007
OpenBMI,0,10,2,withheld_until_outcome_lock,query,308,10-2-mi-1train-00008
OpenBMI,0,10,2,withheld_until_outcome_lock,query,311,10-2-mi-1train-00011
OpenBMI,0,10,2,withheld_until_outcome_lock,query,312,10-2-mi-1train-00012
OpenBMI,0,10,2,withheld_until_outcome_lock,query,315,10-2-mi-1train-00015
OpenBMI,0,10,2,withheld_until_outcome_lock,query,318,10-2-mi-1train-00018
OpenBMI,0,10,2,withheld_until_outcome_lock,query,320,10-2-mi-1train-00020
OpenBMI,0,10,2,withheld_until_outcome_lock,query,324,10-2-mi-1train-00024
OpenBMI,0,10,2,withheld_until_outcome_lock,query,328,10-2-mi-1train-00028
OpenBMI,0,10,2,withheld_until_outcome_lock,query,331,10-2-mi-1train-00031
OpenBMI,0,10,2,withheld_until_outcome_lock,query,335,10-2-mi-1train-00035
OpenBMI,0,10,2,withheld_until_outcome_lock,query,339,10-2-mi-1train-00039
OpenBMI,0,10,2,withheld_until_outcome_lock,query,340,10-2-mi-1train-00040
OpenBMI,0,10,2,withheld_until_outcome_lock,query,341,10-2-mi-1train-00041
OpenBMI,0,10,2,withheld_until_outcome_lock,query,347,10-2-mi-1train-00047
OpenBMI,0,10,2,withheld_until_outcome_lock,query,348,10-2-mi-1train-00048
OpenBMI,0,10,2,withheld_until_outcome_lock,query,352,10-2-mi-1train-00052
OpenBMI,0,10,2,withheld_until_outcome_lock,query,359,10-2-mi-1train-00059
OpenBMI,0,10,2,withheld_until_outcome_lock,query,364,10-2-mi-1train-00064
OpenBMI,0,10,2,withheld_until_outcome_lock,query,366,10-2-mi-1train-00066
OpenBMI,0,10,2,withheld_until_outcome_lock,query,370,10-2-mi-1train-00070
OpenBMI,0,10,2,withheld_until_outcome_lock,query,371,10-2-mi-1train-00071
OpenBMI,0,10,2,withheld_until_outcome_lock,query,372,10-2-mi-1train-00072
OpenBMI,0,10,2,withheld_until_outcome_lock,query,374,10-2-mi-1train-00074
OpenBMI,0,10,2,withheld_until_outcome_lock,query,375,10-2-mi-1train-00075
OpenBMI,0,10,2,withheld_until_outcome_lock,query,376,10-2-mi-1train-00076
OpenBMI,0,10,2,withheld_until_outcome_lock,query,377,10-2-mi-1train-00077
OpenBMI,0,10,2,withheld_until_outcome_lock,query,378,10-2-mi-1train-00078
OpenBMI,0,10,2,withheld_until_outcome_lock,query,379,10-2-mi-1train-00079
OpenBMI,0,10,2,withheld_until_outcome_lock,query,381,10-2-mi-1train-00081
OpenBMI,0,10,2,withheld_until_outcome_lock,query,382,10-2-mi-1train-00082
OpenBMI,0,10,2,withheld_until_outcome_lock,query,388,10-2-mi-1train-00088
OpenBMI,0,10,2,withheld_until_outcome_lock,query,389,10-2-mi-1train-00089
OpenBMI,0,10,2,withheld_until_outcome_lock,query,394,10-2-mi-1train-00094
OpenBMI,0,17,2,withheld_until_outcome_lock,query,1300,17-2-mi-1train-00000
OpenBMI,0,17,2,withheld_until_outcome_lock,query,1303,17-2-mi-1train-00003
