dataset,fold,draw,rho_nonprotected,n_subjects
OpenBMI,0.0,0,0.9288784237188525,9
OpenBMI,0.0,1,0.6443571047419068,9
OpenBMI,0.0,2,0.6945667492672501,9
OpenBMI,0.0,3,0.8033543124054942,9
OpenBMI,0.0,4,0.7531446678801508,9
OpenBMI,0.0,5,0.8619322310183947,9
OpenBMI,0.0,6,0.8284591346681658,9
OpenBMI,0.0,7,0.6945667492672501,9
OpenBMI,0.0,8,0.7531446678801508,9
OpenBMI,0.0,9,0.7113032974423646,9
OpenBMI,0.0,10,0.6443571047419068,9
OpenBMI,0.0,11,0.8033543124054942,9
OpenBMI,0.0,12,0.8200908605806085,9
OpenBMI,0.0,13,0.8033543124054942,9
OpenBMI,0.0,14,0.836827408755723,9
OpenBMI,0.0,15,0.903773601456181,9
OpenBMI,0.0,16,0.8619322310183947,9
OpenBMI,0.0,17,0.8284591346681658,9
OpenBMI,0.0,18,0.903773601456181,9
OpenBMI,0.0,19,0.6945667492672501,9
OpenBMI,0.0,20,0.619252282479235,9
OpenBMI,0.0,21,0.7447763937925935,9
OpenBMI,0.0,22,0.836827408755723,9
OpenBMI,0.0,23,0.8284591346681658,9
OpenBMI,0.0,24,0.8786687791935092,9
OpenBMI,0.0,25,0.8284591346681658,9
OpenBMI,0.0,26,0.6276205565667923,9
OpenBMI,0.0,27,0.7531446678801508,9
OpenBMI,0.0,28,0.6443571047419068,9
OpenBMI,0.0,29,0.8451956828432803,9
OpenBMI,0.0,30,0.6443571047419068,9
OpenBMI,0.0,31,0.6276205565667923,9
OpenBMI,0.0,32,0.8033543124054942,9
OpenBMI,0.0,33,0.5941474602165634,9
OpenBMI,0.0,34,0.6443571047419068,9
OpenBMI,0.0,35,0.7866177642303797,9
OpenBMI,0.0,36,0.8535639569308375,9
OpenBMI,0.0,37,0.6276205565667923,9
OpenBMI,0.0,38,0.7029350233548073,9
OpenBMI,0.0,39,0.7531446678801508,9
OpenBMI,0.0,40,0.6276205565667923,9
OpenBMI,0.0,41,0.8535639569308375,9
OpenBMI,0.0,42,0.8786687791935092,9
OpenBMI,0.0,43,0.8451956828432803,9
OpenBMI,0.0,44,0.7866177642303797,9
OpenBMI,0.0,45,0.8535639569308375,9
OpenBMI,0.0,46,0.9288784237188525,9
OpenBMI,0.0,47,0.6276205565667923,9
OpenBMI,0.0,48,0.8284591346681658,9
OpenBMI,0.0,49,0.8535639569308375,9
OpenBMI,0.0,50,0.8451956828432803,9
OpenBMI,0.0,51,0.8535639569308375,9
OpenBMI,0.0,52,0.5941474602165634,9
OpenBMI,0.0,53,0.903773601456181,9
OpenBMI,0.0,54,0.6276205565667923,9
OpenBMI,0.0,55,0.8703005051059519,9
OpenBMI,0.0,56,0.6945667492672501,9
OpenBMI,0.0,57,0.8033543124054942,9
OpenBMI,0.0,58,0.8703005051059519,9
OpenBMI,0.0,59,0.6610936529170212,9
OpenBMI,0.0,60,0.5941474602165634,9
OpenBMI,0.0,61,0.7447763937925935,9
OpenBMI,0.0,62,0.7531446678801508,9
OpenBMI,0.0,63,0.5523060897787773,9
OpenBMI,0.0,64,0.8786687791935092,9
OpenBMI,0.0,65,0.7531446678801508,9
OpenBMI,0.0,66,0.7866177642303797,9
OpenBMI,0.0,67,0.8033543124054942,9
OpenBMI,0.0,68,0.8033543124054942,9
OpenBMI,0.0,69,0.8284591346681658,9
OpenBMI,0.0,70,0.6443571047419068,9
OpenBMI,0.0,71,0.836827408755723,9
OpenBMI,0.0,72,0.8535639569308375,9
OpenBMI,0.0,73,0.8619322310183947,9
OpenBMI,0.0,74,0.8033543124054942,9
OpenBMI,0.0,75,0.6945667492672501,9
OpenBMI,0.0,76,0.6276205565667923,9
OpenBMI,0.0,77,0.6945667492672501,9
OpenBMI,0.0,78,0.8200908605806085,9
OpenBMI,0.0,79,0.6945667492672501,9
OpenBMI,0.0,80,0.8619322310183947,9
OpenBMI,0.0,81,0.8033543124054942,9
OpenBMI,0.0,82,0.619252282479235,9
OpenBMI,0.0,83,0.7531446678801508,9
OpenBMI,0.0,84,0.6610936529170212,9
OpenBMI,0.0,85,0.7113032974423646,9
OpenBMI,0.0,86,0.8535639569308375,9
OpenBMI,0.0,87,0.8619322310183947,9
