dataset,fold,subject_id,BA,accuracy,macro_F1,NLL,trials,difficulty,query_definition
OpenBMI,0,1,0.7777777777777778,0.7777777777777778,0.7770897832817337,0.47860918214204634,36,0.2222222222222222,OpenBMI S2 residual after descriptor
OpenBMI,0,10,0.6666666666666667,0.6666666666666666,0.6571428571428571,0.6946757496981054,36,0.33333333333333326,OpenBMI S2 residual after descriptor
OpenBMI,0,17,0.6111111111111112,0.6111111111111112,0.60625,0.6902467258867726,36,0.38888888888888884,OpenBMI S2 residual after descriptor
OpenBMI,0,28,0.9166666666666666,0.9166666666666666,0.9166023166023166,0.18535492734077244,36,0.08333333333333337,OpenBMI S2 residual after descriptor
OpenBMI,0,3,0.9166666666666666,0.9166666666666666,0.9166023166023166,0.2246357619943326,36,0.08333333333333337,OpenBMI S2 residual after descriptor
OpenBMI,0,45,0.8611111111111112,0.8611111111111112,0.8583792289535799,0.3242439460106545,36,0.13888888888888884,OpenBMI S2 residual after descriptor
OpenBMI,0,48,0.5555555555555556,0.5555555555555556,0.5183946488294314,1.0723316672876262,36,0.4444444444444444,OpenBMI S2 residual after descriptor
OpenBMI,0,54,0.8055555555555556,0.8055555555555556,0.8054054054054054,0.46999457408911494,36,0.19444444444444442,OpenBMI S2 residual after descriptor
OpenBMI,0,6,1.0,1.0,1.0,0.05836790956797496,36,0.0,OpenBMI S2 residual after descriptor
OpenBMI,1,11,0.7777777777777777,0.7777777777777778,0.775,0.4698512469412512,36,0.22222222222222232,OpenBMI S2 residual after descriptor
OpenBMI,1,17,0.5,0.5,0.4109090909090909,0.9794857465476421,36,0.5,OpenBMI S2 residual after descriptor
OpenBMI,1,19,0.8333333333333333,0.8333333333333334,0.8285714285714285,0.5210613509806178,36,0.16666666666666674,OpenBMI S2 residual after descriptor
OpenBMI,1,22,0.8333333333333333,0.8333333333333334,0.8328173374613003,0.3761218159587947,36,0.16666666666666674,OpenBMI S2 residual after descriptor
OpenBMI,1,3,0.9722222222222222,0.9722222222222222,0.9722007722007722,0.10136997084375578,36,0.02777777777777779,OpenBMI S2 residual after descriptor
OpenBMI,1,38,0.6111111111111112,0.6111111111111112,0.5418181818181818,0.7084163456008706,36,0.38888888888888884,OpenBMI S2 residual after descriptor
OpenBMI,1,40,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.2782225116900239,36,0.11111111111111116,OpenBMI S2 residual after descriptor
OpenBMI,1,50,0.5555555555555556,0.5555555555555556,0.5183946488294314,0.6717153258868955,36,0.4444444444444444,OpenBMI S2 residual after descriptor
OpenBMI,1,7,0.8611111111111112,0.8611111111111112,0.8610038610038611,0.37566497746827526,36,0.13888888888888884,OpenBMI S2 residual after descriptor
OpenBMI,2,14,0.75,0.75,0.7482517482517483,0.5721536833671763,36,0.25,OpenBMI S2 residual after descriptor
OpenBMI,2,16,0.8055555555555556,0.8055555555555556,0.8054054054054054,0.4260873330078631,36,0.19444444444444442,OpenBMI S2 residual after descriptor
OpenBMI,2,17,0.6666666666666666,0.6666666666666666,0.6493506493506493,0.7766408324414198,36,0.33333333333333337,OpenBMI S2 residual after descriptor
OpenBMI,2,25,1.0,1.0,1.0,0.08038488124933313,36,0.0,OpenBMI S2 residual after descriptor
OpenBMI,2,30,0.6111111111111112,0.6111111111111112,0.609907120743034,0.6932555643810123,36,0.38888888888888884,OpenBMI S2 residual after descriptor
OpenBMI,2,49,0.7777777777777777,0.7777777777777778,0.775,0.48014385022004546,36,0.22222222222222232,OpenBMI S2 residual after descriptor
OpenBMI,2,5,0.75,0.75,0.7401764234161989,0.5143999101752686,36,0.25,OpenBMI S2 residual after descriptor
OpenBMI,2,6,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.18127330990678425,36,0.05555555555555558,OpenBMI S2 residual after descriptor
OpenBMI,2,9,0.5277777777777778,0.5277777777777778,0.5244755244755245,0.8832069708313376,36,0.4722222222222222,OpenBMI S2 residual after descriptor
OpenBMI,3,16,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.25718455545886443,36,0.11111111111111116,OpenBMI S2 residual after descriptor
OpenBMI,3,22,0.8055555555555556,0.8055555555555556,0.8041958041958042,0.4982370704390731,36,0.19444444444444442,OpenBMI S2 residual after descriptor
OpenBMI,3,23,0.75,0.75,0.7450826121164438,0.5393954706674914,36,0.25,OpenBMI S2 residual after descriptor
OpenBMI,3,31,0.8333333333333333,0.8333333333333334,0.8285714285714285,0.29216362891796366,36,0.16666666666666674,OpenBMI S2 residual after descriptor
OpenBMI,3,35,0.8888888888888888,0.8888888888888888,0.8875,0.3698070310233519,36,0.11111111111111116,OpenBMI S2 residual after descriptor
OpenBMI,3,36,0.9722222222222222,0.9722222222222222,0.9722007722007722,0.048712899506014096,36,0.02777777777777779,OpenBMI S2 residual after descriptor
OpenBMI,3,43,0.8611111111111112,0.8611111111111112,0.8583792289535799,0.3205861932928124,36,0.13888888888888884,OpenBMI S2 residual after descriptor
OpenBMI,3,51,0.8888888888888888,0.8888888888888888,0.8885448916408669,0.3235497491358366,36,0.11111111111111116,OpenBMI S2 residual after descriptor
OpenBMI,3,52,0.8888888888888888,0.8888888888888888,0.8885448916408669,0.2740437830362126,36,0.11111111111111116,OpenBMI S2 residual after descriptor
OpenBMI,4,24,0.6666666666666666,0.6666666666666666,0.6493506493506493,0.8703176034838713,36,0.33333333333333337,OpenBMI S2 residual after descriptor
