dataset,fold,subject_id,protected_rank,align_protected,novelty_protected,direction_strength_protected,novelty_nonprotected_descriptor,novelty_pca_descriptor,novelty_full_latent_descriptor,BA,difficulty,NLL,accuracy,macro_F1,trials
OpenBMI,0,1,9,0.5845226877566515,0.4154773122433485,1.135622396728179,0.4049385455278874,0.1317904484682275,0.204900579083112,0.7777777777777778,0.2222222222222222,0.47860918214204634,0.7777777777777778,0.7770897832817337,36
OpenBMI,0,3,9,0.9251828840760424,0.0748171159239574,1.6222863696273475,0.3226706190300627,0.0284291029875324,0.0503303736637213,0.9166666666666666,0.08333333333333337,0.2246357619943326,0.9166666666666666,0.9166023166023166,36
OpenBMI,0,6,9,0.7987354211042825,0.2012645788957174,1.800338891131534,0.1331888445533395,0.049154749506697,0.0690677080803341,1.0,0.0,0.05836790956797496,1.0,1.0,36
OpenBMI,0,10,9,0.6697596910647159,0.3302403089352841,1.1543385502365453,0.4310387989671077,0.0681747965160042,0.14663196295529,0.6666666666666667,0.33333333333333326,0.6946757496981054,0.6666666666666666,0.6571428571428571,36
OpenBMI,0,17,9,0.7951528998245401,0.2048471001754599,1.2109099635341258,0.8226148432498381,0.1611310235023113,0.2415280926808569,0.6111111111111112,0.38888888888888884,0.6902467258867726,0.6111111111111112,0.60625,36
OpenBMI,0,28,9,0.9015171045046606,0.0984828954953394,1.833869801764067,0.2343665856366773,0.020892598074955,0.0468184732703892,0.9166666666666666,0.08333333333333337,0.18535492734077244,0.9166666666666666,0.9166023166023166,36
OpenBMI,0,45,9,0.8696396147812901,0.1303603852187098,1.382150435964142,0.2943256659011777,0.0595682678744529,0.0876524300250882,0.8611111111111112,0.13888888888888884,0.3242439460106545,0.8611111111111112,0.8583792289535799,36
OpenBMI,0,48,9,0.2952516292516535,0.7047483707483465,0.769561448866139,0.4164539438224851,0.2089864964849462,0.3147699032885848,0.5555555555555556,0.4444444444444444,1.0723316672876262,0.5555555555555556,0.5183946488294314,36
OpenBMI,0,54,9,0.6939609751009144,0.3060390248990856,0.8456555914782877,0.4895921392946466,0.0645149068559743,0.1700626663070935,0.8055555555555556,0.19444444444444442,0.46999457408911494,0.8055555555555556,0.8054054054054054,36
OpenBMI,1,3,5,0.9870863753487014,0.0129136246512986,1.7773079069600255,0.6273119344872075,0.020436186583101,0.0409321935534479,0.9722222222222222,0.02777777777777779,0.10136997084375578,0.9722222222222222,0.9722007722007722,36
OpenBMI,1,7,5,0.9452908291149136,0.0547091708850864,1.2091389649749211,0.6143520831750121,0.0104324448167183,0.0410302780031375,0.8611111111111112,0.13888888888888884,0.37566497746827526,0.8611111111111112,0.8610038610038611,36
OpenBMI,1,11,5,0.6289335504023462,0.3710664495976538,0.6725487485306247,0.5591065632563227,0.1130800935181783,0.2046568369542472,0.7777777777777777,0.22222222222222232,0.4698512469412512,0.7777777777777778,0.775,36
OpenBMI,1,17,5,0.6702826974959141,0.3297173025040859,0.8041412968995698,0.8784365453219641,0.1858840873109277,0.279891421880559,0.5,0.5,0.9794857465476421,0.5,0.4109090909090909,36
OpenBMI,1,19,5,0.8992187484139278,0.1007812515860722,1.308252666361147,0.5631329161533851,0.0191695103920146,0.0508613201507202,0.8333333333333333,0.16666666666666674,0.5210613509806178,0.8333333333333334,0.8285714285714285,36
OpenBMI,1,22,5,0.844422381703638,0.1555776182963619,0.7432542437387983,0.8128104767192768,0.0906946051040391,0.2015665753633539,0.8333333333333333,0.16666666666666674,0.3761218159587947,0.8333333333333334,0.8328173374613003,36
OpenBMI,1,38,5,0.8802159239168834,0.1197840760831165,0.8895380461118875,0.7237106778097929,0.063025070043003,0.1665602742020682,0.6111111111111112,0.38888888888888884,0.7084163456008706,0.6111111111111112,0.5418181818181818,36
OpenBMI,1,40,5,0.8582414651962281,0.1417585348037718,1.271373385127176,0.4073659290127096,0.0414965407050504,0.0767595637934134,0.8888888888888888,0.11111111111111116,0.2782225116900239,0.8888888888888888,0.8888888888888888,36
OpenBMI,1,50,5,0.5470329341165032,0.4529670658834968,0.60722800412481,0.8458466335957964,0.1423105821120515,0.3486868120232939,0.5555555555555556,0.4444444444444444,0.6717153258868955,0.5555555555555556,0.5183946488294314,36
