dataset,comparator,rho_control,rho_protected,delta_protected_minus_control,delta_CI95_low,delta_CI95_high,control_bootstrap_draws
OpenBMI,matched_nonprotected,0.3821399494905573,0.4538960494286693,0.071756099938112,-0.36625447873863476,0.5145593087915705,10000
OpenBMI,same_rank_PCA,0.5259102648341847,0.4538960494286693,-0.07201421540551539,-0.33795940961800086,0.16851299684895493,10000
OpenBMI,full_latent,0.7520194142794587,0.4538960494286693,-0.29812336485078944,-0.580430004000593,-0.07001283562157151,10000
WBCIC,matched_nonprotected,0.17260644695017477,0.43283956100540694,0.2602331140552322,-0.19448116644719876,0.711379151694303,10000
WBCIC,same_rank_PCA,0.41887718532820745,0.43283956100540694,0.01396237567719949,-0.21380090041159466,0.24927796188735793,10000
WBCIC,full_latent,0.38769181943197967,0.43283956100540694,0.04514774157342727,-0.32309763556252225,0.423636581082877,10000
