dataset,left_out_fold,rho_protected,n_subjects
OpenBMI,0,0.33753144087922804,27
OpenBMI,1,0.4215109327936464,29
OpenBMI,2,0.5904907715139375,29
OpenBMI,3,0.3979766531797976,29
OpenBMI,4,0.5362332169634777,30
WBCIC,0,0.43490422730336303,33
WBCIC,1,0.5008407659113289,33
WBCIC,2,0.22342319490359897,33
WBCIC,3,0.5496893928033108,33
WBCIC,4,0.41534022333898707,32
