dataset,beta0,beta_novelty,beta_log_direction_strength,beta_novelty_CI95,beta_log_direction_strength_CI95,draws
OpenBMI,0.20685585075382942,0.03577974264963309,-0.07983818796695441,"[-0.004738480056280771, 0.0662922724965013]","[-0.1162595719334368, -0.0408739095103534]",10000
WBCIC,0.16019076682094446,-0.028555449728628446,-0.11749781624621441,"[-0.07020106344225512, 0.01936929120875361]","[-0.15272037579588985, -0.07415927886473461]",10000
