dataset,fold,block,dimensions,persistence_supported,rho_G,rho_null_p95,n_subjects,protected,u_abs_mean,u_abs_CI95,u_abs_sign_probability,u_spec_mean,u_spec_CI95,u_spec_sign_probability,random_draws,split_info,protected_blocks,shared_geometry_effect,shared_geometry_n
OpenBMI,0,0,2,True,0.10094965793248226,0.025655368123985403,34,False,0.021463596288316983,"[0.01617117538604237, 0.026944394723279665]",1.0,0.0009793893193976164,"[-0.004220517323515999, 0.006474641595039837]",0.6326,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['7', '11', '12', '15', '18', '22', '23', '25', '27', '31', '37', '38', '39', '41', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '9', '16', '20', '21', '24', '26', '29', '30', '34', '35', '42', '43', '44', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['8', '9', '11', '15', '16', '18', '20', '24', '25', '26', '30', '34', '38', '39', '41', '43', '44'], 'eval_subjects': ['4', '5', '7', '12', '21', '22', '23', '27', '29', '31', '35', '37', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['11', '15', '22', '26', '27', '29', '30', '31', '35', '38', '39', '41', '43', '44', '49', '51', '52'], 'eval_subjects': ['4', '5', '7', '8', '9', '12', '16', '18', '20', '21', '23', '24', '25', '34', '37', '42', '46'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['4', '5', '7', '9', '11', '12', '16', '21', '24', '26', '29', '31', '34', '39', '41', '43', '44'], 'eval_subjects': ['8', '15', '18', '20', '22', '23', '25', '27', '30', '35', '37', '38', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['7', '9', '12', '21', '22', '23', '25', '27', '29', '31', '34', '42', '43', '44', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '11', '15', '16', '18', '20', '24', '26', '30', '35', '37', '38', '39', '41', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2, 3]",0.8275734904883202,34
OpenBMI,0,1,1,True,0.07667607153929369,0.035436293305698974,34,True,0.029804071113134833,"[0.025508292372698894, 0.03428555589805602]",1.0,0.02125497905900703,"[0.017144789136606744, 0.02566778430933238]",1.0,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['7', '11', '12', '15', '18', '22', '23', '25', '27', '31', '37', '38', '39', '41', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '9', '16', '20', '21', '24', '26', '29', '30', '34', '35', '42', '43', '44', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['8', '9', '11', '15', '16', '18', '20', '24', '25', '26', '30', '34', '38', '39', '41', '43', '44'], 'eval_subjects': ['4', '5', '7', '12', '21', '22', '23', '27', '29', '31', '35', '37', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['11', '15', '22', '26', '27', '29', '30', '31', '35', '38', '39', '41', '43', '44', '49', '51', '52'], 'eval_subjects': ['4', '5', '7', '8', '9', '12', '16', '18', '20', '21', '23', '24', '25', '34', '37', '42', '46'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['4', '5', '7', '9', '11', '12', '16', '21', '24', '26', '29', '31', '34', '39', '41', '43', '44'], 'eval_subjects': ['8', '15', '18', '20', '22', '23', '25', '27', '30', '35', '37', '38', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['7', '9', '12', '21', '22', '23', '25', '27', '29', '31', '34', '42', '43', '44', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '11', '15', '16', '18', '20', '24', '26', '30', '35', '37', '38', '39', '41', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2, 3]",0.8275734904883202,34
OpenBMI,0,2,4,True,0.03762490963671323,0.010754274183457048,34,True,0.05055631286692786,"[0.043676279362135806, 0.05744303880493672]",1.0,0.012165758157939707,"[0.004995932514057296, 0.019343895560677542]",0.9988,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['7', '11', '12', '15', '18', '22', '23', '25', '27', '31', '37', '38', '39', '41', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '9', '16', '20', '21', '24', '26', '29', '30', '34', '35', '42', '43', '44', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['8', '9', '11', '15', '16', '18', '20', '24', '25', '26', '30', '34', '38', '39', '41', '43', '44'], 'eval_subjects': ['4', '5', '7', '12', '21', '22', '23', '27', '29', '31', '35', '37', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['11', '15', '22', '26', '27', '29', '30', '31', '35', '38', '39', '41', '43', '44', '49', '51', '52'], 'eval_subjects': ['4', '5', '7', '8', '9', '12', '16', '18', '20', '21', '23', '24', '25', '34', '37', '42', '46'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['4', '5', '7', '9', '11', '12', '16', '21', '24', '26', '29', '31', '34', '39', '41', '43', '44'], 'eval_subjects': ['8', '15', '18', '20', '22', '23', '25', '27', '30', '35', '37', '38', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['7', '9', '12', '21', '22', '23', '25', '27', '29', '31', '34', '42', '43', '44', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '11', '15', '16', '18', '20', '24', '26', '30', '35', '37', '38', '39', '41', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2, 3]",0.8275734904883202,34
OpenBMI,0,3,4,True,0.016564884198362134,0.005375003271717544,34,True,0.055492635869128,"[0.05048462593517056, 0.060510887371737966]",1.0,0.017137043499425384,"[0.01129683042608062, 0.022829935424897325]",1.0,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['7', '11', '12', '15', '18', '22', '23', '25', '27', '31', '37', '38', '39', '41', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '9', '16', '20', '21', '24', '26', '29', '30', '34', '35', '42', '43', '44', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['8', '9', '11', '15', '16', '18', '20', '24', '25', '26', '30', '34', '38', '39', '41', '43', '44'], 'eval_subjects': ['4', '5', '7', '12', '21', '22', '23', '27', '29', '31', '35', '37', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['11', '15', '22', '26', '27', '29', '30', '31', '35', '38', '39', '41', '43', '44', '49', '51', '52'], 'eval_subjects': ['4', '5', '7', '8', '9', '12', '16', '18', '20', '21', '23', '24', '25', '34', '37', '42', '46'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['4', '5', '7', '9', '11', '12', '16', '21', '24', '26', '29', '31', '34', '39', '41', '43', '44'], 'eval_subjects': ['8', '15', '18', '20', '22', '23', '25', '27', '30', '35', '37', '38', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['7', '9', '12', '21', '22', '23', '25', '27', '29', '31', '34', '42', '43', '44', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '11', '15', '16', '18', '20', '24', '26', '30', '35', '37', '38', '39', '41', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2, 3]",0.8275734904883202,34
OpenBMI,0,4,4,False,0.0036027716758628,0.004942042602219149,34,False,0.017648321550990182,"[0.014094551324279182, 0.021057032507301777]",1.0,-0.029754254806929725,"[-0.03475716405968125, -0.024770848352469003]",0.0,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['7', '11', '12', '15', '18', '22', '23', '25', '27', '31', '37', '38', '39', '41', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '9', '16', '20', '21', '24', '26', '29', '30', '34', '35', '42', '43', '44', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['8', '9', '11', '15', '16', '18', '20', '24', '25', '26', '30', '34', '38', '39', '41', '43', '44'], 'eval_subjects': ['4', '5', '7', '12', '21', '22', '23', '27', '29', '31', '35', '37', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['11', '15', '22', '26', '27', '29', '30', '31', '35', '38', '39', '41', '43', '44', '49', '51', '52'], 'eval_subjects': ['4', '5', '7', '8', '9', '12', '16', '18', '20', '21', '23', '24', '25', '34', '37', '42', '46'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['4', '5', '7', '9', '11', '12', '16', '21', '24', '26', '29', '31', '34', '39', '41', '43', '44'], 'eval_subjects': ['8', '15', '18', '20', '22', '23', '25', '27', '30', '35', '37', '38', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['7', '9', '12', '21', '22', '23', '25', '27', '29', '31', '34', '42', '43', '44', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '11', '15', '16', '18', '20', '24', '26', '30', '35', '37', '38', '39', '41', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2, 3]",0.8275734904883202,34
OpenBMI,0,5,4,False,-0.007557350894225867,0.00398695379360425,34,False,0.02891460896066788,"[0.026134351008959566, 0.03176431283114265]",1.0,-0.015609290441379039,"[-0.020566693887557358, -0.010571560724700824]",0.0,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['7', '11', '12', '15', '18', '22', '23', '25', '27', '31', '37', '38', '39', '41', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '9', '16', '20', '21', '24', '26', '29', '30', '34', '35', '42', '43', '44', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['8', '9', '11', '15', '16', '18', '20', '24', '25', '26', '30', '34', '38', '39', '41', '43', '44'], 'eval_subjects': ['4', '5', '7', '12', '21', '22', '23', '27', '29', '31', '35', '37', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['11', '15', '22', '26', '27', '29', '30', '31', '35', '38', '39', '41', '43', '44', '49', '51', '52'], 'eval_subjects': ['4', '5', '7', '8', '9', '12', '16', '18', '20', '21', '23', '24', '25', '34', '37', '42', '46'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['4', '5', '7', '9', '11', '12', '16', '21', '24', '26', '29', '31', '34', '39', '41', '43', '44'], 'eval_subjects': ['8', '15', '18', '20', '22', '23', '25', '27', '30', '35', '37', '38', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['7', '9', '12', '21', '22', '23', '25', '27', '29', '31', '34', '42', '43', '44', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '11', '15', '16', '18', '20', '24', '26', '30', '35', '37', '38', '39', '41', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2, 3]",0.8275734904883202,34
OpenBMI,0,6,1,False,-0.020932149618824048,0.011340247006399056,34,False,-8.002801402164952e-06,"[-0.00015260171570497514, 0.00013872915054584806]",0.4526,-0.010981907794477408,"[-0.011733707762424696, -0.01019329363949794]",0.0,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['7', '11', '12', '15', '18', '22', '23', '25', '27', '31', '37', '38', '39', '41', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '9', '16', '20', '21', '24', '26', '29', '30', '34', '35', '42', '43', '44', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['8', '9', '11', '15', '16', '18', '20', '24', '25', '26', '30', '34', '38', '39', '41', '43', '44'], 'eval_subjects': ['4', '5', '7', '12', '21', '22', '23', '27', '29', '31', '35', '37', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['11', '15', '22', '26', '27', '29', '30', '31', '35', '38', '39', '41', '43', '44', '49', '51', '52'], 'eval_subjects': ['4', '5', '7', '8', '9', '12', '16', '18', '20', '21', '23', '24', '25', '34', '37', '42', '46'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['4', '5', '7', '9', '11', '12', '16', '21', '24', '26', '29', '31', '34', '39', '41', '43', '44'], 'eval_subjects': ['8', '15', '18', '20', '22', '23', '25', '27', '30', '35', '37', '38', '42', '46', '49', '51', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['7', '9', '12', '21', '22', '23', '25', '27', '29', '31', '34', '42', '43', '44', '46', '49', '51'], 'eval_subjects': ['4', '5', '8', '11', '15', '16', '18', '20', '24', '26', '30', '35', '37', '38', '39', '41', '52'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2, 3]",0.8275734904883202,34
OpenBMI,1,0,1,True,0.17457530337562757,0.06255788991191397,32,False,-6.489695625949062e-05,"[-0.0003636351241719553, 0.0002240682988932991]",0.3332,-0.008367899323640002,"[-0.008983215833128123, -0.007728412321609053]",0.0,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['9', '13', '14', '15', '18', '21', '23', '24', '28', '29', '33', '34', '36', '39', '49', '51', '52'], 'eval_subjects': ['2', '4', '8', '12', '20', '26', '27', '30', '31', '32', '37', '41', '44', '46', '47', '53', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['2', '4', '12', '14', '15', '18', '21', '23', '29', '31', '32', '33', '34', '46', '49', '52', '54'], 'eval_subjects': ['8', '9', '13', '20', '24', '26', '27', '28', '30', '36', '37', '39', '41', '44', '47', '51', '53'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['4', '8', '9', '13', '18', '20', '21', '24', '26', '27', '28', '30', '37', '41', '49', '52', '53'], 'eval_subjects': ['2', '12', '14', '15', '23', '29', '31', '32', '33', '34', '36', '39', '44', '46', '47', '51', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['8', '14', '15', '21', '23', '24', '27', '31', '32', '33', '34', '36', '44', '46', '49', '52', '53'], 'eval_subjects': ['2', '4', '9', '12', '13', '18', '20', '26', '28', '29', '30', '37', '39', '41', '47', '51', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['2', '4', '8', '9', '12', '21', '23', '24', '26', '29', '31', '32', '34', '36', '37', '47', '49'], 'eval_subjects': ['13', '14', '15', '18', '20', '27', '28', '30', '33', '39', '41', '44', '46', '51', '52', '53', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2]",0.9078260358316866,34
OpenBMI,1,1,1,True,0.09706764381761238,0.03522503115863731,32,True,0.017756005953109017,"[0.010918283746031876, 0.02492222760288495]",1.0,0.010206570175319373,"[0.0030733709868239656, 0.01760006066607654]",0.9985,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['9', '13', '14', '15', '18', '21', '23', '24', '28', '29', '33', '34', '36', '39', '49', '51', '52'], 'eval_subjects': ['2', '4', '8', '12', '20', '26', '27', '30', '31', '32', '37', '41', '44', '46', '47', '53', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['2', '4', '12', '14', '15', '18', '21', '23', '29', '31', '32', '33', '34', '46', '49', '52', '54'], 'eval_subjects': ['8', '9', '13', '20', '24', '26', '27', '28', '30', '36', '37', '39', '41', '44', '47', '51', '53'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['4', '8', '9', '13', '18', '20', '21', '24', '26', '27', '28', '30', '37', '41', '49', '52', '53'], 'eval_subjects': ['2', '12', '14', '15', '23', '29', '31', '32', '33', '34', '36', '39', '44', '46', '47', '51', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['8', '14', '15', '21', '23', '24', '27', '31', '32', '33', '34', '36', '44', '46', '49', '52', '53'], 'eval_subjects': ['2', '4', '9', '12', '13', '18', '20', '26', '28', '29', '30', '37', '39', '41', '47', '51', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['2', '4', '8', '9', '12', '21', '23', '24', '26', '29', '31', '32', '34', '36', '37', '47', '49'], 'eval_subjects': ['13', '14', '15', '18', '20', '27', '28', '30', '33', '39', '41', '44', '46', '51', '52', '53', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2]",0.9078260358316866,34
OpenBMI,1,2,4,True,0.049715240176091496,0.01186731582192271,32,True,0.13176918667275647,"[0.11541260250497512, 0.14871965886801183]",1.0,0.11698891527121752,"[0.10014854824020075, 0.1347519491715165]",1.0,100,"{'splits': [{'inner_split': 0, 'fit_subjects': ['9', '13', '14', '15', '18', '21', '23', '24', '28', '29', '33', '34', '36', '39', '49', '51', '52'], 'eval_subjects': ['2', '4', '8', '12', '20', '26', '27', '30', '31', '32', '37', '41', '44', '46', '47', '53', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 1, 'fit_subjects': ['2', '4', '12', '14', '15', '18', '21', '23', '29', '31', '32', '33', '34', '46', '49', '52', '54'], 'eval_subjects': ['8', '9', '13', '20', '24', '26', '27', '28', '30', '36', '37', '39', '41', '44', '47', '51', '53'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 2, 'fit_subjects': ['4', '8', '9', '13', '18', '20', '21', '24', '26', '27', '28', '30', '37', '41', '49', '52', '53'], 'eval_subjects': ['2', '12', '14', '15', '23', '29', '31', '32', '33', '34', '36', '39', '44', '46', '47', '51', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 3, 'fit_subjects': ['8', '14', '15', '21', '23', '24', '27', '31', '32', '33', '34', '36', '44', '46', '49', '52', '53'], 'eval_subjects': ['2', '4', '9', '12', '13', '18', '20', '26', '28', '29', '30', '37', '39', '41', '47', '51', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}, {'inner_split': 4, 'fit_subjects': ['2', '4', '8', '9', '12', '21', '23', '24', '26', '29', '31', '32', '34', '36', '37', '47', '49'], 'eval_subjects': ['13', '14', '15', '18', '20', '27', '28', '30', '33', '39', '41', '44', '46', '51', '52', '53', '54'], 'fit_rows': 2176, 'eval_rows': 2176, 'null_draws': 100}]}","[1, 2]",0.9078260358316866,34
