subject,method_BA,control_BA,delta_BA
14,0.64,0.645,-0.0050000000000000044
16,0.73,0.75,-0.020000000000000018
17,0.675,0.675,0.0
25,0.81,0.815,-0.004999999999999893
30,0.76,0.78,-0.020000000000000018
49,0.705,0.71,-0.0050000000000000044
5,0.7849999999999999,0.79,-0.0050000000000001155
6,0.8200000000000001,0.8200000000000001,0.0
9,0.835,0.835,0.0
