dataset,scheme,seed,n_subjects,violations,violation,cp_upper,relative_gain,sentinel_rate
eegmmidb,S2_EXACT_2TRAIN_2CAL,0,65,2,0.03076923076923077,0.09370678347465346,-0.06568261582198187,0.6461538461538462
eegmmidb,S2_EXACT_2TRAIN_2CAL,1,65,8,0.12307692307692308,0.21112976007033932,-0.013298906279447284,0.5692307692307692
eegmmidb,S2_EXACT_2TRAIN_2CAL,2,65,4,0.06153846153846154,0.1353119711320861,-0.021301005278453234,0.38461538461538464
eegmmidb,S2_EXACT_2TRAIN_2CAL,3,65,6,0.09230769230769231,0.17407671202454578,-0.013900395239256583,0.2923076923076923
eegmmidb,S2_EXACT_2TRAIN_2CAL,4,65,7,0.1076923076923077,0.1927780559692274,0.004261997614744684,0.23076923076923078
eegmmidb,S3_EXACT_2TRAIN_2CAL_SCALED,0,65,1,0.015384615384615385,0.07091401853303768,-0.07305003287371863,0.7230769230769231
eegmmidb,S3_EXACT_2TRAIN_2CAL_SCALED,1,65,4,0.06153846153846154,0.1353119711320861,-0.043536687846709776,0.6461538461538462
eegmmidb,S3_EXACT_2TRAIN_2CAL_SCALED,2,65,1,0.015384615384615385,0.07091401853303768,-0.06091349860625111,0.49230769230769234
eegmmidb,S3_EXACT_2TRAIN_2CAL_SCALED,3,65,5,0.07692307692307693,0.15495542461876646,-0.025764088892529548,0.3076923076923077
eegmmidb,S3_EXACT_2TRAIN_2CAL_SCALED,4,65,3,0.046153846153846156,0.11498716462527742,-0.008904465402822791,0.2923076923076923
hmc,S2_EXACT_2TRAIN_2CAL,0,90,12,0.13333333333333333,0.20706169437731473,-0.0896211139896373,0.2222222222222222
hmc,S2_EXACT_2TRAIN_2CAL,1,90,9,0.1,0.16801340359884628,0.05248058218459171,0.23333333333333334
hmc,S2_EXACT_2TRAIN_2CAL,2,90,5,0.05555555555555555,0.1132624892332057,-0.049002601908065914,0.24444444444444444
hmc,S2_EXACT_2TRAIN_2CAL,3,90,7,0.07777777777777778,0.14112572639106263,-0.18708073008611822,0.35555555555555557
hmc,S2_EXACT_2TRAIN_2CAL,4,90,10,0.1111111111111111,0.18117898227926538,0.07651224195871338,0.14444444444444443
hmc,S3_EXACT_2TRAIN_2CAL_SCALED,0,90,7,0.07777777777777778,0.14112572639106263,-0.225955310880829,0.34444444444444444
hmc,S3_EXACT_2TRAIN_2CAL_SCALED,1,90,6,0.06666666666666667,0.127339593186046,-0.00529004268420684,0.2777777777777778
hmc,S3_EXACT_2TRAIN_2CAL_SCALED,2,90,5,0.05555555555555555,0.1132624892332057,-0.11789335167628671,0.3111111111111111
hmc,S3_EXACT_2TRAIN_2CAL_SCALED,3,90,4,0.044444444444444446,0.09882084611586947,-0.20760480788419325,0.4
hmc,S3_EXACT_2TRAIN_2CAL_SCALED,4,90,4,0.044444444444444446,0.09882084611586947,-0.019248079692750848,0.23333333333333334
