model,seed,fold,subject,session,selected_epoch,checkpoint_sha256,BA,Macro_F1,trials
EEGNet,0,0,sub-006,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.96875,0.9687487792491895,160
EEGNet,0,0,sub-006,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.9323962516733602,0.9284656084656084,182
EEGNet,0,0,sub-007,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.8875,0.8874296435272044,160
EEGNet,0,0,sub-007,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.9632102962603205,0.9610059851278641,129
EEGNet,0,0,sub-010,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.875,0.87468671679198,160
EEGNet,0,0,sub-010,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.8775551644781372,0.8777044184865413,172
EEGNet,0,0,sub-021,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.76875,0.7597305085433662,160
EEGNet,0,0,sub-021,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.7316129032258065,0.7333333333333334,56
EEGNet,0,0,sub-042,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.99375,0.9938250428816466,162
EEGNet,0,0,sub-042,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.8780487804878049,0.8779761904761905,82
EEGNet,0,0,sub-048,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.9437500000000001,0.9437302176546443,160
EEGNet,0,0,sub-048,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.8545454545454545,0.8452380952380952,26
EEGNet,0,0,sub-052,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.83125,0.8276893622113198,160
EEGNet,0,0,sub-052,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.8452380952380952,0.8441365660564077,45
EEGNet,0,0,sub-059,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.95,0.9499687304565353,160
EEGNet,0,0,sub-059,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.9331501831501832,0.9320961780284266,162
EEGNet,0,0,sub-061,ses-01,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.9,0.898989898989899,160
EEGNet,0,0,sub-061,ses-02,15,214092488ce39690a857b7204507fa488dfcb9ccd97215038ece71819d8f4c0d,0.8682336182336182,0.8679245283018868,53
