setting,fold,model,subjects,ses02_BA,ses02_Macro_F1,WS_BA
original_trial_equal,0,EEGNet,15,0.8903122457650068,0.8882956717145212,0.8817670925338745
original_trial_equal,0,SIRE-EEG,15,0.8840729416349532,0.8825081957122772,0.8734568986336503
original_trial_equal,1,EEGNet,15,0.9376618429650956,0.9371898535739507,0.8978094822171666
original_trial_equal,1,SIRE-EEG,15,0.9297057965253489,0.9290667409398381,0.8978166938604076
original_trial_equal,2,EEGNet,15,0.9182705544410447,0.9184095348718031,0.8713655839785202
original_trial_equal,2,SIRE-EEG,15,0.9083482248246866,0.9084772170586066,0.8631446936120467
original_trial_equal,3,EEGNet,15,0.9020271736117721,0.9005840384186237,0.8895296025608523
original_trial_equal,3,SIRE-EEG,15,0.9055979010727667,0.9022822599927698,0.896167824444414
original_trial_equal,4,EEGNet,15,0.9169341318132486,0.9152612204204467,0.8677511050729423
original_trial_equal,4,SIRE-EEG,15,0.924752747011661,0.9236371699065765,0.8645550561454928
hierarchical_balanced,0,EEGNet,15,0.8909226087743424,0.8893076235776551,0.8818191141388362
hierarchical_balanced,0,SIRE-EEG,15,0.8999295545185092,0.8985899920821133,0.8895404454620419
hierarchical_balanced,1,EEGNet,15,0.9392200069180745,0.9387668793134468,0.9065728943777588
hierarchical_balanced,1,SIRE-EEG,15,0.9306595335786855,0.9294550056266537,0.9011197708966934
hierarchical_balanced,2,EEGNet,15,0.9121463695976307,0.9123199218254849,0.8601302531656716
hierarchical_balanced,2,SIRE-EEG,15,0.9064871842245015,0.9074024316086505,0.8523206797727068
hierarchical_balanced,3,EEGNet,15,0.9136641216786734,0.9112629039713113,0.899616218443749
hierarchical_balanced,3,SIRE-EEG,15,0.9058616653589361,0.9026316860609639,0.8968817072860245
hierarchical_balanced,4,EEGNet,15,0.9217471993091528,0.9209280671667985,0.8621582529485704
hierarchical_balanced,4,SIRE-EEG,15,0.9174482356021042,0.9156996821493145,0.8580390646507239
