subject,method_BA,control_BA,delta_BA
14,0.615,0.63,-0.015000000000000013
16,0.765,0.77,-0.0050000000000000044
17,0.74,0.745,-0.0050000000000000044
25,0.845,0.845,0.0
30,0.7,0.7,0.0
49,0.75,0.75,0.0
5,0.845,0.845,0.0
6,0.835,0.835,0.0
9,0.79,0.79,0.0
