version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8134285714285715,0.8138571428571428,-0.0004285714285714226,0.00172614942479917,2,2,3,1
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8122857142857141,0.8138571428571428,-0.0015714285714286014,0.00287139303460595,1,2,3,2
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8120238095238095,0.8138571428571428,-0.0018333333333333535,0.00316908250132856,1,2,3,3
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8112857142857143,0.8138571428571428,-0.002571428571428558,0.003516723892883176,0,3,3,4
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8099523809523811,0.8097857142857142,0.00016666666666671494,0.0009630356388646092,2,2,2,1
V2,V2__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8135714285714286,0.8138571428571428,-0.00028571428571428915,0.0014708043058552494,2,2,3,1
V2,V2__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8099523809523811,0.8097857142857142,0.00016666666666671494,0.0009630356388646092,2,2,2,1
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8134285714285715,0.8138571428571428,-0.0004285714285714226,0.00172614942479917,2,2,3,1
V2,V2__lg0.1__ld0.01__lr0.0001__b8,stage2,0.1,0.01,0.0001,8,0.8102380952380953,0.8113571428571429,-0.0011190476190476196,0.0017522256659975861,2,1,2,2
V2,V2__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,0.8124523809523808,0.8138571428571428,-0.0014047619047619308,0.002979902447078466,2,2,3,2
V2,V2__lg0.1__ld0.1__lr0.0001__b8,stage2,0.1,0.1,0.0001,8,0.8102380952380953,0.8113571428571429,-0.0011190476190476196,0.0017522256659975861,2,2,2,2
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage2,0.1,0.1,0.0003,8,0.8122857142857141,0.8138571428571428,-0.0015714285714286014,0.00287139303460595,1,2,3,2
