version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0,"['40', '1', '28', '20', '12', '46', '37']",27,7,0.8264285714285715,0.83,-0.0035714285714284477,7,12,51.48577332496643
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,1,"['42', '45', '10', '32', '38', '24', '11']",27,7,0.7771428571428571,0.7757142857142858,0.0014285714285713347,2,5,29.860846996307373
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,2,"['27', '13', '53', '2', '3', '19', '31']",27,7,0.7885714285714286,0.7878571428571428,0.0007142857142857784,1,1,17.9067599773407
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,3,"['8', '43', '35', '21', '33', '39', '48']",27,7,0.87,0.8707142857142858,-0.0007142857142857784,2,2,18.03338599205017
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,4,"['47', '41', '23', '50', '15', '36']",28,6,0.8049999999999999,0.8049999999999999,0.0,7,3,29.97169327735901
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0,"['40', '1', '28', '20', '12', '46', '37']",27,7,0.8228571428571428,0.83,-0.0071428571428571175,4,12,36.736724853515625
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,1,"['42', '45', '10', '32', '38', '24', '11']",27,7,0.7742857142857142,0.7757142857142858,-0.0014285714285715567,2,5,18.45479965209961
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,2,"['27', '13', '53', '2', '3', '19', '31']",27,7,0.7885714285714285,0.7878571428571428,0.0007142857142856673,1,1,11.313520431518555
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,3,"['8', '43', '35', '21', '33', '39', '48']",27,7,0.8707142857142858,0.8707142857142858,0.0,2,2,12.535414457321167
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,4,"['47', '41', '23', '50', '15', '36']",28,6,0.8049999999999999,0.8049999999999999,0.0,8,3,22.54140329360962
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0,"['40', '1', '28', '20', '12', '46', '37']",27,7,0.8221428571428571,0.83,-0.007857142857142896,4,12,29.418578624725342
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,1,"['42', '45', '10', '32', '38', '24', '11']",27,7,0.7735714285714286,0.7757142857142858,-0.002142857142857224,2,5,17.10317301750183
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,2,"['27', '13', '53', '2', '3', '19', '31']",27,7,0.7878571428571428,0.7878571428571428,0.0,1,1,10.721117734909058
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,3,"['8', '43', '35', '21', '33', '39', '48']",27,7,0.8707142857142858,0.8707142857142858,0.0,2,2,13.726733922958374
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,4,"['47', '41', '23', '50', '15', '36']",28,6,0.8058333333333333,0.8049999999999999,0.0008333333333333526,8,3,23.88517427444458
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,0,"['40', '1', '28', '20', '12', '46', '37']",27,7,0.8207142857142857,0.83,-0.00928571428571423,3,12,26.069206953048706
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1,"['42', '45', '10', '32', '38', '24', '11']",27,7,0.7728571428571429,0.7757142857142858,-0.0028571428571428914,5,5,11.85343050956726
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,2,"['27', '13', '53', '2', '3', '19', '31']",27,7,0.7878571428571428,0.7878571428571428,0.0,1,1,6.8582470417022705
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,3,"['8', '43', '35', '21', '33', '39', '48']",27,7,0.8700000000000001,0.8707142857142858,-0.0007142857142856673,1,2,6.800818681716919
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,4,"['47', '41', '23', '50', '15', '36']",28,6,0.8049999999999999,0.8049999999999999,0.0,8,3,12.693333864212036
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0,"['40', '1', '28', '20', '12', '46', '37']",27,7,0.822857142857143,0.8242857142857143,-0.0014285714285713347,4,7,11.084268569946289
