fold,subject_id,Dfinite_t0,Dfinite_generic,Dfinite_degradation,Dflip_t0,Dflip_generic,Dflip_degradation,Dfinite_risk_probability,Dflip_risk_probability,finite_flip_raw_Spearman,numeric_validation_error,old_and_exact_mathematically_identical,internal_holdout_used
0,14,1.037093130561402,0.9900722356556066,0.05373916277698528,0.19333333333333336,0.21,0.003333333333333327,0.4891965705938545,0.7216928736899316,-0.6466779734885502,0.0,False,False
0,19,1.344210893870854,1.2040879846959893,0.14012290917486436,0.19000000000000003,0.21666666666666667,0.013333333333333327,0.5258208650209952,0.3615621651683867,-0.6466779734885502,0.0,False,False
0,2,1.3326093099782608,1.291070888494926,0.053436696329359844,0.11,0.13333333333333333,0.0,0.5022416667313608,0.6975434055626388,-0.6466779734885502,0.0,False,False
0,32,0.7613925423367688,0.6416613255319813,0.11973121680478753,0.2333333333333333,0.25666666666666665,0.00999999999999999,0.49603952167764637,0.5302183233764971,-0.6466779734885502,0.0,False,False
0,33,1.5123709428379495,1.5430187964569468,0.00844196445565304,0.13333333333333333,0.1366666666666667,0.006666666666666664,0.5019447732396116,0.651065113670341,-0.6466779734885502,0.0,False,False
0,40,1.1430743079137047,1.1394078259235583,0.014524596992595526,0.14,0.19666666666666668,0.0,0.482804688020045,0.5250541131024855,-0.6466779734885502,0.0,False,False
0,47,1.6253580548495148,1.6817358204995878,0.0,0.05666666666666667,0.05666666666666667,0.003333333333333332,0.5076584484368493,0.6888558459719057,-0.6466779734885502,0.0,False,False
0,50,1.078441330551844,0.8733548335380128,0.20508649701383128,0.18333333333333335,0.20333333333333334,0.0,0.5341346827841515,0.7753935969192007,-0.6466779734885502,0.0,False,False
0,53,1.4137841463604692,1.4520199472428044,0.005531216835006569,0.11666666666666665,0.13,0.0,0.4980355949701319,0.7547161801545795,-0.6466779734885502,0.0,False,False
1,1,1.2075734481666605,1.0088334856749233,0.19873996249173712,0.24666666666666667,0.2333333333333333,0.03,0.3563709252606316,0.3590047176566942,-0.6466779734885502,0.0,False,False
1,10,1.3173450071547148,1.1669581740069441,0.15038683314777068,0.4033333333333333,0.33,0.07333333333333335,0.4081100063119163,0.08163120212696982,-0.6466779734885502,0.0,False,False
1,16,1.244702184162361,0.9789895559988739,0.265712628163487,0.21333333333333335,0.19999999999999998,0.013333333333333327,0.32263586582601506,0.31684504164916333,-0.6466779734885502,0.0,False,False
1,35,2.7156138353830457,2.494477890869321,0.22113594451372517,0.02666666666666667,0.01,0.02,0.6388948644501085,0.8638222816548341,-0.6466779734885502,0.0,False,False
1,43,1.6303920795405469,1.6555721937422243,0.0051439636742287576,0.18000000000000002,0.16333333333333333,0.020000000000000007,0.5792925431524164,0.45999089703392826,-0.6466779734885502,0.0,False,False
