subject_id,fold,A0_NoAdapt,A1_Generic_25pct,A2_Generic_50pct,A3_Generic_75pct,A4_Strong_Generic,Strong_Generic_BA,OracleAction,OracleAlpha,OracleBA,RecoverableGain_vs_Generic,StrongGenericRegret,internal_holdout_used
14,0,0.7,0.69,0.7,0.69,0.69,0.69,A0_NoAdapt,0.0,0.7,0.010000000000000009,0.010000000000000009,False
19,0,0.64,0.6699999999999999,0.6699999999999999,0.6799999999999999,0.7,0.7,A4_Strong_Generic,1.0,0.7,0.0,0.0,False
2,0,0.79,0.78,0.78,0.77,0.79,0.79,A0_NoAdapt,0.0,0.79,0.0,0.0,False
32,0,0.63,0.64,0.66,0.66,0.65,0.65,A2_Generic_50pct,0.5,0.66,0.010000000000000009,0.010000000000000009,False
33,0,0.8,0.81,0.8200000000000001,0.8200000000000001,0.79,0.79,A2_Generic_50pct,0.5,0.8200000000000001,0.030000000000000027,0.030000000000000027,False
40,0,0.81,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.81,0.81,A1_Generic_25pct,0.25,0.8200000000000001,0.010000000000000009,0.010000000000000009,False
47,0,0.8899999999999999,0.8899999999999999,0.8899999999999999,0.8899999999999999,0.88,0.88,A0_NoAdapt,0.0,0.8899999999999999,0.009999999999999898,0.009999999999999898,False
50,0,0.5700000000000001,0.5800000000000001,0.58,0.61,0.61,0.61,A3_Generic_75pct,0.75,0.61,0.0,0.0,False
53,0,0.76,0.77,0.76,0.76,0.75,0.75,A1_Generic_25pct,0.25,0.77,0.020000000000000018,0.020000000000000018,False
1,1,0.66,0.6699999999999999,0.6799999999999999,0.69,0.69,0.69,A3_Generic_75pct,0.75,0.69,0.0,0.0,False
10,1,0.71,0.73,0.75,0.73,0.73,0.73,A2_Generic_50pct,0.5,0.75,0.020000000000000018,0.020000000000000018,False
16,1,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.85,0.85,A4_Strong_Generic,1.0,0.85,0.0,0.0,False
35,1,0.79,0.8,0.8,0.8,0.8,0.8,A1_Generic_25pct,0.25,0.8,0.0,0.0,False
43,1,0.8999999999999999,0.9099999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,A1_Generic_25pct,0.25,0.9099999999999999,0.010000000000000009,0.010000000000000009,False
45,1,0.76,0.79,0.8,0.81,0.81,0.81,A3_Generic_75pct,0.75,0.81,0.0,0.0,False
48,1,0.74,0.72,0.72,0.73,0.7,0.7,A0_NoAdapt,0.0,0.74,0.040000000000000036,0.040000000000000036,False
5,1,0.79,0.81,0.8200000000000001,0.8200000000000001,0.81,0.81,A2_Generic_50pct,0.5,0.8200000000000001,0.010000000000000009,0.010000000000000009,False
6,1,0.94,0.96,0.95,0.95,0.96,0.96,A1_Generic_25pct,0.25,0.96,0.0,0.0,False
22,2,0.7,0.7,0.69,0.69,0.7,0.7,A0_NoAdapt,0.0,0.7,0.0,0.0,False
26,2,0.87,0.88,0.88,0.88,0.88,0.88,A1_Generic_25pct,0.25,0.88,0.0,0.0,False
34,2,0.6699999999999999,0.6799999999999999,0.6799999999999999,0.6799999999999999,0.6699999999999999,0.6699999999999999,A1_Generic_25pct,0.25,0.6799999999999999,0.010000000000000009,0.010000000000000009,False
44,2,0.75,0.77,0.76,0.76,0.76,0.76,A1_Generic_25pct,0.25,0.77,0.010000000000000009,0.010000000000000009,False
52,2,0.79,0.79,0.76,0.75,0.76,0.76,A0_NoAdapt,0.0,0.79,0.030000000000000027,0.030000000000000027,False
7,2,0.73,0.73,0.74,0.75,0.76,0.76,A4_Strong_Generic,1.0,0.76,0.0,0.0,False
15,3,0.85,0.86,0.86,0.86,0.86,0.86,A1_Generic_25pct,0.25,0.86,0.0,0.0,False
20,3,0.85,0.85,0.86,0.85,0.85,0.85,A2_Generic_50pct,0.5,0.86,0.010000000000000009,0.010000000000000009,False
21,3,0.86,0.85,0.86,0.86,0.86,0.86,A0_NoAdapt,0.0,0.86,0.0,0.0,False
27,3,0.8999999999999999,0.9099999999999999,0.9099999999999999,0.9099999999999999,0.9099999999999999,0.9099999999999999,A1_Generic_25pct,0.25,0.9099999999999999,0.0,0.0,False
28,3,0.85,0.85,0.86,0.86,0.87,0.87,A4_Strong_Generic,1.0,0.87,0.0,0.0,False
38,3,0.72,0.72,0.72,0.74,0.73,0.73,A3_Generic_75pct,0.75,0.74,0.010000000000000009,0.010000000000000009,False
41,3,0.73,0.73,0.74,0.74,0.74,0.74,A2_Generic_50pct,0.5,0.74,0.0,0.0,False
46,3,0.66,0.66,0.66,0.66,0.64,0.64,A0_NoAdapt,0.0,0.66,0.020000000000000018,0.020000000000000018,False
9,3,0.6100000000000001,0.6000000000000001,0.61,0.63,0.62,0.62,A3_Generic_75pct,0.75,0.63,0.010000000000000009,0.010000000000000009,False
11,4,0.6699999999999999,0.6799999999999999,0.69,0.71,0.7,0.7,A3_Generic_75pct,0.75,0.71,0.010000000000000009,0.010000000000000009,False
23,4,0.63,0.64,0.64,0.65,0.64,0.64,A3_Generic_75pct,0.75,0.65,0.010000000000000009,0.010000000000000009,False
3,4,0.83,0.83,0.83,0.84,0.84,0.84,A3_Generic_75pct,0.75,0.84,0.0,0.0,False
30,4,0.7,0.69,0.69,0.71,0.71,0.71,A3_Generic_75pct,0.75,0.71,0.0,0.0,False
31,4,0.88,0.88,0.87,0.8600000000000001,0.8600000000000001,0.8600000000000001,A0_NoAdapt,0.0,0.88,0.019999999999999907,0.019999999999999907,False
49,4,0.87,0.87,0.87,0.87,0.86,0.86,A0_NoAdapt,0.0,0.87,0.010000000000000009,0.010000000000000009,False
8,4,0.73,0.73,0.78,0.77,0.77,0.77,A2_Generic_50pct,0.5,0.78,0.010000000000000009,0.010000000000000009,False
