risk_model,outcome,subjects,AUROC,AUPRC,balanced_accuracy,Brier,risk_outcome_Spearman,mean_probability_positive,mean_probability_negative,internal_holdout_used
M_Dfinite,AlternativePreferred,40,0.625,0.9196140254872244,0.5972222222222222,0.29464600751629216,-0.09446280481565776,0.4751243850459132,0.4510104760256467,False
M_Dfinite,NegativeTransfer,40,0.4982078853046595,0.275236481361128,0.503584229390681,0.2774136178077472,0.05800680778127327,0.506354968407003,0.4982133271753712,False
M_Dflip,AlternativePreferred,40,0.5416666666666667,0.9382275021989761,0.625,0.2659987418531312,-0.2029763584883179,0.48903378275511056,0.47888908220850074,False
M_Dflip,NegativeTransfer,40,0.6200716845878136,0.33852444203487847,0.60752688172043,0.24891885763037164,-0.15351392501197852,0.5383601409739602,0.47304366313864027,False
M_Djac,AlternativePreferred,40,0.7291666666666667,0.9634915508396156,0.625,0.2744217183777277,-0.251679292026441,0.4886229285011578,0.35062117341973426,False
M_Djac,NegativeTransfer,40,0.5376344086021505,0.33105809956832977,0.575268817204301,0.25447535548986144,-0.027436935268065423,0.5289982627130403,0.49383755059006296,False
M_P,AlternativePreferred,40,0.5486111111111112,0.9146410590434415,0.4861111111111111,0.255273198579804,0.17648879814302293,0.49693826782207673,0.47538631550652055,False
M_P,NegativeTransfer,40,0.6845878136200717,0.392317620650954,0.6720430107526881,0.21196803201515385,-0.2228182943742199,0.49817948854326893,0.42200334209293816,False
M_PDfinite,AlternativePreferred,40,0.6388888888888888,0.9412810177640922,0.625,0.2832346372742877,-0.08696274292577139,0.5012012525325011,0.40229805953185255,False
M_PDfinite,NegativeTransfer,40,0.6200716845878136,0.32883699633699637,0.6003584229390682,0.2503641028830259,0.03322812229696505,0.5065598430686488,0.4400296356440172,False
M_PU,AlternativePreferred,40,0.6944444444444444,0.9620928571944343,0.6666666666666666,0.33313728254258435,-0.07756393119034413,0.4454502323781302,0.29309149848096866,False
M_PU,NegativeTransfer,40,0.7168458781362007,0.3786559119892453,0.6648745519713262,0.1979769833480752,-0.40433877960792614,0.5155368527591481,0.37195134408191066,False
M_PUDfinite,AlternativePreferred,40,0.7291666666666666,0.9652562917753231,0.6805555555555556,0.3459268171174672,-0.15598229981118164,0.45934973867738343,0.23435280417338733,False
M_PUDfinite,NegativeTransfer,40,0.6451612903225807,0.38673188543988435,0.6559139784946236,0.22775229898251953,-0.18664710981666652,0.5104045709542748,0.43227614563017935,False
M_conf,AlternativePreferred,40,0.3680555555555556,0.8732734414209474,0.5694444444444444,0.323277359444145,-0.10101349178277375,0.4467398992746196,0.5306705569462442,False
M_conf,NegativeTransfer,40,0.7275985663082437,0.5249567775502176,0.6881720430107527,0.21718942898917648,-0.3988324050558576,0.519037943792164,0.45221192138972366,False
M_conf_D,AlternativePreferred,40,0.5625,0.9113908045644921,0.5833333333333334,0.3350425689605029,-0.19860923384357396,0.4380090579083613,0.4121210435982976,False
M_conf_D,NegativeTransfer,40,0.5304659498207884,0.2752267812370114,0.48028673835125446,0.26111066664729704,-0.012911498949677849,0.4479411558837605,0.43778944953976534,False
M_conf_P,AlternativePreferred,40,0.5416666666666667,0.9292786515227054,0.4722222222222222,0.31637975925718126,-0.13462136404884698,0.4504084036820227,0.42304760777878103,False
M_conf_P,NegativeTransfer,40,0.6702508960573476,0.39684989962767736,0.6326164874551972,0.22396854428144666,-0.28414791438518966,0.5034440993228061,0.43053100601672595,False
M_conf_PD,AlternativePreferred,40,0.6944444444444444,0.9577204263879355,0.5972222222222222,0.3306859828275293,-0.214178982577009,0.44494816794279124,0.31200672886288844,False
M_conf_PD,NegativeTransfer,40,0.5985663082437276,0.33113943669499224,0.6648745519713262,0.24514393744313737,-0.09474761729248891,0.4449177739190393,0.38364165385034044,False
M_conf_update,AlternativePreferred,40,0.5625,0.9155037742543116,0.5416666666666666,0.3519472343785937,-0.20145735861188524,0.4369653660508266,0.39111305936686763,False
M_conf_update,NegativeTransfer,40,0.6451612903225806,0.3381148507960102,0.482078853046595,0.2147605542169165,-0.38316771883014555,0.46219213906632006,0.40805307520024464,False
M_conf_update_PD,AlternativePreferred,40,0.6458333333333334,0.9456097268675352,0.5555555555555556,0.38025129545494246,-0.16547604903888594,0.42882415273261926,0.2883720952493124,False
M_conf_update_PD,NegativeTransfer,40,0.5806451612903226,0.41928993387326724,0.6093189964157706,0.22374401135106875,-0.17012798616046107,0.3949294052577873,0.3348478351245633,False
M_conf_update_PD_resid,AlternativePreferred,40,0.7152777777777778,0.9633790442388388,0.7361111111111112,0.35006891320729866,-0.2814896646014325,0.45221330955992123,0.23801261342303445,False
M_conf_update_PD_resid,NegativeTransfer,40,0.5734767025089605,0.4116572116572116,0.6487455197132617,0.25423551068849115,-0.07053855676184294,0.4277382639027616,0.35081868496611895,False
M_identity,AlternativePreferred,40,0.3888888888888889,0.8655705821584517,0.4166666666666667,0.17292851467020803,-0.10224767918237529,0.7383014802975469,0.7965390110575417,False
M_identity,NegativeTransfer,40,0.4551971326164875,0.220188091941429,0.5340501792114696,0.30573666657072895,-0.19443198418338403,0.560438681492061,0.5591555521376658,False
M_random,AlternativePreferred,40,0.6875,0.9486330423396812,0.5694444444444444,0.3282074453087384,-0.2531982919028737,0.4665662917466884,0.28398874326511653,False
M_random,NegativeTransfer,40,0.6845878136200717,0.42747169507458715,0.6810035842293907,0.20980652326958352,-0.4351934645979651,0.4945114564271602,0.4191715223093822,False
M_resid_PD,AlternativePreferred,40,0.5208333333333333,0.8811575720236627,0.4861111111111111,0.2890292834183542,0.15645698727256685,0.5097293004406498,0.4984516632996442,False
M_resid_PD,NegativeTransfer,40,0.5985663082437275,0.32048175995544415,0.60752688172043,0.27874388124301247,0.0030379997528653755,0.5255828856229365,0.4685110724486397,False
M_update,AlternativePreferred,40,0.6041666666666667,0.9372795044534299,0.5138888888888888,0.3297016466898776,-0.006075999505730751,0.43700037165815575,0.3373638655203095,False
M_update,NegativeTransfer,40,0.6630824372759856,0.35023397273139273,0.4982078853046595,0.20720143068623836,-0.4277883402003557,0.45536009066087046,0.39495492013616357,False
