outcome,baseline,candidate,delta_AUROC,delta_AUROC_CI95_L,delta_AUROC_CI95_U,delta_AUPRC,delta_Brier,internal_holdout_used
NegativeTransfer,M_conf,M_conf_P,-0.057347670250896154,-0.29764384920634923,0.1577060931899641,-0.12810687792254027,0.0067791152922701825,False
AlternativePreferred,M_conf,M_conf_P,0.17361111111111116,-0.11166666666666665,0.5031454311454298,0.05600521010175796,-0.006897600186963726,False
NegativeTransfer,M_conf,M_conf_D,-0.19713261648745528,-0.4347201671891327,0.00390625,-0.24972999631320625,0.04392123765812056,False
AlternativePreferred,M_conf,M_conf_D,0.19444444444444442,0.0,0.44736842105263164,0.038117363143544636,0.0117652095163579,False
NegativeTransfer,M_conf,M_conf_PD,-0.12903225806451613,-0.4333512544802867,0.15053763440860202,-0.1938173408552254,0.027954508453960886,False
AlternativePreferred,M_conf,M_conf_PD,0.32638888888888884,0.017142857142857126,0.5789473684210527,0.0844469849669881,0.007408623383384327,False
NegativeTransfer,M_conf_update,M_conf_update_PD,-0.06451612903225801,-0.3088235294117646,0.13621236559139774,0.08117508307725702,0.008983457134152245,False
AlternativePreferred,M_conf_update,M_conf_update_PD,0.08333333333333337,-0.13142857142857145,0.3157894736842105,0.030105952613223574,0.028304061076348752,False
NegativeTransfer,M_conf_update,M_conf_update_PD_resid,-0.07168458781362008,-0.3116883116883117,0.13891129032258037,0.07354236086120136,0.039474956471574646,False
AlternativePreferred,M_conf_update,M_conf_update_PD_resid,0.1527777777777778,-0.05187012987012991,0.4114285714285715,0.04787526998452718,-0.0018783211712950498,False
NegativeTransfer,M_identity,M_Dfinite,0.043010752688172005,-0.2971428571428571,0.37229437229437223,0.055048389419699,-0.02832304876298175,False
AlternativePreferred,M_identity,M_Dfinite,0.2361111111111111,-0.03669416169416174,0.6390578078078082,0.054043443328772645,0.12171749284608413,False
NegativeTransfer,M_Dflip,M_Dfinite,-0.1218637992831541,-0.3898839285714285,0.17869658767879,-0.06328796067375048,0.028494760177375567,False
AlternativePreferred,M_Dflip,M_Dfinite,0.08333333333333326,-0.2799279279279279,0.368421052631579,-0.01861347671175173,0.028647265663160948,False
