scope,fold,action,alpha,subjects,BA,delta_vs_Strong_Generic,internal_holdout_used
global,ALL,A0_NoAdapt,0.0,40,0.764,-0.008749999999999999,False
fold,0,A0_NoAdapt,0.0,9,0.7322222222222222,-0.008888888888888884,False
fold,1,A0_NoAdapt,0.0,9,0.791111111111111,-0.014444444444444433,False
fold,2,A0_NoAdapt,0.0,6,0.7516666666666666,-0.003333333333333336,False
fold,3,A0_NoAdapt,0.0,9,0.7811111111111111,-0.005555555555555548,False
fold,4,A0_NoAdapt,0.0,7,0.7585714285714287,-0.010000000000000024,False
global,ALL,A1_Generic_25pct,0.25,40,0.7692500000000001,-0.0035000000000000005,False
fold,0,A1_Generic_25pct,0.25,9,0.7388888888888889,-0.0022222222222222244,False
fold,1,A1_Generic_25pct,0.25,9,0.8022222222222222,-0.003333333333333324,False
fold,2,A1_Generic_25pct,0.25,6,0.7583333333333333,0.003333333333333336,False
fold,3,A1_Generic_25pct,0.25,9,0.7811111111111111,-0.005555555555555548,False
fold,4,A1_Generic_25pct,0.25,7,0.76,-0.008571428571428594,False
global,ALL,A2_Generic_50pct,0.5,40,0.77225,-0.0005000000000000033,False
fold,0,A2_Generic_50pct,0.5,9,0.7422222222222222,0.0011111111111110998,False
fold,1,A2_Generic_50pct,0.5,9,0.8055555555555557,1.2335811384723961e-17,False
fold,2,A2_Generic_50pct,0.5,6,0.7516666666666666,-0.003333333333333336,False
fold,3,A2_Generic_50pct,0.5,9,0.7866666666666667,0.0,False
fold,4,A2_Generic_50pct,0.5,7,0.7671428571428571,-0.0014285714285714457,False
global,ALL,A3_Generic_75pct,0.75,40,0.77475,0.0020000000000000018,False
fold,0,A3_Generic_75pct,0.75,9,0.7444444444444444,0.003333333333333324,False
fold,1,A3_Generic_75pct,0.75,9,0.8066666666666666,0.0011111111111111243,False
fold,2,A3_Generic_75pct,0.75,6,0.7516666666666666,-0.003333333333333336,False
fold,3,A3_Generic_75pct,0.75,9,0.79,0.003333333333333336,False
fold,4,A3_Generic_75pct,0.75,7,0.7728571428571429,0.004285714285714289,False
global,ALL,A4_Strong_Generic,1.0,40,0.7727499999999999,0.0,False
fold,0,A4_Strong_Generic,1.0,9,0.741111111111111,0.0,False
fold,1,A4_Strong_Generic,1.0,9,0.8055555555555555,0.0,False
fold,2,A4_Strong_Generic,1.0,6,0.7549999999999999,0.0,False
fold,3,A4_Strong_Generic,1.0,9,0.7866666666666666,0.0,False
fold,4,A4_Strong_Generic,1.0,7,0.7685714285714287,0.0,False
