config,lambda_cons,width,learning_rate,epochs,mean_delta_BA,positive_runs,mean_router_BA,mean_base_BA,mean_router_NLL,mean_router_Brier,total_net_rescues,mean_action_rate,mean_a,mean_positive_router_folds,n_runs
r0__lc1__w16__lr0.0001,1.0,16,0.0001,120,7.352941176467602e-05,2,0.8269117647058822,0.8268382352941176,0.38684773941834766,0.24517162144184113,3,0.000980392156862745,1.0087978442509968,1.5,6
r0__lc1__w16__lr0.0003,1.0,16,0.0003,120,2.450980392156484e-05,2,0.8268627450980391,0.8268382352941176,0.3863903383413951,0.244923102358977,1,0.054803921568627456,1.0103190342585247,1.5,6
r0__lc1__w8__lr0.0001,1.0,8,0.0001,120,-2.450980392156484e-05,2,0.8268137254901959,0.8268382352941176,0.3869313945372899,0.24522221833467484,-1,0.0,1.0084295074145,1.5,6
r0__lc0.01__w16__lr0.0003,0.01,16,0.0003,120,-7.352941176471302e-05,3,0.8267647058823528,0.8268382352941176,0.3863167117039363,0.24478761106729507,-3,0.7241911764705883,1.072352647781372,2.0,6
r0__lc0.01__w8__lr0.0003,0.01,8,0.0003,120,-0.0001225490196078427,2,0.8267156862745098,0.8268382352941176,0.3864247649908066,0.24494700133800507,-5,0.6155392156862746,1.0540926059087117,1.8333333333333333,6
r0__lc1__w8__lr0.0003,1.0,8,0.0003,120,-0.0001225490196078427,2,0.8267156862745099,0.8268382352941176,0.38670676449934643,0.24511392414569855,-5,0.010147058823529412,1.0109372933705647,1.1666666666666667,6
r0__lc0.1__w16__lr0.0001,0.1,16,0.0001,120,-0.00022058823529410207,2,0.8266176470588236,0.8268382352941176,0.3867865055799484,0.24514099955558777,-9,0.013627450980392156,1.0181882580121357,1.1666666666666667,6
r0__lc0.1__w16__lr0.0003,0.1,16,0.0003,120,-0.00022058823529415758,2,0.8266176470588235,0.8268382352941176,0.38608525196711224,0.24470975250005722,-9,0.599093137254902,1.0503446261088054,1.5,6
r0__lc0.01__w16__lr0.0001,0.01,16,0.0001,120,-0.0003186274509803799,2,0.8265196078431373,0.8268382352941176,0.3867926746606827,0.24514615535736084,-13,0.021029411764705883,1.019456148147583,1.1666666666666667,6
r0__lc0.01__w8__lr0.0001,0.01,8,0.0001,120,-0.0004166666666666948,2,0.8264215686274509,0.8268382352941176,0.3868494580189387,0.2451855813463529,-17,0.0003431372549019608,1.0162181655565898,1.1666666666666667,6
r0__lc0.1__w8__lr0.0001,0.1,8,0.0001,120,-0.000465686274509806,2,0.8263725490196078,0.8268382352941176,0.3868518869082133,0.24518484622240067,-19,0.00022058823529411763,1.015383740266164,1.1666666666666667,6
r0__lc0.1__w8__lr0.0003,0.1,8,0.0003,120,-0.00046568627450984296,1,0.8263725490196077,0.8268382352941176,0.3864159832398097,0.24494503438472748,-19,0.4087745098039215,1.0425880551338196,1.1666666666666667,6
