dataset,outer_fold,meta_fold,draw,draw_seed,dropout_seed,epsilon,dot_AB,cos_AB,conflict,delta_B_first_order,delta_B_actual,sign_prediction_correct
OpenBMI,0,0,0,289765031,421660745,0.0001,6.08084774017334,0.20115220546722412,False,-0.0022415207199526044,-0.0018968284130096436,True
OpenBMI,0,0,1,171119786,3807074867,0.0001,4.090895175933838,0.25697338581085205,False,-0.0012809431769828094,-0.0007053613662719727,True
OpenBMI,0,0,2,2768921054,679906657,0.0001,8.361438751220703,0.5208184719085693,False,-0.0024748891155482204,-0.0038419365882873535,True
OpenBMI,0,1,0,850936865,868539225,0.0001,4.578615188598633,0.2896011173725128,False,-0.0012607427675746274,-0.003963589668273926,True
OpenBMI,0,1,1,2155706317,4028940886,0.0001,8.543418884277344,0.2750914692878723,False,-0.0012706754452748625,0.002532392740249634,False
OpenBMI,0,1,2,3369994781,368232649,0.0001,-15.961668968200684,-0.5938078761100769,True,0.0040148255137348165,0.00388181209564209,True
OpenBMI,0,2,0,1303864799,3648035282,0.0001,7.756896495819092,0.3707413077354431,False,-0.0015727580581707857,-0.0020876526832580566,True
OpenBMI,0,2,1,1388230149,3739771185,0.0001,-2.7272353172302246,-0.1734280288219452,True,0.0008738686724901313,0.0004659295082092285,True
OpenBMI,0,2,2,10586602,1325462507,0.0001,-5.759922027587891,-0.3650881350040436,True,0.0020874756468057063,0.0025306642055511475,True
OpenBMI,0,3,0,4111995823,1232282554,0.0001,-0.1563962996006012,-0.012762126512825489,True,5.924062070268167e-05,-0.0009531974792480469,False
OpenBMI,0,3,1,2506355000,3818965238,0.0001,-17.865264892578125,-0.5991431474685669,True,0.0026789203884574194,0.0008765757083892822,True
OpenBMI,0,3,2,3667430026,27177576,0.0001,4.401913642883301,0.33417123556137085,False,-0.001349225538239488,-0.0033169686794281006,True
OpenBMI,0,4,0,2614768100,1658582456,0.0001,0.6096881628036499,0.07094951719045639,False,-0.0002039194342675653,-0.001171499490737915,True
OpenBMI,0,4,1,3215139517,1042959309,0.0001,6.926206588745117,0.29419800639152527,False,-0.0027972255912976827,-0.0022411346435546875,True
OpenBMI,0,4,2,2012584325,1471917787,0.0001,-5.054526329040527,-0.3673020005226135,True,0.0016384397333287738,0.0014418959617614746,True
OpenBMI,1,0,0,3758197498,1113935422,0.0001,8.392009735107422,0.5265550017356873,False,-0.003894035497069654,-0.0040621161460876465,True
OpenBMI,1,0,1,125930485,4234408804,0.0001,12.393447875976562,0.5079870223999023,False,-0.004318634163485539,-0.0021851956844329834,True
OpenBMI,1,0,2,3664460190,288932063,0.0001,-5.062731742858887,-0.42148324847221375,True,0.0016993314594135234,0.0015881061553955078,True
OpenBMI,1,1,0,573744814,2107372524,0.0001,-1.2989007234573364,-0.14367607235908508,True,0.00044491592625078396,7.176399230957031e-05,True
OpenBMI,1,1,1,977213828,3177325991,0.0001,4.794081687927246,0.25865674018859863,False,-0.0009459881502410032,-0.0013715922832489014,True
OpenBMI,1,1,2,2173081209,3407989457,0.0001,1.6643049716949463,0.13597139716148376,False,-0.0005476059962919552,0.00019821524620056152,False
