pair_id,dataset,outer_fold,meta_fold,draw,draw_seed,n_A,n_B,A_subjects,B_subjects,L_A,L_B,theta_norm,gA_norm,gB_norm,dot_AB,cos_AB,conflict
OpenBMI-fold0-meta0-draw0,OpenBMI,0,0,0,3425184207,64,64,4|5|7|8|9|11|12|16|18|21|22|23|24|26|29|30|31|34|35|37|38|41|42|51,15|27|39|43|44|46|52,0.26840752363204956,0.27890852093696594,12.341419219970703,7.66585636138916,3.072542190551758,17.67489242553711,0.7504093647003174,False
OpenBMI-fold0-meta0-draw1,OpenBMI,0,0,1,3634027059,64,64,4|5|7|8|9|12|16|18|20|21|22|23|24|25|26|29|30|34|35|37|38|41|42|49|51,15|27|39|43|44|46|52,0.4452001750469208,0.3100705146789551,12.341419219970703,2.809642791748047,2.8996880054473877,0.9091494083404541,0.11159195750951767,False
OpenBMI-fold0-meta0-draw2,OpenBMI,0,0,2,3539310556,64,64,4|5|7|8|11|12|16|18|20|21|23|24|25|26|29|30|31|34|35|37|38|41|42|49|51,15|27|39|43|44|46|52,0.29091474413871765,0.3082321584224701,12.341419219970703,4.887876033782959,2.0450849533081055,1.503257155418396,0.15038403868675232,False
OpenBMI-fold0-meta0-draw3,OpenBMI,0,0,3,4271598621,64,64,4|5|7|8|9|11|12|16|18|20|21|22|23|24|25|26|29|30|31|35|37|38|41|42|49,15|27|39|43|44|46|52,0.35986989736557007,0.3918634355068207,12.341419219970703,3.350719928741455,4.669808387756348,4.908400535583496,0.31369155645370483,False
OpenBMI-fold0-meta0-draw4,OpenBMI,0,0,4,1511058422,64,64,4|5|7|8|9|11|12|18|20|21|22|23|24|25|26|29|30|31|34|35|38|41|42|49|51,15|27|39|43|44|46|52,0.28401514887809753,0.36986127495765686,12.341419219970703,5.5953545570373535,6.131294250488281,16.04483985900879,0.46768733859062195,False
OpenBMI-fold0-meta0-draw5,OpenBMI,0,0,5,382199347,64,64,4|5|7|8|9|11|12|16|18|20|21|22|23|24|25|26|30|31|34|35|37|38|41|42|49|51,15|27|39|43|44|46|52,0.29006925225257874,0.29184433817863464,12.341419219970703,2.8302359580993652,5.733562469482422,-3.1992013454437256,-0.1971489042043686,True
OpenBMI-fold0-meta0-draw6,OpenBMI,0,0,6,2425837263,64,64,4|7|8|9|12|16|18|20|21|22|23|24|25|26|29|30|31|34|35|37|38|41|42|49|51,15|27|39|43|44|46|52,0.30888837575912476,0.2071511447429657,12.341419219970703,3.964322090148926,3.1537065505981445,6.528799057006836,0.522207498550415,False
OpenBMI-fold0-meta0-draw7,OpenBMI,0,0,7,3322231461,64,64,5|7|8|9|12|16|18|21|22|23|25|26|29|30|31|34|35|37|38|42|49|51,15|27|39|43|44|46|52,0.1640406847000122,0.2671164274215698,12.341419219970703,3.0467185974121094,3.232903242111206,-3.097951650619507,-0.3145209550857544,True
OpenBMI-fold0-meta0-draw8,OpenBMI,0,0,8,346633995,64,64,4|5|7|8|9|11|12|16|18|20|21|22|24|25|26|29|30|31|34|35|37|41|49|51,15|27|39|43|44|46|52,0.48636841773986816,0.22549667954444885,12.341419219970703,3.9183990955352783,4.7163190841674805,9.737503051757812,0.5269091725349426,False
OpenBMI-fold0-meta0-draw9,OpenBMI,0,0,9,3460317627,64,64,4|5|8|9|11|12|16|18|20|21|22|23|24|25|26|29|30|31|34|35|37|38|41|42|49,15|27|39|43|44|46|52,0.3557192087173462,0.2907719612121582,12.341419219970703,4.733425140380859,2.534407138824463,0.8114309310913086,0.06763938814401627,False
