pool,method_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,reference_balanced_accuracy,reference_accuracy,reference_macro_f1,delta_BA_vs_B6,delta_accuracy_vs_B6,delta_macro_f1_vs_B6,OUTER_TEST_USED,model_id
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,1,200,0.8,0.8,0.7960016319869441,0.8,0.8,0.7960016319869441,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,10,200,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,11,200,0.76,0.76,0.7597838054248824,0.76,0.76,0.7597838054248824,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,12,200,0.835,0.835,0.8349628666449951,0.835,0.835,0.8349628666449951,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,13,200,0.71,0.71,0.705762987012987,0.71,0.71,0.705762987012987,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,14,200,0.815,0.815,0.8149583656322672,0.815,0.815,0.8149583656322672,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,15,200,0.9099999999999999,0.91,0.9097744360902256,0.9099999999999999,0.91,0.9097744360902256,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,16,200,0.885,0.885,0.8849741191768148,0.885,0.885,0.8849741191768148,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,18,200,0.9099999999999999,0.91,0.9094202898550725,0.9099999999999999,0.91,0.9094202898550725,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,19,200,0.85,0.85,0.8487750781328763,0.85,0.85,0.8487750781328763,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,2,200,0.825,0.825,0.8249956248906223,0.825,0.825,0.8249956248906223,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,20,200,0.8999999999999999,0.9,0.899749373433584,0.8999999999999999,0.9,0.899749373433584,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,21,200,0.9650000000000001,0.965,0.9649570724137068,0.9650000000000001,0.965,0.9649570724137068,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,22,200,0.8300000000000001,0.83,0.8299319727891157,0.8300000000000001,0.83,0.8299319727891157,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,23,200,0.91,0.91,0.9099639855942376,0.91,0.91,0.9099639855942376,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,24,200,0.69,0.69,0.6807743795695603,0.69,0.69,0.6807743795695603,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,25,200,0.875,0.875,0.8744696342045141,0.875,0.875,0.8744696342045141,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,26,200,0.85,0.85,0.85,0.85,0.85,0.85,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,27,200,0.895,0.895,0.8949343339587242,0.895,0.895,0.8949343339587242,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,28,200,0.985,0.985,0.9849996249906248,0.985,0.985,0.9849996249906248,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,29,200,0.915,0.915,0.9145191703331239,0.915,0.915,0.9145191703331239,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,3,200,0.925,0.925,0.9249530956848031,0.925,0.925,0.9249530956848031,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,30,200,0.83,0.83,0.8299829982998299,0.83,0.83,0.8299829982998299,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,31,200,0.8600000000000001,0.86,0.8593106220480353,0.8600000000000001,0.86,0.8593106220480353,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
all_52_grouped_OOF,M0_B6_KEEP_ENSEMBLE,32,200,0.965,0.965,0.9649991249781245,0.965,0.965,0.9649991249781245,0.0,0.0,0.0,False,M0_B6_KEEP_ENSEMBLE
