model_id,outer_fold,subjects,mean_delta_BA_vs_B6,positive_subject_fraction,action_rate,OUTER_TEST_USED
M0_B6_KEEP_ENSEMBLE,0,11,0.0,0.0,0.0,False
M0_B6_KEEP_ENSEMBLE,1,11,0.0,0.0,0.0,False
M0_B6_KEEP_ENSEMBLE,2,10,0.0,0.0,0.0,False
M0_B6_KEEP_ENSEMBLE,3,10,0.0,0.0,0.0,False
M0_B6_KEEP_ENSEMBLE,4,10,0.0,0.0,0.0,False
M1_ENSEMBLE_CONFIDENCE_RULE,0,11,0.0,0.0,0.0,False
M1_ENSEMBLE_CONFIDENCE_RULE,1,11,-0.00181818181818184,0.18181818181818182,0.01090909090909091,False
M1_ENSEMBLE_CONFIDENCE_RULE,2,10,0.0,0.2,0.006,False
M1_ENSEMBLE_CONFIDENCE_RULE,3,10,-0.0010000000000000009,0.0,0.001,False
M1_ENSEMBLE_CONFIDENCE_RULE,4,10,-0.0005000000000000227,0.4,0.0205,False
M2_ENSEMBLE_DISAGREEMENT_RULE,0,11,-0.0027272727272727197,0.2727272727272727,0.01090909090909091,False
M2_ENSEMBLE_DISAGREEMENT_RULE,1,11,-0.0018181818181818197,0.09090909090909091,0.0027272727272727275,False
M2_ENSEMBLE_DISAGREEMENT_RULE,2,10,-0.0005000000000000115,0.1,0.0015,False
M2_ENSEMBLE_DISAGREEMENT_RULE,3,10,-0.0005000000000000004,0.0,0.0005,False
M2_ENSEMBLE_DISAGREEMENT_RULE,4,10,0.0005000000000000004,0.2,0.0165,False
M3_ACTION_MOVEMENT_LOGISTIC,0,11,0.0022727272727272544,0.36363636363636365,0.004090909090909091,False
M3_ACTION_MOVEMENT_LOGISTIC,1,11,-0.00636363636363641,0.2727272727272727,0.04090909090909091,False
M3_ACTION_MOVEMENT_LOGISTIC,2,10,-0.0005000000000000004,0.3,0.0175,False
M3_ACTION_MOVEMENT_LOGISTIC,3,10,-0.0015000000000000013,0.0,0.0015,False
M3_ACTION_MOVEMENT_LOGISTIC,4,10,0.0004999999999999894,0.1,0.0005,False
M4_FULL_LEGAL_LOGISTIC,0,11,0.0,0.0,0.0,False
M4_FULL_LEGAL_LOGISTIC,1,11,-0.005000000000000015,0.0,0.021363636363636362,False
M4_FULL_LEGAL_LOGISTIC,2,10,0.0,0.0,0.0,False
M4_FULL_LEGAL_LOGISTIC,3,10,0.0,0.0,0.0,False
M4_FULL_LEGAL_LOGISTIC,4,10,0.0,0.0,0.0,False
M5_HIST_GRADIENT_BOOSTING,0,11,0.0,0.0,0.0,False
M5_HIST_GRADIENT_BOOSTING,1,11,0.0,0.0,0.0,False
M5_HIST_GRADIENT_BOOSTING,2,10,0.0,0.0,0.0,False
M5_HIST_GRADIENT_BOOSTING,3,10,-0.0015000000000000124,0.2,0.0055,False
M5_HIST_GRADIENT_BOOSTING,4,10,0.0,0.0,0.0,False
I006_CONDITIONAL_ACTION_LOGISTIC,0,11,0.0,0.0,0.0,False
I006_CONDITIONAL_ACTION_LOGISTIC,1,11,-0.0022727272727272848,0.0,0.013181818181818182,False
I006_CONDITIONAL_ACTION_LOGISTIC,2,10,-0.0025000000000000022,0.1,0.0095,False
I006_CONDITIONAL_ACTION_LOGISTIC,3,10,-0.0040000000000000036,0.1,0.006,False
I006_CONDITIONAL_ACTION_LOGISTIC,4,10,0.0009999999999999788,0.4,0.017,False
I007_CONDITIONAL_ACTION_HGB,0,11,0.0009090909090909098,0.18181818181818182,0.0009090909090909091,False
I007_CONDITIONAL_ACTION_HGB,1,11,-0.0022727272727272947,0.18181818181818182,0.013181818181818182,False
I007_CONDITIONAL_ACTION_HGB,2,10,-0.0019999999999999797,0.3,0.014,False
I007_CONDITIONAL_ACTION_HGB,3,10,-0.0005000000000000004,0.0,0.0015,False
I007_CONDITIONAL_ACTION_HGB,4,10,0.0004999999999999894,0.3,0.0075,False
