model_id,action,selected_count,selected_fraction,rescue_count,harm_count,net_correctness_gain,OUTER_TEST_USED
M0_B6_KEEP_ENSEMBLE,KEEP,10400,1.0,0,0,0,False
M0_B6_KEEP_ENSEMBLE,AMPLIFY,0,0.0,0,0,0,False
M0_B6_KEEP_ENSEMBLE,GEOMETRY,0,0.0,0,0,0,False
M0_B6_KEEP_ENSEMBLE,ERASE,0,0.0,0,0,0,False
M1_ENSEMBLE_CONFIDENCE_RULE,KEEP,10321,0.9924038461538461,0,0,0,False
M1_ENSEMBLE_CONFIDENCE_RULE,AMPLIFY,9,0.0008653846153846154,3,6,-3,False
M1_ENSEMBLE_CONFIDENCE_RULE,GEOMETRY,27,0.002596153846153846,14,13,1,False
M1_ENSEMBLE_CONFIDENCE_RULE,ERASE,43,0.004134615384615385,19,24,-5,False
M2_ENSEMBLE_DISAGREEMENT_RULE,KEEP,10333,0.9935576923076923,0,0,0,False
M2_ENSEMBLE_DISAGREEMENT_RULE,AMPLIFY,9,0.0008653846153846154,6,3,3,False
M2_ENSEMBLE_DISAGREEMENT_RULE,GEOMETRY,25,0.002403846153846154,12,13,-1,False
M2_ENSEMBLE_DISAGREEMENT_RULE,ERASE,33,0.003173076923076923,10,23,-13,False
M3_ACTION_MOVEMENT_LOGISTIC,KEEP,10262,0.9867307692307692,0,0,0,False
M3_ACTION_MOVEMENT_LOGISTIC,AMPLIFY,48,0.004615384615384616,21,27,-6,False
M3_ACTION_MOVEMENT_LOGISTIC,GEOMETRY,69,0.006634615384615385,32,37,-5,False
M3_ACTION_MOVEMENT_LOGISTIC,ERASE,21,0.0020192307692307693,10,11,-1,False
M4_FULL_LEGAL_LOGISTIC,KEEP,10353,0.9954807692307692,0,0,0,False
M4_FULL_LEGAL_LOGISTIC,AMPLIFY,21,0.0020192307692307693,9,12,-3,False
M4_FULL_LEGAL_LOGISTIC,GEOMETRY,11,0.0010576923076923077,4,7,-3,False
M4_FULL_LEGAL_LOGISTIC,ERASE,15,0.0014423076923076924,5,10,-5,False
M5_HIST_GRADIENT_BOOSTING,KEEP,10389,0.9989423076923077,0,0,0,False
M5_HIST_GRADIENT_BOOSTING,AMPLIFY,3,0.0002884615384615385,2,1,1,False
M5_HIST_GRADIENT_BOOSTING,GEOMETRY,1,9.615384615384615e-05,1,0,1,False
M5_HIST_GRADIENT_BOOSTING,ERASE,7,0.000673076923076923,1,6,-5,False
I006_CONDITIONAL_ACTION_LOGISTIC,KEEP,10306,0.9909615384615384,0,0,0,False
I006_CONDITIONAL_ACTION_LOGISTIC,AMPLIFY,13,0.00125,4,9,-5,False
I006_CONDITIONAL_ACTION_LOGISTIC,GEOMETRY,13,0.00125,4,9,-5,False
I006_CONDITIONAL_ACTION_LOGISTIC,ERASE,68,0.006538461538461538,31,37,-6,False
I007_CONDITIONAL_ACTION_HGB,KEEP,10323,0.9925961538461539,0,0,0,False
I007_CONDITIONAL_ACTION_HGB,AMPLIFY,17,0.0016346153846153845,6,11,-5,False
I007_CONDITIONAL_ACTION_HGB,GEOMETRY,13,0.00125,6,7,-1,False
I007_CONDITIONAL_ACTION_HGB,ERASE,47,0.004519230769230769,23,24,-1,False
