model_id,action_family,population,target,rows,prevalence,AUPRC,AUPRC_lift,AUROC,OUTER_TEST_USED
I006_CONDITIONAL_ACTION_LOGISTIC,AMPLIFY,boundary_cross_only,rescue,395,0.4607594936708861,0.4288993081643654,0.9308528940929908,0.4622607439508848,False
I006_CONDITIONAL_ACTION_LOGISTIC,AMPLIFY,boundary_cross_only,harm,395,0.5392405063291139,0.5336868061551405,0.9897008846538992,0.46226074395088473,False
I006_CONDITIONAL_ACTION_LOGISTIC,ERASE,boundary_cross_only,rescue,2202,0.2452316076294278,0.39627661009930715,1.6159279545160634,0.7166945224406114,False
I006_CONDITIONAL_ACTION_LOGISTIC,ERASE,boundary_cross_only,harm,2202,0.7547683923705722,0.8887167706236276,1.1774695119814849,0.7166945224406115,False
I006_CONDITIONAL_ACTION_LOGISTIC,GEOMETRY,boundary_cross_only,rescue,913,0.380065717415115,0.40320692876398256,1.0608873947017754,0.5439099398173134,False
I006_CONDITIONAL_ACTION_LOGISTIC,GEOMETRY,boundary_cross_only,harm,913,0.619934282584885,0.687396911986971,1.1088222272864037,0.5439099398173135,False
I007_CONDITIONAL_ACTION_HGB,AMPLIFY,boundary_cross_only,rescue,395,0.4607594936708861,0.4255219166030585,0.9235228409791654,0.44496465975339217,False
I007_CONDITIONAL_ACTION_HGB,AMPLIFY,boundary_cross_only,harm,395,0.5392405063291139,0.5192659038528424,0.9629578968163041,0.44496465975339217,False
I007_CONDITIONAL_ACTION_HGB,ERASE,boundary_cross_only,rescue,2202,0.2452316076294278,0.4009994210716148,1.6351865281475846,0.7093500690823193,False
I007_CONDITIONAL_ACTION_HGB,ERASE,boundary_cross_only,harm,2202,0.7547683923705722,0.8782095700606667,1.1635484195388617,0.7093500690823193,False
I007_CONDITIONAL_ACTION_HGB,GEOMETRY,boundary_cross_only,rescue,913,0.380065717415115,0.3975985940443054,1.0461311710733454,0.5320363336422236,False
I007_CONDITIONAL_ACTION_HGB,GEOMETRY,boundary_cross_only,harm,913,0.619934282584885,0.668526082819826,1.0783821795309205,0.5320363336422236,False
M3_ACTION_MOVEMENT_LOGISTIC,AMPLIFY,boundary_cross_only,rescue,395,0.4607594936708861,0.4196299206285173,0.9107352672981556,0.44255275241190734,False
M3_ACTION_MOVEMENT_LOGISTIC,AMPLIFY,boundary_cross_only,harm,395,0.5392405063291139,0.5006566183266239,0.9284477194320021,0.4595263891038539,False
M3_ACTION_MOVEMENT_LOGISTIC,ERASE,boundary_cross_only,rescue,2202,0.2452316076294278,0.41714554339513815,1.7010268269557298,0.7216940767482284,False
M3_ACTION_MOVEMENT_LOGISTIC,ERASE,boundary_cross_only,harm,2202,0.7547683923705722,0.8825969299933829,1.1693612754785976,0.7122465124571021,False
M3_ACTION_MOVEMENT_LOGISTIC,GEOMETRY,boundary_cross_only,rescue,913,0.380065717415115,0.4169755783865235,1.0971144180602188,0.5625197299416502,False
M3_ACTION_MOVEMENT_LOGISTIC,GEOMETRY,boundary_cross_only,harm,913,0.619934282584885,0.7044282633903067,1.1362950609105125,0.5730949786662051,False
M4_FULL_LEGAL_LOGISTIC,AMPLIFY,boundary_cross_only,rescue,395,0.4607594936708861,0.4275695037684678,0.9279667801568394,0.4399731723675386,False
M4_FULL_LEGAL_LOGISTIC,AMPLIFY,boundary_cross_only,harm,395,0.5392405063291139,0.505887858067158,0.9381488447724291,0.4479440747046381,False
M4_FULL_LEGAL_LOGISTIC,ERASE,boundary_cross_only,rescue,2202,0.2452316076294278,0.3700982505338445,1.5091784216213435,0.6976356019075635,False
M4_FULL_LEGAL_LOGISTIC,ERASE,boundary_cross_only,harm,2202,0.7547683923705722,0.8669751604024193,1.1486638406775735,0.6895329143824932,False
M4_FULL_LEGAL_LOGISTIC,GEOMETRY,boundary_cross_only,rescue,913,0.380065717415115,0.3862717890988827,1.0163289436521035,0.5240374334273582,False
M4_FULL_LEGAL_LOGISTIC,GEOMETRY,boundary_cross_only,harm,913,0.619934282584885,0.6582339754504013,1.0617802466187567,0.5131108644514821,False
M5_HIST_GRADIENT_BOOSTING,AMPLIFY,boundary_cross_only,rescue,395,0.4607594936708861,0.43075966855681636,0.9348904894502332,0.4574369292679151,False
M5_HIST_GRADIENT_BOOSTING,AMPLIFY,boundary_cross_only,harm,395,0.5392405063291139,0.5193177561367128,0.9630540548075192,0.49375741629262754,False
M5_HIST_GRADIENT_BOOSTING,ERASE,boundary_cross_only,rescue,2202,0.2452316076294278,0.3866819661585503,1.5768031286687552,0.7140610375718679,False
M5_HIST_GRADIENT_BOOSTING,ERASE,boundary_cross_only,harm,2202,0.7547683923705722,0.8823702241692402,1.1690609107224228,0.7214745732495431,False
M5_HIST_GRADIENT_BOOSTING,GEOMETRY,boundary_cross_only,rescue,913,0.380065717415115,0.39998076576785785,1.052398960075084,0.5506715817557866,False
M5_HIST_GRADIENT_BOOSTING,GEOMETRY,boundary_cross_only,harm,913,0.619934282584885,0.7037500022302633,1.1352009753290289,0.5751036140161505,False
