policy_id,mean_subject_delta_BA,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,nonnegative_subject_fraction,positive_run_fraction,action_rate,unsafe_intervention_rate,rescue_precision,mean_effect_when_intervene,subjects,runs,OUTER_TEST_USED,vs_B1_UNIFORM_ACTION_ENSEMBLE_delta,vs_B1_UNIFORM_ACTION_ENSEMBLE_CI95_L,vs_B1_UNIFORM_ACTION_ENSEMBLE_CI95_U,vs_B3_ENTROPY_ONLY_delta,vs_B3_ENTROPY_ONLY_CI95_L,vs_B3_ENTROPY_ONLY_CI95_U,vs_B6_RANDOM_MATCHED_GATE_delta,vs_B6_RANDOM_MATCHED_GATE_CI95_L,vs_B6_RANDOM_MATCHED_GATE_CI95_U,vs_B5_OLD_I003_CROSS_RUN_delta,vs_B5_OLD_I003_CROSS_RUN_CI95_L,vs_B5_OLD_I003_CROSS_RUN_CI95_U
B0_KEEP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40,158,False,,,,,,,,,,,,
B1_UNIFORM_ACTION_ENSEMBLE,-0.014583333333333342,-0.019459375000000015,-0.009905468750000021,0.075,0.125,0.2088607594936709,0.0,0.0,0.0,0.0,40,158,False,,,,,,,,,,,,
B2_BEST_FIXED_SOURCE_ACTION,-0.015979166666666666,-0.021063281250000006,-0.01102057291666667,0.15,0.175,0.22784810126582278,0.0755379746835443,0.6112274821952242,0.3887725178047759,-0.22245496439044826,40,158,False,,,,,,,,,,,,
B3_ENTROPY_ONLY,-0.021239583333333336,-0.028135677083333335,-0.01493723958333334,0.125,0.125,0.17088607594936708,0.10360759493670886,0.6065974343310935,0.3934025656689065,-0.21319486866218693,40,158,False,,,,,,,,,,,,
B4_SOURCE_ONLY_LOGISTIC_ERROR,-0.024916666666666667,-0.032198437499999996,-0.017968750000000006,0.125,0.125,0.18354430379746836,0.11642405063291139,0.6064147866268007,0.39358521337319924,-0.21282957325360152,40,158,False,,,,,,,,,,,,
B5_OLD_I003_CROSS_RUN,0.007312500000000001,0.004791666666666666,0.009979166666666674,0.775,0.875,0.6139240506329114,0.04170886075949367,0.40212443095599393,0.5978755690440061,0.19575113808801214,40,158,False,,,,,,,,,,,,
B6_RANDOM_MATCHED_GATE,-0.026583333333333337,-0.03138541666666666,-0.021895572916666675,0.05,0.05,0.12658227848101267,0.09424050632911392,0.6467427803895232,0.35325721961047685,-0.29348556077904636,40,158,False,,,,,,,,,,,,
B7_SESSION_LEVEL_TARGET_WEIGHT,2.0833333333335203e-05,-0.000187499999999996,0.00025000000000000163,0.025,0.975,0.0189873417721519,0.0022468354430379748,0.4788732394366197,0.5211267605633803,0.04225352112676056,40,158,False,,,,,,,,,,,,
B9_TEA_EEG,0.0024479166666666646,0.0012393229166666555,0.0037395833333333296,0.65,0.75,0.3924050632911392,0.09424050632911392,0.04667562122229684,0.0819341840161182,0.035258562793821356,40,158,False,0.017246835443037976,0.013386075949367093,0.021170886075949368,0.024462025316455697,0.019587816455696214,0.029494462025316456,0.030031645569620253,0.02534810126582279,0.035031645569620254,-0.005791139240506329,-0.008196202531645566,-0.003481012658227847
B8_TEA_WITHOUT_TARGET_CONTEXT,0.0022708333333333296,0.0010624999999999999,0.0035520833333333264,0.675,0.8,0.3860759493670886,0.07098101265822784,0.06509139545251895,0.10655372269282211,0.041462327240303166,40,158,False,,,,,,,,,,,,
